"","main_Rho","Herbivore_Rho","Carnivore_Rho","main_P","Herbivore_P","Carnivore_P","main_p.adj","Herbivore_p.adj","Carnivore_p.adj","Driver","DriverNumeric"
"ITGA3",2.23210879522854,1.6845753235361,-3.89994027765638,0.0768233198441561,0.092070535617351,9.62164191394244e-05,0.359222986864348,0.313325910523125,0.00271534485738665,"Carnivore",2
"KRT33A",-2.04534177914926,-2.50535529832034,1.45933353131417,0.122463523477567,0.0122328441387234,0.144473330702935,0.4801530618544,0.0988278602105066,0.341203938083875,"Herbivore",1
"LRRC23",-0.329407507657183,1.68567462962853,1.33829710238247,1,0.0918584860445506,0.180799606032638,1,0.313004423244132,0.390812425877273,"Unclear",0
"TFAP2D",NA,0.660305867219945,NA,NA,0.50905756571722,NA,NA,0.755614842739049,NA,"MissingData",5
"CRY1",-0.61067684807986,-0.318141024801065,1.43078481837853,1,0.750377965671801,0.152491895429931,1,0.894105149859437,0.353424881562866,"Carnivore",2
"PGLYRP1",-1.6425823199217,-1.54417395150685,0.40613697634385,0.301408143772347,0.12254619744545,0.684641958271435,0.838163903607249,0.368320288224236,0.830768525995647,"Both",3
"STARD3NL",1.62970414391091,1.78093199957309,-1.2052672974346,0.309492123429641,0.0749235602625296,0.228100129935435,0.852111873521999,0.279052387016393,0.447189263864294,"Unclear",0
"CD74",0.957686899790865,1.5085255930215,-1.5898840046105,1,0.131420061535345,0.111860953786829,1,0.38173899722727,0.292378439438996,"Unclear",0
"RPS20",1.16310318833802,3.38332476225479,NA,0.734362916056446,0.000716138930817102,NA,1,0.0159743777356746,NA,"MissingData",5
"MGST1",-3.48110445322921,-3.26094807566177,3.47160509798755,0.00149805215115862,0.0011104037217805,0.000517356775264269,0.027197404797866,0.0212497448953249,0.00848156793384356,"Both",3
"CPA1",-3.33830260084341,-3.27329006405327,2.05660791648465,0.00252875695503936,0.00106303325569832,0.0397239561226462,0.039016222278524,0.020660318994741,0.154348611942179,"Both",3
"SYPL1",-0.743341269528581,-2.38425858396595,0.0141528576481593,1,0.0171135724986508,0.988708030362498,1,0.120182801401612,0.994794423055262,"Herbivore",1
"RANBP9",-1.02494248979297,-1.86623372832838,1.38854667098277,0.916170973180984,0.0620086721348849,0.164970643477531,1,0.251780266730135,0.369230258785257,"Unclear",0
"CD4",0.0712965673513086,1.21015848697786,0.104718820409915,1,0.226218084046844,0.916598927544447,1,0.506739762895977,0.961418671420609,"Herbivore",1
"PLEKHG6",1.98156705712797,1.15419856592814,-2.14730934523285,0.142583151784704,0.248418770393874,0.0317686623328342,0.529025118088869,0.533810967893394,0.13399870280472,"Carnivore",2
"QPCTL",-2.24622163596422,-1.24406124039809,1.19801684398776,0.0740694451824744,0.213477024774515,0.230910459608963,0.351636425894767,0.491652329435935,0.45058403596418,"Both",3
"PPP5C",-1.81852211370391,-1.51679074672812,0.793576816527556,0.206953109890772,0.129319524017647,0.427441833374275,0.665836942483421,0.378911815763203,0.645660673975818,"Both",3
"UBR7",2.23328930157259,2.56135420547861,-1.32990823039416,0.0765896177090505,0.010426499328628,0.183548509343304,0.358837292390565,0.0886203221322738,0.393450863690407,"Herbivore",1
"MAP4K5",-1.39445844203288,1.02285993535883,1.84869871378818,0.489537631826285,0.306374074907526,0.0645013295310219,1,0.590346590365648,0.208986531385041,"Carnivore",2
"ERCC1",NA,-0.711688729668165,1.16067480023598,NA,0.476657548227577,0.245774173582653,NA,0.732398658920662,0.466335173269698,"MissingData",5
"GPRC5A",-3.19873803200091,-4.21664627902123,2.26155759670379,0.00414091597929424,2.47962461822875e-05,0.0237247503541198,0.0541423861739108,0.00170556705368829,0.112255843635903,"Herbivore",1
"HEBP1",0.0743954187311772,1.07074522653232,-0.129023302463613,1,0.284284001176252,0.897339210239331,1,0.570820668090344,0.95163902280618,"Herbivore",1
"COX15",-0.179337328600064,-0.765750025530722,0.407286212923862,1,0.443825054881009,0.683797787678696,1,0.708747392087825,0.830554711900206,"Herbivore",1
"MS4A12",-0.677391870195422,-0.226981390251605,-0.595285878453165,1,0.820438212953804,0.551652393730611,1,0.927111195884566,0.74137072522363,"Both",3
"XYLT2",0.639212093343264,-0.426670418011288,-0.64907631126413,1,0.669619399878061,0.51628905253814,1,0.852602156442531,0.715748918088793,"Carnivore",2
"FTSJ1",-4.49185999351924,-2.24919824238861,4.62036636310056,2.1181150160814e-05,0.024499886253279,3.83063015859288e-06,0.00148436312598938,0.147353861328163,0.000285732123174738,"Carnivore",2
"SCTR",0.557077090836336,0.183607830955228,0.458092177750351,1,0.854321119354857,0.646886218500613,1,0.942147980924131,0.808479926293966,"Both",3
"RALBP1",-4.27160540990959,-3.67046146406414,3.70237587033398,5.82212261630009e-05,0.000242112970888846,0.000213589869010925,0.0030317490582171,0.00764992036089143,0.004649548788204,"Both",3
"SYT13",-0.2393366138118,-1.70948223156333,-0.128237087314741,1,0.0873616602836806,0.897961350918697,1,0.305050657375739,0.951896005200172,"Herbivore",1
"SNAI2",0.0648054825121306,0.262672288611543,-0.260010834010463,1,0.792803177427988,0.794855416612935,1,0.916129372134473,0.894966952964977,"Unclear",0
"SLC7A9",-3.96462479258852,-3.78759171962593,4.18217842011289,0.000220534446552634,0.000152114539415367,2.88729241056056e-05,0.00759616547678683,0.0055909854181036,0.00118948536924929,"Unclear",0
"RTF2",-0.889750043301854,-0.73658592717539,0.219117533659559,1,0.461374195562724,0.826558492753026,1,0.720748676234945,0.912446763501,"Both",3
"RB1CC1",0.0876229610385639,-1.30220503943607,-0.867716157367152,1,0.192846302937565,0.385549738449681,1,0.468147055208914,0.608982291708808,"Herbivore",1
"AKAP11",1.56981916329102,1.32161611131457,-1.18872853289919,0.349371564047769,0.186296015660068,0.234546508863823,0.913764448207951,0.460292389278678,0.454494311054808,"Both",3
"B4GALT7",-0.708636262224075,-0.0368344341904852,0.445979524070263,1,0.970617018155551,0.655612036724521,1,0.988681978478877,0.813000016182304,"DoubleBoth",4
"FAM13B",-3.35802744464959,-3.39192159016919,4.21644977863253,0.00235502455848292,0.000694042986386501,2.48178525856572e-05,0.0372338404449053,0.0156681654127281,0.0010943872414385,"Unclear",0
"CHPF2",0.888378765248665,-0.35291116400663,-0.879511776962995,1,0.724155041011232,0.379123850428878,1,0.882278591043831,0.6035876483747,"Both",3
"GABARAPL2",NA,4.91531595608275,NA,NA,8.86393874792555e-07,NA,NA,0.000211287622301655,NA,"MissingData",5
"MYOC",2.28585529654229,1.82612581872899,-3.28653467410985,0.066788176330055,0.0678313119547999,0.00101428285810503,0.329481013296656,0.264181876120209,0.013454215708399,"Carnivore",2
"FAM136A",-1.32072193732002,-0.534018153503131,1.60439004596591,0.559782289976759,0.59332897441811,0.108628103746527,1,0.808961882962699,0.287021752949663,"Carnivore",2
"NSMAF",1.38840156950071,-1.21189004691304,-2.15779241451983,0.495044396182336,0.22555447260787,0.030943974916413,1,0.505742488103605,0.131665124736305,"Carnivore",2
"OTC",-1.25463910864428,-1.70030883263725,1.38355582794164,0.628829398691743,0.0890728499154444,0.166494501683,1,0.308830336744265,0.371395612195116,"Unclear",0
"TTC17",-0.212673888475672,0.693342565877946,0.610904152461862,1,0.488094596353145,0.54126303564702,1,0.74105707308806,0.732748815047878,"Unclear",0
"HOXC8",NA,3.91625615704692,NA,NA,8.9934690341563e-05,NA,NA,0.00393986863715242,NA,"MissingData",5
"MRI1",-1.94495206092713,-0.772729680459572,0.937470427510599,0.15534224495625,0.439682377366815,0.348516628602653,0.55660685479581,0.706674432795112,0.576073752439773,"DoubleBoth",4
"TARBP1",-0.895606748806141,-1.81311925816698,1.65209241906099,1,0.069813429488305,0.098515712142294,1,0.268534854906487,0.270663055536893,"Unclear",0
"RTN4R",-0.695834195123088,-0.642688345681221,-0.790406654069115,1,0.520426344704868,0.429290317426924,1,0.763389751550536,0.647661132050633,"Unclear",0
"PSMA4",NA,3.25210686123905,NA,NA,0.00114552945064384,NA,NA,0.0217422562827706,NA,"MissingData",5
"ZPBP",-0.299074389035245,0.125954148178593,-0.698859551730673,1,0.899768219882822,0.484639807570218,1,0.960653477278923,0.689468199493759,"Carnivore",2
"LCP2",0.309808626383678,-0.673000338071102,0.107211898557632,1,0.500947075844044,0.914620876154768,1,0.750587091177306,0.960013549821251,"Herbivore",1
"DCN",1.42070912883018,2.39065448637804,0.137554080069283,0.466204012606398,0.0168183718999555,0.890592849228637,1,0.118775523574433,0.949102344879207,"Herbivore",1
"TNFRSF17",-0.236504919354339,1.08749729461171,-0.420004543069927,1,0.276817093547793,0.674482134871938,1,0.564835292994968,0.824358983350055,"Herbivore",1
"MRPS10",-2.78208459033147,-2.69306361454209,2.52168172687848,0.0162032881190733,0.00707987590767647,0.0116795329851597,0.131636355320554,0.0702311558063206,0.0695269744647059,"Both",3
"GRN",-3.25653995245211,-1.86513536329138,3.66949176860298,0.00338337173044409,0.062162432817228,0.000243033162845918,0.0472443443589106,0.252102701442899,0.00503170640812995,"Carnivore",2
"THAP3",0.217579863961857,-0.611678341766108,-0.0566198553534147,1,0.540750594146009,0.954848017631061,1,0.777248060699891,0.978310062374223,"Herbivore",1
"VAMP3",0.56816243610544,-0.0134139497786068,-1.02023266423436,1,0.989297537529461,0.307618129590621,1,0.996413443561986,0.536618772001643,"Carnivore",2
"RCN1",-0.90542961413161,-0.717510966598445,0.498163565650608,1,0.473058872138145,0.618368760293592,1,0.729989647609215,0.78933879868716,"Both",3
"RFC2",-2.08508132893801,-1.48651934740479,2.18423539616943,0.111185756294387,0.137141803220841,0.0289449552035265,0.450948503475991,0.391308667108713,0.127078917195745,"Unclear",0
"PPP1R3F",-0.383080930522349,0.622223868656863,0.513952027318838,1,0.533794673260289,0.607285531200956,1,0.772544894288916,0.782488153710035,"Unclear",0
"NFE2L3",-2.63142162300534,-1.90355947671536,3.837125368837,0.0255085430937313,0.0569675806827259,0.000124482930236109,0.177025275694905,0.240567919303048,0.00320522229787735,"Carnivore",2
"CBLN4",1.96635352076071,2.71675258172255,-1.815446571747,0.147773365319616,0.00659258703223903,0.0694553095948645,0.541099451252833,0.0672253846032986,0.218539336760405,"Unclear",0
"CLDN11",0.318927270659382,0.820664371908546,0.0191603287308713,1,0.411837470047767,0.984713204874897,1,0.684694293316573,0.99223564040098,"Herbivore",1
"FAM168A",NA,2.18658524078015,NA,NA,0.0287728157597615,NA,NA,0.163069430297194,NA,"MissingData",5
"RELT",-0.691616881639657,-0.245019425470817,0.0906362666098575,1,0.806441390372554,0.927781613930405,1,0.921444275803519,0.96600554830851,"DoubleBoth",4
"PKP2",0.927708620372547,1.36609525578612,-0.220958346029457,1,0.17190906719111,0.825124866400576,1,0.44222727663874,0.91163869331855,"Herbivore",1
"YIPF1",-1.0514604972029,-0.237189337927253,1.5993184181176,0.879141429444976,0.812509907441663,0.109749869125897,1,0.923819661175779,0.289071427928903,"Carnivore",2
"ADCK2",-2.63954815117052,-0.478684284621663,0.977492565652205,0.0249049887565865,0.632163247478221,0.328325356502767,0.174125928383463,0.830973487825358,0.557243251994795,"DoubleBoth",4
"INPP4A",-0.526919216115993,-1.05788464020951,-0.889615327983586,1,0.2901080385851,0.373672472917594,1,0.576534667369794,0.599036135454702,"Unclear",0
"SLC2A3",-0.668532613407149,-0.978930558674643,0.539157237939948,1,0.327614291820394,0.589778363690489,1,0.610117399431239,0.769701202466054,"Herbivore",1
"STYK1",-1.62762602183634,-2.01063225095411,0.637046428141538,0.310812624012879,0.0443643149004174,0.524094602098572,0.854649234015613,0.206935591430465,0.721025666217404,"Herbivore",1
"GNA11",NA,-1.85159876624014,NA,NA,0.0640834603501722,NA,NA,0.255529842267144,NA,"MissingData",5
"CREB3L3",-3.98333893058323,-2.19632869291097,2.31595225913507,0.000203861200137587,0.028068425441621,0.0205608754918806,0.00720565008401444,0.160084837432525,0.101568293288899,"Both",3
"HDAC7",-0.462897154936954,1.7838517672159,0.115529076721078,1,0.0744477551583722,0.908025774880329,1,0.277854861469504,0.956593002031069,"Herbivore",1
"MRPS35",-3.32595772461366,-1.18217457964164,3.91040434430026,0.00264345875912289,0.237136436912665,9.214174525623e-05,0.0398832505136478,0.519987081428219,0.0026191595905821,"Carnivore",2
"APPBP2",NA,-0.120813739268178,NA,NA,0.903838567458342,NA,NA,0.961617997257362,NA,"MissingData",5
"CA11",1.30154107129323,1.77748782469518,-1.3606555887265,0.579219947009135,0.0754880122934907,0.173622555589986,1,0.280291032935092,0.381506686221955,"Unclear",0
"ISOC2",-1.37578867382392,-1.57153936111167,1.34850123769101,0.506661207070161,0.116057419075572,0.177497222355498,1,0.355866929000242,0.386255532931928,"Unclear",0
"CD22",-4.02766275931273,-1.9644038857655,3.67125238516665,0.000169002205996352,0.0494832725810774,0.000241364848048306,0.00644539133869417,0.221322948473147,0.00502521647900604,"Both",3
"GSC2",-1.77816902762977,-0.523412336794137,1.18494333682458,0.226128294453997,0.60068734089637,0.236039851237805,0.700960320778543,0.813801781044632,0.456166064469789,"DoubleBoth",4
"KCNQ1",0.462719602531049,0.481310287467113,-1.3998744833104,1,0.630295986595643,0.161550908361715,1,0.830134691373103,0.364696143076881,"Carnivore",2
"TRIB2",2.03035796776728,1.99342582730063,-1.36194809835315,0.126960497599371,0.0462148380817034,0.173214265304045,0.490855009666864,0.21192817168495,0.381015638879011,"Both",3
"OTUD5",-0.219584773407513,0.962300676960986,-0.506210925972064,1,0.335898589039748,0.612708585681844,1,0.618842944958544,0.785380530466106,"Herbivore",1
"GPKOW",-1.28028199814901,-1.65023846247891,1.58436695214936,0.60133792952323,0.0988941729667931,0.113110237896455,1,0.325213156749594,0.294110089443021,"Unclear",0
"AQR",-0.0803188006911508,0.476653803813173,-0.865413689248664,1,0.633608663628458,0.386811770110682,1,0.831726824486044,0.610078517637332,"Carnivore",2
"LMCD1",0.143628243310543,0.764911131037741,0.310816111160705,1,0.44432446524646,0.755940420980752,1,0.709212728427363,0.872644112982591,"Herbivore",1
"PSMC4",NA,3.15527371433753,NA,NA,0.00160347596869406,NA,NA,0.0273586757648021,NA,"MissingData",5
"FNDC8",-0.746129575937275,-0.142794722216513,0.392862910149668,1,0.886452305427545,0.694420736947927,1,0.955861190704835,0.836629417655138,"DoubleBoth",4
"ACAP1",1.83467754708919,2.19879261111165,-2.37587866873304,0.199660443058131,0.0278926721371404,0.0175072185036668,0.650653555963233,0.159475246092031,0.0913449148645518,"Unclear",0
"DERL2",NA,2.38628450276016,NA,NA,0.0170195787869043,NA,NA,0.119683450133159,NA,"MissingData",5
"NOX3",-2.03752518511719,-1.70144564803966,2.15070502097336,0.124792322241307,0.0888593357494892,0.0314994898136501,0.485728122671395,0.308419908600315,0.133315345464964,"Unclear",0
"ANO8",-3.18193226535039,-3.08036269893894,1.53946094227586,0.0043888808588247,0.00206748654339797,0.123691806027801,0.0559728271931366,0.031916085125655,0.310821137573536,"Both",3
"ICAM3",-2.9859610863535,-2.41209075662211,1.75614147294757,0.00848065839320905,0.015861332739773,0.0790642551667315,0.0865226917245298,0.115054281558865,0.235984359853541,"Both",3
"CTTNBP2",0.8349147738186,0.853591509945025,0.730522622381471,1,0.393331364317622,0.465070790097256,1,0.670259470587083,0.675678209728738,"Unclear",0
"ACTL6B",NA,2.52316801097236,NA,NA,0.0116302819730168,NA,NA,0.095693015482553,NA,"MissingData",5
"KIF22",-1.0736052658254,0.509416267267164,1.69157365590909,0.848998909492567,0.610460476322518,0.0907272929810414,1,0.819015129816617,0.256567253150199,"Carnivore",2
"PRSS22",-1.26197160605217,-1.255013281003,0.353175049457507,0.620877010977329,0.209473938767667,0.723957211810075,1,0.487406722824782,0.854166031931007,"Both",3
"YTHDC2",2.55535342904517,0.959002300070947,-2.9368835860945,0.031824007967638,0.337557586478173,0.00331528530532046,0.204571216241178,0.621050580279279,0.0305278292321517,"Carnivore",2
"TMEM161A",-3.80179719146682,-1.38941032194931,1.50382810487479,0.000430950883392002,0.16470801333042,0.132625632630488,0.0116582403373214,0.431272804403584,0.324740402405176,"DoubleBoth",4
"FOXJ2",0.513157408372882,-1.23434450393261,1.23249557836043,1,0.217074559033665,0.217764017322242,1,0.495153606441976,0.434298950896641,"Unclear",0
"GOLGA5",-0.029264253041998,0.0728166545880759,-0.500920811093105,1,0.941952017694402,0.616426855460774,1,0.975971634799832,0.78793017898365,"Carnivore",2
"PPP2R5B",0.721127256448279,1.62297313095831,-0.45604113581892,1,0.104595148780861,0.64836039785873,1,0.334725126671071,0.809347111290198,"Herbivore",1
"PYGM",2.08386797136156,0.260624895803209,-3.01103255075442,0.111516535304755,0.794381788946083,0.0026036094023613,0.451393651812525,0.916747853373866,0.0260309289155405,"Carnivore",2
"BCL3",-2.67311837873947,-0.264046425849852,2.26872100037106,0.0225449178593764,0.791744145124683,0.0232852977028602,0.162942714764852,0.915596610275429,0.110734035913317,"DoubleBoth",4
"PRLH",0.537127038682898,-0.059068007238002,-2.08471366183127,1,0.952897940657626,0.0370952997959983,1,0.981248345043845,0.147644791697307,"Carnivore",2
"FSTL3",-0.697825607060444,0.585956621093123,1.11320364788216,1,0.557904666059425,0.265620976336732,1,0.787858614358983,0.489863986683707,"Carnivore",2
"EPHA8",-0.156906611279329,-2.45670753031729,0.149748622969137,1,0.0140216788297976,0.880962945082451,1,0.107663378565698,0.944530467394283,"Herbivore",1
"TRIP13",0.668218557451509,-0.137813732804503,-1.3579196919937,1,0.890387630717377,0.174489168148818,1,0.957696239706082,0.382194737941065,"Carnivore",2
"VASH1",-0.477655751014643,0.0167715927428068,-0.135455176715837,1,0.98661883241662,0.892252001357462,1,0.995152747644119,0.949861475710595,"DoubleBoth",4
"KRT14",1.9335859941519,0.776995108117627,-0.690269396146046,0.15949215199549,0.437161656479935,0.490024789742056,0.566804928137175,0.704417144335321,0.694731181041316,"DoubleBoth",4
"KRT20",5.16015920802519,3.7155162695689,-4.55902236576076,7.40219771419068e-07,0.000202789215734377,5.13922985365997e-06,0.000152069533040709,0.00674950800377519,0.000354488987658188,"Both",3
"HSD17B10",-1.47636510711849,-0.449430683975283,2.6690770131133,0.419537713590436,0.653121000696714,0.00760600081643527,1,0.841730007179218,0.0534196330110869,"Carnivore",2
"FGF4",-0.77937470908989,-0.374670009494434,0.451835101589452,1,0.70790589913633,0.651387780313403,1,0.874696464426686,0.810980217287521,"Both",3
"ST6GAL1",-2.7498242379629,-2.44446642578455,1.07649610684489,0.0178881715466684,0.014506658232415,0.281705441106366,0.139942049392481,0.109703824427996,0.5095026122103,"Both",3
"TIMM21",-0.13693431678464,-0.0163153907676245,0.548156508329722,1,0.9869827791189,0.583584442371692,1,0.995320143961972,0.765166952417506,"Carnivore",2
"BPIFB2",-1.94790588556676,-2.05247073975856,1.11943063575304,0.154278676316976,0.0401239358655769,0.26295646735785,0.554196901630804,0.196189706318291,0.48710509320608,"Herbivore",1
"REXO1",-0.521219902245924,-1.21585085471122,-1.84442723866103,1,0.224041742230291,0.0651209007003556,1,0.504318818333618,0.210404594720938,"Carnivore",2
"MKRN2",-3.48565124056876,-4.63366693619053,2.03178896347431,0.00147282183994082,3.59244812626667e-06,0.0421750249682757,0.0269364745531616,0.000489769763938984,0.160472128149788,"Herbivore",1
"GPATCH1",-0.152534142824296,0.137932572826485,1.23202514080205,1,0.890293707052253,0.217939692918667,1,0.957696239706082,0.434442573685782,"Carnivore",2
"KEAP1",-2.85985400356082,-2.53220453765852,3.04005186029346,0.0127150824089996,0.0113347851172437,0.00236537415015161,0.112301584739557,0.0940253490099298,0.0245394087095179,"Unclear",0
"P2RY10",-0.133856750971981,-1.02570441999478,0.861277665990651,1,0.305030930311682,0.38908513336955,1,0.589550370578988,0.611846026932359,"Unclear",0
"TNS1",0.82452427185283,1.31759785781498,-0.715929570796225,1,0.187638303101758,0.474034838167738,1,0.46187232421813,0.682366623904277,"Herbivore",1
"NGFR",-0.195756952058805,0.192441575667986,-0.409398933293558,1,0.84739632828766,0.682246922343842,1,0.938402300595838,0.829273863979011,"Carnivore",2
"NTN1",0.814184123636683,1.69877288583438,-0.241218666122254,1,0.0893619842907296,0.809385644510434,1,0.309349859141138,0.902404681285934,"Herbivore",1
"ISOC1",-1.61743861415601,-0.650134145617394,1.63009251846431,0.317350908700398,0.515605574736439,0.103081944708403,0.864413291671635,0.760321211872538,0.277735746744356,"Carnivore",2
"MNT",0.0460755764850356,-0.608938259481701,-0.0861132970025949,1,0.542565363334751,0.931376353411275,1,0.778269201264866,0.967320494711726,"Herbivore",1
"AP3M2",-1.65176461436875,-0.787843515723775,2.45106215210691,0.295747634575351,0.43078824385146,0.0142435356860287,0.827805858372054,0.699561778073528,0.0796796790837937,"Carnivore",2
"LAPTM4A",1.00416474964109,2.10860673040963,-1.13171135855364,0.945897629671776,0.0349785414579809,0.257755804600838,1,0.180897845625151,0.480639141094097,"Herbivore",1
"PTPN18",-0.0933042077301131,-0.921013774189025,-1.06219388240671,1,0.357043235677508,0.288147676507525,1,0.637861105157801,0.515372293332188,"Unclear",0
"STK10",-3.29857941545484,-2.13787116214264,1.85759489683033,0.00291526164692262,0.0325272013583396,0.0632265637683292,0.0424880261602512,0.173832313490711,0.206189078157529,"Both",3
"TBX21",-1.16308348422022,-1.72270696187674,1.14903504565731,0.73438689690467,0.0849415307293369,0.250541530005884,1,0.301153758592111,0.471867859055421,"Unclear",0
"MRPS34",-1.01001560473888,0.292758144044705,-0.105033828597039,0.937463441510311,0.769707023359239,0.916348965833255,1,0.9044643425859,0.961363877045072,"DoubleBoth",4
"MAP2K5",0.586307287497138,0.218032518654882,-0.048657357282277,1,0.827403774647533,0.961192359555476,1,0.929831058426117,0.981407671906966,"DoubleBoth",4
"TIGAR",-4.09955629690424,-3.71839959826293,2.70772084115469,0.000124182891790207,0.00020048894771174,0.00677469807814029,0.00513049814924995,0.00668667768201563,0.0494040421925293,"Both",3
"FGF20",-1.37775648035998,-0.696922980686138,1.87048002300575,0.504835460094647,0.485850995167784,0.0614171885967988,1,0.73885894918644,0.202572990772113,"Carnivore",2
"MTMR7",0.809807206449445,-1.33058285232011,-1.03492333357656,1,0.183326307874815,0.300704716631152,1,0.456983811145374,0.528482564747853,"Unclear",0
"CPB2",-0.069492664830119,1.59543004078463,-0.149234233524729,1,0.110616102729155,0.881368807993686,1,0.346335022046915,0.944554609367244,"Herbivore",1
"FAM107B",-2.34643726953215,-2.13042142812076,2.13424277181335,0.0568615693726097,0.0331368362693978,0.0328229131526302,0.296816204622704,0.175805094895289,0.136909332892122,"Both",3
"CDK13",-0.156908511842033,0.245910925789153,-0.131448506481934,1,0.805751185938881,0.895420518893083,1,0.921096997587376,0.951012737858122,"Herbivore",1
