GO.ID	Description	p.Val	Empty	phenoType
DNA Unwinding Involved In DNA Replication (GO:0006268)	DNA Unwinding Involved In DNA Replication 	0.970699474333173		1
DNA-templated DNA Replication (GO:0006261)	DNA-templated DNA Replication 	0.658064821802651		1
DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005)	DNA-templated DNA Replication Maintenance Of Fidelity 	0.786528878463898		1
DNA-templated Transcription (GO:0006351)	DNA-templated Transcription 	0.957022838891206		1
DNA-templated Transcription Elongation (GO:0006354)	DNA-templated Transcription Elongation 	0.949598338687289		-1
DNA-templated Transcription Initiation (GO:0006352)	DNA-templated Transcription Initiation 	0.957022838891206		1
DNA-templated Transcription Termination (GO:0006353)	DNA-templated Transcription Termination 	0.970307066022047		1
ER Overload Response (GO:0006983)	ER Overload Response 	0.966513549840496		-1
ER-associated Misfolded Protein Catabolic Process (GO:0071712)	ER-associated Misfolded Protein Catabolic Process 	0.966513549840496		1
ERAD Pathway (GO:0036503)	ERAD Pathway 	0.970699474333173		1
ERBB Signaling Pathway (GO:0038127)	ERBB Signaling Pathway 	0.442261371635586		-1
ERBB2 Signaling Pathway (GO:0038128)	ERBB2 Signaling Pathway 	0.949598338687289		-1
ERBB2-EGFR Signaling Pathway (GO:0038134)	ERBB2-EGFR Signaling Pathway 	0.952643667306404		-1
ERK1 And ERK2 Cascade (GO:0070371)	ERK1 And ERK2 Cascade 	0.966513549840496		-1
ESCRT III Complex Disassembly (GO:1904903)	ESCRT III Complex Disassembly 	0.966513549840496		-1
ESCRT Complex Disassembly (GO:1904896)	ESCRT Complex Disassembly 	0.966513549840496		-1
Fc Receptor Mediated Stimulatory Signaling Pathway (GO:0002431)	Fc Receptor Mediated Stimulatory Signaling Pathway 	0.970699474333173		-1
Fc Receptor Signaling Pathway (GO:0038093)	Fc Receptor Signaling Pathway 	0.970699474333173		1
Fc-epsilon Receptor Signaling Pathway (GO:0038095)	Fc-epsilon Receptor Signaling Pathway 	0.970699474333173		1
Fc-gamma Receptor Signaling Pathway (GO:0038094)	Fc-gamma Receptor Signaling Pathway 	0.970699474333173		-1
Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis (GO:0038096)	Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis 	0.970699474333173		-1
G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213)	G Protein-Coupled Acetylcholine Receptor Signaling Pathway 	0.868241409434636		-1
G Protein-Coupled Glutamate Receptor Signaling Pathway (GO:0007216)	G Protein-Coupled Glutamate Receptor Signaling Pathway 	0.739531948123137		-1
G Protein-Coupled Receptor Internalization (GO:0002031)	G Protein-Coupled Receptor Internalization 	0.9680408576935		-1
G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)	G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger 	0.135661305698273		-1
G Protein-Coupled Serotonin Receptor Signaling Pathway (GO:0098664)	G Protein-Coupled Serotonin Receptor Signaling Pathway 	0.966513549840496		-1
G-quadruplex DNA Unwinding (GO:0044806)	G-quadruplex DNA Unwinding 	0.949598338687289		1
G1/S Transition Of Mitotic Cell Cycle (GO:0000082)	G1/S Transition Of Mitotic Cell Cycle 	0.970699474333173		-1
G2/M Transition Of Mitotic Cell Cycle (GO:0000086)	G2/M Transition Of Mitotic Cell Cycle 	0.970699474333173		-1
GDP-mannose Metabolic Process (GO:0019673)	GDP-mannose Metabolic Process 	0.970307066022047		1
GMP Biosynthetic Process (GO:0006177)	GMP Biosynthetic Process 	0.966513549840496		-1
GMP Metabolic Process (GO:0046037)	GMP Metabolic Process 	0.970699474333173		-1
GPI Anchor Biosynthetic Process (GO:0006506)	GPI Anchor Biosynthetic Process 	0.788470056276292		1
GPI Anchor Metabolic Process (GO:0006505)	GPI Anchor Metabolic Process 	0.880447604328339		1
GTP Metabolic Process (GO:0046039)	GTP Metabolic Process 	0.949598338687289		-1
Golgi Disassembly (GO:0090166)	Golgi Disassembly 	0.957022838891206		-1
Golgi Inheritance (GO:0048313)	Golgi Inheritance 	0.970699474333173		-1
Golgi Lumen Acidification (GO:0061795)	Golgi Lumen Acidification 	0.957022838891206		1
Golgi Organization (GO:0007030)	Golgi Organization 	0.970699474333173		-1
Golgi Ribbon Formation (GO:0090161)	Golgi Ribbon Formation 	0.956695985017526		1
Golgi To Endosome Transport (GO:0006895)	Golgi To Endosome Transport 	0.786528878463898		1
Golgi To Lysosome Transport (GO:0090160)	Golgi To Lysosome Transport 	0.970699474333173		-1
Golgi To Plasma Membrane Protein Transport (GO:0043001)	Golgi To Plasma Membrane Protein Transport 	0.957022838891206		1
Golgi To Plasma Membrane Transport (GO:0006893)	Golgi To Plasma Membrane Transport 	0.970699474333173		1
Golgi To Vacuole Transport (GO:0006896)	Golgi To Vacuole Transport 	0.970699474333173		-1
Golgi Transport Vesicle Coating (GO:0048200)	Golgi Transport Vesicle Coating 	0.970699474333173		1
Golgi Vesicle Transport (GO:0048193)	Golgi Vesicle Transport 	0.966513549840496		-1
His-Purkinje System Development (GO:0003164)	His-Purkinje System Development 	0.966513549840496		1
I-kappaB kinase/NF-kappaB Signaling (GO:0007249)	I-kappaB kinase/NF-kappaB Signaling 	0.957022838891206		1
I-kappaB Phosphorylation (GO:0007252)	I-kappaB Phosphorylation 	0.970699474333173		1
IMP Biosynthetic Process (GO:0006188)	IMP Biosynthetic Process 	0.957022838891206		-1
IMP Metabolic Process (GO:0046040)	IMP Metabolic Process 	0.970699474333173		-1
IRE1-mediated Unfolded Protein Response (GO:0036498)	IRE1-mediated Unfolded Protein Response 	0.970699474333173		1
ISG15-protein Conjugation (GO:0032020)	ISG15-protein Conjugation 	0.949598338687289		-1
JNK Cascade (GO:0007254)	JNK Cascade 	0.970699474333173		-1
L-alanine Transport (GO:0015808)	L-alanine Transport 	0.970699474333173		1
L-alpha-amino Acid Transmembrane Transport (GO:1902475)	L-alpha-amino Acid Transmembrane Transport 	0.957022838891206		-1
L-amino Acid Transport (GO:0015807)	L-amino Acid Transport 	0.966513549840496		-1
L-arginine Transmembrane Transport (GO:1903826)	L-arginine Transmembrane Transport 	0.957022838891206		-1
L-ascorbic Acid Metabolic Process (GO:0019852)	L-ascorbic Acid Metabolic Process 	0.966513549840496		-1
L-aspartate Import Across Plasma Membrane (GO:0140009)	L-aspartate Import Across Plasma Membrane 	0.966513549840496		-1
L-aspartate Transmembrane Transport (GO:0070778)	L-aspartate Transmembrane Transport 	0.966513549840496		-1
L-fucose Catabolic Process (GO:0042355)	L-fucose Catabolic Process 	0.972999660461697		-1
L-fucose Metabolic Process (GO:0042354)	L-fucose Metabolic Process 	0.972999660461697		-1
L-glutamate Import (GO:0051938)	L-glutamate Import 	0.970699474333173		-1
L-glutamate Transmembrane Transport (GO:0015813)	L-glutamate Transmembrane Transport 	0.970699474333173		-1
L-methionine Salvage (GO:0071267)	L-methionine Salvage 	0.9680408576935		-1
L-ornithine Transmembrane Transport (GO:1903352)	L-ornithine Transmembrane Transport 	0.949598338687289		-1
L-phenylalanine Catabolic Process (GO:0006559)	L-phenylalanine Catabolic Process 	0.966513549840496		1
L-phenylalanine Metabolic Process (GO:0006558)	L-phenylalanine Metabolic Process 	0.966513549840496		1
L-serine Metabolic Process (GO:0006563)	L-serine Metabolic Process 	0.970699474333173		-1
MAPK Cascade (GO:0000165)	MAPK Cascade 	0.435642859209573		-1
MHC Class II Protein Complex Assembly (GO:0002399)	MHC Class II Protein Complex Assembly 	0.970699474333173		1
MyD88-dependent Toll-Like Receptor Signaling Pathway (GO:0002755)	MyD88-dependent Toll-Like Receptor Signaling Pathway 	0.957022838891206		1
MyD88-independent Toll-Like Receptor Signaling Pathway (GO:0002756)	MyD88-independent Toll-Like Receptor Signaling Pathway 	0.970699474333173		1
N-acetylglucosamine Metabolic Process (GO:0006044)	N-acetylglucosamine Metabolic Process 	0.970699474333173		1
N-acetylneuraminate Catabolic Process (GO:0019262)	N-acetylneuraminate Catabolic Process 	0.90863672948747		1
N-acetylneuraminate Metabolic Process (GO:0006054)	N-acetylneuraminate Metabolic Process 	0.966513549840496		1
N-acylphosphatidylethanolamine Metabolic Process (GO:0070292)	N-acylphosphatidylethanolamine Metabolic Process 	0.970699474333173		1
N-glycan Processing (GO:0006491)	N-glycan Processing 	0.966513549840496		1
N-terminal Peptidyl-Methionine Acetylation (GO:0017196)	N-terminal Peptidyl-Methionine Acetylation 	0.966513549840496		1
N-terminal Protein Amino Acid Acetylation (GO:0006474)	N-terminal Protein Amino Acid Acetylation 	0.996431571463484		1
N-terminal Protein Amino Acid Modification (GO:0031365)	N-terminal Protein Amino Acid Modification 	0.970699474333173		1
NAD Biosynthesis Via Nicotinamide Riboside Salvage Pathway (GO:0034356)	NAD Biosynthesis Via Nicotinamide Riboside Salvage Pathway 	0.966513549840496		1
NAD Biosynthetic Process (GO:0009435)	NAD Biosynthetic Process 	0.969189178901614		1
NAD Metabolic Process (GO:0019674)	NAD Metabolic Process 	0.966513549840496		1
NADH Dehydrogenase Complex Assembly (GO:0010257)	NADH Dehydrogenase Complex Assembly 	5.95663751491747e-05		1
NADH Metabolic Process (GO:0006734)	NADH Metabolic Process 	0.739531948123137		1
NADP Metabolic Process (GO:0006739)	NADP Metabolic Process 	0.966513549840496		1
NADPH Regeneration (GO:0006740)	NADPH Regeneration 	0.995851358007854		1
NIK/NF-kappaB Signaling (GO:0038061)	NIK/NF-kappaB Signaling 	0.970699474333173		1
NLS-bearing Protein Import Into Nucleus (GO:0006607)	NLS-bearing Protein Import Into Nucleus 	0.9680408576935		-1
Notch Receptor Processing (GO:0007220)	Notch Receptor Processing 	0.957022838891206		-1
Notch Signaling Involved In Heart Development (GO:0061314)	Notch Signaling Involved In Heart Development 	0.970699474333173		-1
Notch Signaling Pathway (GO:0007219)	Notch Signaling Pathway 	0.978014585832024		-1
O-glycan Processing (GO:0016266)	O-glycan Processing 	0.754973666625031		1
P-body Assembly (GO:0033962)	P-body Assembly 	0.971919059042776		1
PERK-mediated Unfolded Protein Response (GO:0036499)	PERK-mediated Unfolded Protein Response 	0.966513549840496		-1
PML Body Organization (GO:0030578)	PML Body Organization 	0.970699474333173		-1
R-loop Processing (GO:0062176)	R-loop Processing 	0.970699474333173		1
RIG-I Signaling Pathway (GO:0039529)	RIG-I Signaling Pathway 	0.966513549840496		-1
RISC Complex Assembly (GO:0070922)	RISC Complex Assembly 	0.970699474333173		-1
RNA 3'-End Processing (GO:0031123)	RNA 3'-End Processing 	0.970699474333173		-1
RNA Biosynthetic Process (GO:0032774)	RNA Biosynthetic Process 	0.966513549840496		1
RNA Capping (GO:0036260)	RNA Capping 	0.966513549840496		1
RNA Catabolic Process (GO:0006401)	RNA Catabolic Process 	0.970699474333173		1
RNA Decapping (GO:0110154)	RNA Decapping 	0.970699474333173		-1
RNA Destabilization (GO:0050779)	RNA Destabilization 	0.970699474333173		-1
RNA Export From Nucleus (GO:0006405)	RNA Export From Nucleus 	0.987208159379524		1
RNA Metabolic Process (GO:0016070)	RNA Metabolic Process 	0.949598338687289		-1
RNA Methylation (GO:0001510)	RNA Methylation 	0.287994646696835		1
RNA Modification (GO:0009451)	RNA Modification 	0.741248278155587		1
RNA Phosphodiester Bond Hydrolysis (GO:0090501)	RNA Phosphodiester Bond Hydrolysis 	0.970699474333173		1
RNA Phosphodiester Bond Hydrolysis, Endonucleolytic (GO:0090502)	RNA Phosphodiester Bond Hydrolysis, Endonucleolytic 	0.970699474333173		1
RNA Polyadenylation (GO:0043631)	RNA Polyadenylation 	0.965251104351926		-1
RNA Polymerase II Preinitiation Complex Assembly (GO:0051123)	RNA Polymerase II Preinitiation Complex Assembly 	0.970699474333173		-1
RNA Processing (GO:0006396)	RNA Processing 	0.966513549840496		-1
RNA Secondary Structure Unwinding (GO:0010501)	RNA Secondary Structure Unwinding 	0.966513549840496		-1
RNA Splicing (GO:0008380)	RNA Splicing 	0.98739614480673		1
RNA Splicing, Via Endonucleolytic Cleavage And Ligation (GO:0000394)	RNA Splicing, Via Endonucleolytic Cleavage And Ligation 	0.970699474333173		-1
RNA Splicing, Via Transesterification Reactions (GO:0000375)	RNA Splicing, Via Transesterification Reactions 	0.970699474333173		1
RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile 	0.971919059042776		1
RNA Stabilization (GO:0043489)	RNA Stabilization 	0.970699474333173		-1
RNA Transport (GO:0050658)	RNA Transport 	0.970699474333173		-1
RNA-mediated Gene Silencing (GO:0031047)	RNA-mediated Gene Silencing 	0.966513549840496		-1
RNA-templated DNA Biosynthetic Process (GO:0006278)	RNA-templated DNA Biosynthetic Process 	0.966513549840496		1
Rac Protein Signal Transduction (GO:0016601)	Rac Protein Signal Transduction 	0.972775872882584		-1
Rap Protein Signal Transduction (GO:0032486)	Rap Protein Signal Transduction 	0.968265431674335		1
Ras Protein Signal Transduction (GO:0007265)	Ras Protein Signal Transduction 	0.957022838891206		1
Rho Protein Signal Transduction (GO:0007266)	Rho Protein Signal Transduction 	0.970699474333173		1
SA Node Cell Action Potential (GO:0086015)	SA Node Cell Action Potential 	0.970699474333173		-1
SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0031146)	SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process 	0.970699474333173		-1
SMAD Protein Complex Assembly (GO:0007183)	SMAD Protein Complex Assembly 	0.966513549840496		-1
SMAD Protein Signal Transduction (GO:0060395)	SMAD Protein Signal Transduction 	0.970699474333173		-1
SNARE Complex Assembly (GO:0035493)	SNARE Complex Assembly 	0.9680408576935		-1
SREBP Signaling Pathway (GO:0032933)	SREBP Signaling Pathway 	0.966513549840496		-1
SRP-dependent Cotranslational Protein Targeting To Membrane (GO:0006614)	SRP-dependent Cotranslational Protein Targeting To Membrane 	0.970699474333173		-1
Schwann Cell Development (GO:0014044)	Schwann Cell Development 	0.957022838891206		1
T Cell Activation (GO:0042110)	T Cell Activation 	0.734058660927875		-1
T Cell Activation Involved In Immune Response (GO:0002286)	T Cell Activation Involved In Immune Response 	0.140807770887666		-1
T Cell Apoptotic Process (GO:0070231)	T Cell Apoptotic Process 	0.966513549840496		-1
T Cell Chemotaxis (GO:0010818)	T Cell Chemotaxis 	0.970699474333173		-1
T Cell Differentiation (GO:0030217)	T Cell Differentiation 	0.987913441811039		1
T Cell Differentiation In Thymus (GO:0033077)	T Cell Differentiation In Thymus 	0.995747360648627		1
T Cell Homeostasis (GO:0043029)	T Cell Homeostasis 	0.972999660461697		-1
T Cell Mediated Cytotoxicity (GO:0001913)	T Cell Mediated Cytotoxicity 	0.966513549840496		-1
T Cell Mediated Immunity (GO:0002456)	T Cell Mediated Immunity 	0.764592496512663		-1
T Cell Migration (GO:0072678)	T Cell Migration 	0.966513549840496		-1
T Cell Proliferation (GO:0042098)	T Cell Proliferation 	0.956695985017526		-1
T Cell Receptor Signaling Pathway (GO:0050852)	T Cell Receptor Signaling Pathway 	0.989890149325681		-1
T-helper 1 Cell Differentiation (GO:0045063)	T-helper 1 Cell Differentiation 	0.970699474333173		-1
T-helper 1 Type Immune Response (GO:0042088)	T-helper 1 Type Immune Response 	0.970699474333173		-1
T-helper 17 Cell Differentiation (GO:0072539)	T-helper 17 Cell Differentiation 	0.970699474333173		-1
T-helper 17 Cell Lineage Commitment (GO:0072540)	T-helper 17 Cell Lineage Commitment 	0.970699474333173		-1
T-helper 2 Cell Differentiation (GO:0045064)	T-helper 2 Cell Differentiation 	0.966513549840496		-1
T-helper Cell Differentiation (GO:0042093)	T-helper Cell Differentiation 	0.966513549840496		-1
T-helper Cell Lineage Commitment (GO:0002295)	T-helper Cell Lineage Commitment 	0.970699474333173		-1
TOR Signaling (GO:0031929)	TOR Signaling 	0.98739614480673		1
TORC1 Signaling (GO:0038202)	TORC1 Signaling 	0.971919059042776		1
TORC2 Signaling (GO:0038203)	TORC2 Signaling 	0.970699474333173		-1
TRAIL-activated Apoptotic Signaling Pathway (GO:0036462)	TRAIL-activated Apoptotic Signaling Pathway 	0.956695985017526		-1
TRIF-dependent Toll-Like Receptor Signaling Pathway (GO:0035666)	TRIF-dependent Toll-Like Receptor Signaling Pathway 	0.970699474333173		1
U2-type Prespliceosome Assembly (GO:1903241)	U2-type Prespliceosome Assembly 	0.970699474333173		-1
U4 snRNA 3'-End Processing (GO:0034475)	U4 snRNA 3'-End Processing 	0.957022838891206		-1
UDP-N-acetylglucosamine Biosynthetic Process (GO:0006048)	UDP-N-acetylglucosamine Biosynthetic Process 	0.957022838891206		-1
UDP-N-acetylglucosamine Metabolic Process (GO:0006047)	UDP-N-acetylglucosamine Metabolic Process 	0.966513549840496		-1
UV Protection (GO:0009650)	UV Protection 	0.966513549840496		-1
UV-damage Excision Repair (GO:0070914)	UV-damage Excision Repair 	0.970307066022047		1
V(D)J Recombination (GO:0033151)	V	0.969427803737945		1
Wnt Signaling Pathway (GO:0016055)	Wnt Signaling Pathway 	0.968265431674335		1
Wnt Signaling Pathway Involved In Midbrain Dopaminergic Neuron Differentiation (GO:1904953)	Wnt Signaling Pathway Involved In Midbrain Dopaminergic Neuron Differentiation 	0.966513549840496		1
Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:0060071)	Wnt Signaling Pathway, Planar Cell Polarity Pathway 	0.850050674885548		1
[2Fe-2S] Cluster Assembly (GO:0044571)	[2Fe-2S] Cluster Assembly 	0.966513549840496		1
acetyl-CoA Biosynthetic Process (GO:0006085)	acetyl-CoA Biosynthetic Process 	0.957022838891206		-1
acetyl-CoA Biosynthetic Process From Pyruvate (GO:0006086)	acetyl-CoA Biosynthetic Process From Pyruvate 	0.970699474333173		-1
acetyl-CoA Metabolic Process (GO:0006084)	acetyl-CoA Metabolic Process 	0.966513549840496		-1
Acetylcholine Receptor Signaling Pathway (GO:0095500)	Acetylcholine Receptor Signaling Pathway 	0.447537712173392		-1
Acid Secretion (GO:0046717)	Acid Secretion 	0.966988779714274		1
Acidic Amino Acid Transport (GO:0015800)	Acidic Amino Acid Transport 	0.970699474333173		-1
Actin Crosslink Formation (GO:0051764)	Actin Crosslink Formation 	0.970699474333173		1
Actin Cytoskeleton Reorganization (GO:0031532)	Actin Cytoskeleton Reorganization 	0.9680408576935		-1
Actin Filament Bundle Assembly (GO:0051017)	Actin Filament Bundle Assembly 	0.970699474333173		-1
Actin Filament Bundle Organization (GO:0061572)	Actin Filament Bundle Organization 	0.994160793612383		1
Actin Filament Capping (GO:0051693)	Actin Filament Capping 	0.971919059042776		1
Actin Filament Depolymerization (GO:0030042)	Actin Filament Depolymerization 	0.970699474333173		1
Actin Filament Network Formation (GO:0051639)	Actin Filament Network Formation 	0.971919059042776		-1
Actin Filament Organization (GO:0007015)	Actin Filament Organization 	0.966513549840496		1
Actin Filament Polymerization (GO:0030041)	Actin Filament Polymerization 	0.98739614480673		1
Actin Filament Reorganization (GO:0090527)	Actin Filament Reorganization 	0.966513549840496		-1
Actin Filament-Based Transport (GO:0099515)	Actin Filament-Based Transport 	0.957022838891206		-1
Actin Nucleation (GO:0045010)	Actin Nucleation 	0.970699474333173		1
Actin Polymerization Or Depolymerization (GO:0008154)	Actin Polymerization Or Depolymerization 	0.970699474333173		1
