,X52,Common.Name.or.Group,Species.Name,Laurasiatheria,Genome,Tip_Label..Red.is.included.in.CMU.enhancer.dataset..but.missing.alignment.,Assembly_Name,FaName,Secondary_Terrestrial_Vertebrate,Secondary_Frugivore,Secondary_Arthropoda,Secondary_Terrestrial_Invertebrate,Secondary_Vegetation..leaves..browse..bulbs..grass..etc..,Secondary_Granivore..seeds.,Secondary_Veg_Exudants,Secondary_eggs,Secondary_fungi,Secondary_lichen,Secondary_Mollusks,Secondary_fish,Secondary_Marine_Mammals,Meyer.Lab.Classification,True_carn_v_all,Vert_v_herb,CarnFish_Herbs,Ins_v_herbs,MarineAquatic,MarineAquaticBinary,MarineSemiaquaticBinary,PON1Fx,X..Protein..Spring.,X..Protein..Fall.,X..Protein..Winter.,X..Protein..Summer.,X..Lipids..Summer.,X..Lipids..Fall.,X..Lipids..Spring.,X..Lipids..Winter.,X..Carbohydrate..Fall.,X..Carbohydrate..Summer.,X..Carbohydrate..Spring.,X..Carbohydrate..Winter.,Carbohydrate...mean.,Carb..SE.,Lipid.,Lipid..SE.,Protein.,Protein..SE.,Brain.mass..in.kg.,Body.mass..in.kg.,Another.set.of.eyes.,Level.of.Description..Order..Genus..Species.,NowakNotes,NutritionalGeometryNotes,NutritionalGeometryRef,Did.you.find.any.data.articles.for.this.species.,Initials.for.who.inputed.data,GeneralNotes,Domestication,DomesticationNumeric,DomesticationBinary,Echolocation
13,540,Spider Monkeys,Ateles geoffroyi,0,,Ateles_geoffroyi,HLateGeo1,vs_HLateGeo1,0,1,1,0,1,1,0,1,0,0,0,0,0,Omnivore,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet consists largely of fruits, supplemented by nuts, seeds, bud, flowers, leaves, insects, arachnids, and eggs",,,,,NA,wild,0,0,0
14,972,Minke Whale,Balaenoptera acutorostrata,1,balAcu1,Balaenoptera_acutorostrata,balAcu1,vs_balAcu1,0,0,1,0,0,0,0,0,0,0,1,1,0,Carnivore/Planktivore,0,1,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"In the Antarctic the diet consists almost exclusively of plankton, but in the Northern Hemisphere B acutorostrata also eats squid, herring, cod, sardines and various other kinds of small fish.",,,,,NA,wild,0,0,0
15,972,Antartic Minke Whale,Balaenoptera bonaerensis,1,,Balaenoptera_bonaerensis,HLbalBon1,vs_HLbalBon1,0,0,1,0,0,0,0,0,0,0,1,0,0,Planktivore,0,N/A,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Genus,Doesn't have entry in NOWAK. Info from Minke Whale. ,,,,,NA,wild,0,0,0
16,1179,Sassabie,Beatragus hunteri,1,,Beatragus_hunteri,HLbeaHun1,vs_HLbeaHun1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,Also known as Damaliscus beatragus hunteri; Their diet mainly consists of grass,,,,,NA,captive,2,0,0
17,1161,American Bison,Bison bison,1,bisBis1,Bison_bison,bisBis1,vs_bisBis1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,2.8,7.2,1.2,11,1.9,NA,NA,0,Genus,B. bison feeds mostly on grass,"The coefficient of variation for each macronutrient was

3.4% for carbohydrates and 17% for both lipids and pro-
teins, demonstrating that carbohydrates varied the least

relative to their mean percentages.",Lee J. HECKER et al. Mammel Review 2020,YES,ARG,NA,wild,0,0,0
18,1153,Zebu,Bos indicus,1,bosMut1,Bos_indicus,HLbosInd2,vs_HLbosInd2,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,Domesticated cattle from India. Sub species of Bos taurus. Info from Bos taurus.,,,,,NA,domestic,1,1,0
19,1153,Yak,Bos mutus,1,bosMut1,Bos_mutus,HLbosMut2,vs_HLbosMut2,0,0,0,0,1,0,0,0,0,1,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"Domesticated yak. Wild yak Bos grunniens is considered conspecific according to NOWAK. Information from Bos grunniens. According to Grzimek, the yak stays in high areas with permanent snow during the relatively warm months of August and September and spends the rest of the year at lower elevations, feeding on grass, herbs, and lichens. ",,,,,NA,domestic,1,1,0
20,1153,Cow,Bos taurus,1,bosTau7,Bos_taurus,bosTau9,vs_bosTau9,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,Grass ,,,,,NA,domestic,1,1,0
21,1147,Asian Water Buffalo,Bubalus bubalis,1,bubBub1,Bubalus_bubalis,HLbubBub2,vs_HLbubBub2,0,1,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.41,1.82,NA,NA,10.52,0.93,NA,NA,0,Genus,"They have a wide-ranging diet including grasses, ferns, saplings, palm, ginger, and fallen fruit","However, the mean nutrient composition
of the 16 most frequently consumed forage plants (19.4% protein:
73.7% carbohydrate: 6.9% lipid) was not significantly different than
the estimated nutrient balance (20.5% protein: 72.8% carbohydrate:
6.7% lipid) of their weighted diet",Tej Kumar Shrestha et al. Ecology and Evolution Original Research Wiley 2019,YES,ARG,NA,domestic,1,1,0
22,549,Titi Monkey,Callicebus donacophilus,0,,Callicebus_donacophilus,,vs_HLpleDon1,1,1,1,1,1,0,0,1,0,0,0,0,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet consists mostly of fruits but also includes leaves, other vegetation, insects, other small invertebrates, birds' eggs, and small vertebrates",,,,,NA,wild,0,0,0
23,564,Marmoset,Callithrix jacchus,0,calJac3,Callithrix_jacchus,HLcalJac4,vs_HLcalJac4,1,1,1,0,1,1,1,0,0,0,0,0,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,"insects, spiders, small vertebrates, birds' eggs, furits, and tree exudates, tree bark, 70 percent of forraging time of C. jacchus involves collections of gums and sap",,,,,NA,captive,2,0,0
24,1078,Bactrian Camel,Camelus bactrianus,1,camBac1,Camelus_bactrianus,HLcamBac1,vs_HLcamBac1,1,0,0,0,1,0,0,0,0,0,0,1,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Genus,"Conspecific with C. ferus. C. ferus used to denote wild, but wild and domesticated can interbreed. Species names seem to be used interchangeably. Info from C. ferus. ",,,,,NA,domestic,1,1,0
25,1078,One-hump Camel,Camelus dromedarius,1,camDro1,Camelus_dromedarius,HLcamDro2,vs_HLcamDro2,1,0,0,0,1,0,0,0,0,0,0,1,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"eat practically any vegetation that grows in the desert or semiarid regions. If forced by hunger, they will eat fish, flesh, bones, and skin.",,,,,NA,domestic,1,1,0
26,1078,Ferus Camel,Camelus ferus,1,camFer1,Camelus_ferus,HLcamFer3,vs_HLcamFer3,1,0,0,0,1,0,0,0,0,0,0,1,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"eat practically any vegetation that grows in the desert or semiarid regions. If forced by hunger, they will eat fish, flesh, bones, and skin.",,,,,NA,wild,0,0,0
27,655,Dog,Canis lupus familiaris,1,canFam3,Canis_lupus,HLcanLupDin1,vs_canFam4,1,0,0,0,0,0,0,0,0,0,0,0,0,Carnivore,1,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,13,0,,"steal from humans, scavenge, hunt deer, rats, birds",,,,,NA,wild,0,0,0
28,655,Dog,Canis lupus familiaris,1,canFam3,Canis_lupus_familiaris,canFam5,vs_canFam5,1,0,0,0,0,0,0,0,0,0,0,0,0,Carnivore,1,1,1,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,"steal from humans, scavenge, hunt deer, rats, birds",,,,,NA,wild,0,0,0
29,1220,Wild goat,Capra aegagrus,1,,Capra_aegagrus,HLcapAeg1,vs_HLcapAeg1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"Food is taken by both grazing and browsing, depending on the season and availablilty",,,no,ARG,NA,wild,0,0,0
30,1220,Domestic goat,Capra hircus,1,capHir1,Capra_hircus,HLcapHir2,vs_HLcapHir2,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,All types of natural vegetation,,,,,NA,domestic,1,1,0
31,1706,Desmarest cuban hutia,Capromys pilorides,0,,Capromys_pilorides,,,1,1,0,0,1,0,0,0,0,0,0,0,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"The diet of Capromys includes leaves, bark, fruits, lizards, and other small animals. ",,,,,NA,wild,0,0,0
32,384,Short-tailed Leaf-nosed Bats,Carollia perspicillata,1,,Carollia_perspicillata,HLcarPer3,vs_HLcarPer3,0,1,1,0,0,0,1,0,0,0,0,0,0,Insectivore/Herbivore,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"The diet seems to consist mainly of fruits, including guavas, bananas, wild figs, and plantains. Sazima (1976) observed C. perspicillata taking nectar from passionflowers. In this species, and porbably others as well, insects also seem to be an important food. ",,,,,NA,wild,0,0,1
33,1306,Beaver,Castor canadensis,0,casCan1,Castor_canadensis,HLcasCan3,vs_HLcasCan3,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0.5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,17,0,Genus,"The feed on the bark, cambium, twigs, leaves, and roots of deciduous trees and shrubs, such as willow, alder, birch, and aspen, and on various parts of aquatic plants. ",,,,,NA,wild,0,0,0
34,1064,Chacoan Peccary,Catagonus wagneri,1,,Catagonus_wagneri,HLcatWag1,vs_HLcatWag1,1,0,0,0,1,1,0,0,0,0,0,0,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"Legume seeds, roots, and cacti are thought to be important components of the diet. Taber cited reports that Catagonus also sometimes eats carrion, may even prey on small mammals, and may not need to drink water. ",,,,,NA,captive,2,0,0
35,1667,Brazilian guinea pig,Cavia aperea,0,,Cavia_aperea,cavApe1,vs_cavApe1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,Diet consists of many kinds of vegetation,,,,,NA,NA,NA,NA,0
36,1667,Domestic guinea pig,Cavia porcellus,0,cavPor3,Cavia_porcellus,cavPor3,vs_cavPor3,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.9,0,Genus,Diet consists of many kinds of vegetation,,,,,NA,captive,2,0,0
37,1667,Montane guinea pig,Cavia tschudii,0,,Cavia_tschudii,HLcavTsc1,vs_HLcavTsc1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,Diet consists of many kinds of vegetation,,,,,NA,captive,2,0,0
38,553,Ring-tailed Monkey,Cebus albifrons,0,,Cebus_albifrons,HLcebAlb1,vs_HLcebAlb1,1,1,1,0,1,1,1,1,0,0,1,0,0,Omnivore/Generalist,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Genus,"The diet of Cebus is more varied than that of any other New World monkey. Foods include fruits, nuts, berries, seeds, flowers, buds, shoots, bark, gums, insects, arachnids, eggs, small vertebrates, oysters, crabs",,,,,NA,captive,2,0,0
39,553,Ring-tailed Monkey,Cebus capucinus,0,cebCap1,Cebus_capucinus,cebCap1,vs_cebCap1,1,1,1,0,1,1,1,1,0,0,1,0,0,Omnivore/Generalist,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Genus,"The diet of Cebus is more varied than that of any other New World monkey. Foods include fruits, nuts, berries, seeds, flowers, buds, shoots, bark, gums, insects, arachnids, eggs, small vertebrates, oysters, crabs",,,,,NA,wild,0,0,0
40,1037,White rhinoceros,Ceratotherium simum,1,cerSim1,Ceratotherium_simum,cerSim1,vs_cerSim1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"Differs from other rhinos in that it is entirely a grazer. It feeds largely on short grasses, using only the broad, flexible lips for cropping the stems. ",,,,,NA,wild,0,0,0
41,1037,White rhinoceros (Chad),Ceratotherium simum cottoni,1,,Ceratotherium_simum_cottoni,HLcerSimCot1,vs_HLcerSimCot1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,Subspecies of C. simum. Info from C. simum. ,,,,,NA,wild,0,0,0
42,577,Sooty Mangabey,Cercocebus atys,0,cerAty1,Cercocebus_atys,cerAty1,vs_cerAty1,1,1,0,0,0,0,0,0,0,0,0,0,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,atys is a sub-group of torquatus; Torquatus diet consisted of fruits and animal matter,,,,,NA,captive,2,0,0
43,573,Guenon,Cercopithecus neglectus,0,,Cercopithecus_neglectus,HLcerNeg1,vs_HLcerNeg1,1,1,1,0,1,1,0,1,0,0,0,0,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet is varied but consists mainly of fruits and seeds therof. A substantial amount of leaves also is eated, some grain and roots, and, at least on occasion, young birds, birds' eggs small reptiles, and insects. ",,,,,NA,captive,2,0,0
44,507,Dwarf Lemur,Cheirogaleus medius,0,,Cheirogaleus_medius,HLcheMed1,vs_HLcheMed1,0,1,1,0,0,0,1,0,0,0,0,0,0,Herbivore,0,0,0,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00269,2.49,0,Genus,"The diet consists mainly of fruit, flowers, nectar, and insects. ",,,,,NA,captive,2,0,0
45,1662,Chinchilla,Chinchilla lanigera,0,chiLan1,Chinchilla_lanigera,chiLan1,vs_chiLan1,0,0,0,0,1,1,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,Any available vegetation,,,,,NA,wild,0,0,0
46,571,Green monkey,Chlorocebus sabaeus,0,chlSab1,Chlorocebus_sabaeus,chlSab2,vs_chlSab2,1,1,1,0,1,1,0,1,0,0,0,0,0,Omnivore,0,1,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,"More than half of feeding time involved hunting for fiddler crabs, eat a variety of fruits, other plant parts, insects, crustraceans, birds eggs, and small vertebrates",,,,,NA,captive,2,0,0
47,181,Cape golden mole,Chrysochloris asiatica,0,chrAsi1,Chrysochloris_asiatica,chrAsi1,vs_chrAsi1,0,0,0,1,0,0,0,0,0,0,0,0,0,Insectivore,0,N/A,NA,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,"Invertebrates, beetles, grubs, and worms",,,,,NA,wild,0,0,0
48,604,Black-and-white Colobus Monkey,Colobus angolensis,0,colAng1,Colobus_angolensis,colAng1,vs_colAng1,0,1,0,0,1,1,0,0,0,0,0,0,0,Herbivore,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"The diet consists mostly of leaves, but fruits and flowers are at least seasonally important.",,,,,NA,captive,2,0,0
49,242,Star-nosed mole,Condylura cristata,1,conCri1,Condylura_cristata,conCri1,vs_conCri1,0,0,1,1,0,0,0,0,0,0,0,1,0,Carnivore/Piscivore,0,1,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,"Aquatic insects, crustaceans, small fish, and earthworms",,,,,NA,captive,2,0,0
50,320,Kitti's Hog-nosed Bat,Craseonycteris thonglongyai,1,,Craseonycteris_thonglongyai,HLcraTho1,vs_HLcraTho1,0,0,1,0,0,0,0,0,0,0,0,0,0,Insectivore,0,N/A,NA,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Species,"prey insects can be found, insects probably were seized directly with the mouth, the stomach contents of one specimen consisted of the fragments of small insects and a spider",,,,,NA,wild,0,0,1
51,1495,African Giant Pouched Rats,Cricetomys gambianus,0,,Cricetomys_gambianus,HLcriGam1,vs_HLcriGam1,0,0,1,0,1,0,0,0,0,0,1,0,0,Generalist,0,0,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Genus,"Ajayi stated that these rats are completely omnivorous, feeding on vegetables, insects, crabs, snails, and other items but apparently preferring palm fruits and palm kernels. According to Kindon, these rats store a considerable amounmt of food as well as many nonedible items, such as coins, metal, and bits of cloth.",,,,,NA,wild,0,0,0
