"","main_Rho","Insectivore_Rho","Vertivore_Rho","main_P","Insectivore_P","Vertivore_P","main_p.adj","Insectivore_p.adj","Vertivore_p.adj","Driver","DriverNumeric"
"BAIAP2L1",2.07990404734352,-1.05066335267211,1.54804947291411,0.225206008394232,0.29341323309933,0.121610385733624,1,0.619908119826256,0.39214416441517,"Both",3
"CACNG3",NA,-3.08452652884397,NA,NA,0.00203876426794608,NA,NA,0.0496297795019535,NA,"MissingData",5
"TMEM132A",-0.720714730931454,-0.416305073389199,-2.78746842531369,1,0.6771867806011,0.00531216307079458,1,0.874414126245777,0.08783308993538,"Vertivore",2
"DVL2",-0.7986595141413,1.71540451889077,-0.43158249189587,1,0.0862710874846504,0.666044885593887,1,0.34476530005885,0.853398919404989,"Insectivore",1
"RPAP3",-1.44562004760326,0.51261052593526,-1.04831260548887,0.889702803091907,0.608223788726572,0.294494603784659,1,0.842551866632681,0.585709767348419,"Both",3
"HOXA11",-0.311690717691701,-0.695359481509246,-0.218368376109609,1,0.486830046366865,0.827142103185988,1,0.771286112946977,0.931338049568667,"Insectivore",1
"TRAPPC6A",0.253052293025231,-0.167820125611967,0.602024679678494,1,0.866724789097016,0.547157709523853,1,0.954527932224048,0.784089963058257,"Vertivore",2
"SPATA20",-1.19561571074896,1.5201473105245,-0.268510322980247,1,0.128473956335581,0.788306529941845,1,0.416775079381297,0.914258271126442,"Insectivore",1
"CD79B",0.438234721582732,0.148998818935156,0.732566799964386,1,0.881554564915418,0.463822686492838,1,0.961065236932608,0.726493607465294,"Vertivore",2
"RHBDD2",-0.482396172119328,2.35780041227757,0.0101855388558684,1,0.0183835739785877,0.991873256322132,1,0.158499654584536,0.99670402282724,"Insectivore",1
"RPUSD1",1.72283435778872,-1.98821313067575,1.42592057272152,0.5095109019168,0.0467881233771576,0.153891270292182,1,0.255780334509392,0.436256333801261,"Unclear",0
"TSR3",-1.20566338531035,1.97801340940849,-0.943601669876355,1,0.0479271939378582,0.345373238599595,1,0.259718559778852,0.632804103678584,"Insectivore",1
"NDUFAB1",0.890847530401741,1.55874142017877,1.66937225133517,1,0.119057594052389,0.0950436293871107,1,0.402292765273249,0.347419888253369,"Unclear",0
"YBX2",0.326154636343774,-1.19942538326764,-1.02070822224062,1,0.23036258250223,0.307392697818715,1,0.555151219116658,0.595948225209252,"Unclear",0
"ITGA3",0.282598211550135,-1.74573819194764,-1.74470833245834,1,0.0808564554109026,0.0810356521447467,1,0.333092600786304,0.322604768053309,"Unclear",0
"KRT33A",1.07846272399761,-0.073877008487216,1.74519616469901,1,0.941108250415725,0.0809507286261401,1,0.978600438220971,0.322510268583519,"Vertivore",2
"LRRC23",0.135966152687057,1.15667533504964,0.735076074122953,1,0.247405030459848,0.462293164739514,1,0.571905130717245,0.725310914823494,"Insectivore",1
"TFAP2D",NA,-0.925836632717182,NA,NA,0.35453088645829,NA,NA,0.671801629483566,NA,"MissingData",5
"CRY1",-0.547160455993866,0.667602081252417,0.404979344273456,1,0.504387628839486,0.685492694196547,1,0.780590507250213,0.863166457119186,"Insectivore",1
"PGLYRP1",2.01151095235062,-0.376477188585271,2.58309537281182,0.265629087874746,0.70656217108011,0.00979182504573516,1,0.887832840227308,0.116590373174824,"Vertivore",2
"STARD3NL",-0.087690909754071,-0.781298943904344,-0.0466372402167213,1,0.434626691129424,0.962802350908428,1,0.73406940049149,0.985709124118545,"Insectivore",1
"CD74",-1.52347207660015,0.753011094827648,-1.70336628273832,0.765843849227382,0.451443246960427,0.0884995434618233,1,0.745764736035626,0.336699522530826,"Vertivore",2
"RPS20",NA,-1.69786266604152,NA,NA,0.0895336850481731,NA,NA,0.352157706871504,NA,"MissingData",5
"MGST1",1.72540242742087,1.20419665760917,2.61857216246793,0.506729844993867,0.228513577549151,0.00882986135529983,1,0.55274982517448,0.111045983272647,"Vertivore",2
"CPA1",0.483839653050736,1.02059291188332,1.90861912044988,1,0.307447349069947,0.0563112435356779,1,0.632734139293394,0.269238690206673,"Vertivore",2
"SYPL1",0.946442144128609,-0.0683155166146283,1.13784188708679,1,0.945534472513053,0.25518651080628,1,0.980498257626772,0.548626759062074,"Vertivore",2
"RANBP9",-1.00590612094328,1.30674632047941,-0.444225430014899,1,0.191298881447522,0.656879608335732,1,0.508321896620146,0.848702939566281,"Insectivore",1
"CD4",1.86229141768835,-0.519004996494357,1.83887444824325,0.375372147266365,0.603757256963914,0.0659336548491241,1,0.839928318453747,0.29276477914729,"Both",3
"PLEKHG6",-0.859400281133367,-1.92945967254953,-1.95593761287114,1,0.0536738218626651,0.0504725038123758,1,0.272306472191751,0.256075477857616,"Unclear",0
"QPCTL",0.185015884324957,1.38677227022818,0.775230286254786,1,0.165511215244688,0.438203594952459,1,0.470744216160931,0.705836312057368,"Insectivore",1
"PPP5C",1.35222799613104,0.64626432813228,2.08166235844897,1,0.518108185530721,0.0373733211481141,1,0.789435568647062,0.219712635185687,"Vertivore",2
"UBR7",-1.16077787647107,-0.0855020009155793,-1.32415962685139,1,0.931862304797968,0.185450036128342,1,0.976177871349043,0.471952375009684,"Vertivore",2
"MAP4K5",0.454698194930225,0.762303160891126,1.20411327709567,1,0.445879087806757,0.228545798880123,1,0.741803791705495,0.518857018831411,"Vertivore",2
"ERCC1",-1.52291224048238,2.33134353975127,-1.44435998151144,0.76668397789175,0.0197352521028976,0.148637741468619,1,0.164432478044312,0.431067721804387,"Insectivore",1
"GPRC5A",1.4211991825934,0.568101103629042,2.3029170094216,0.931553173621526,0.569966318430525,0.0212835129431749,1,0.821445080464319,0.166924868328498,"Vertivore",2
"HEBP1",0.902982589687519,-0.469573816707001,0.701806152821727,1,0.638659534984126,0.482800061154462,1,0.858092871564796,0.740758691638009,"Both",3
"COX15",0.186636177289597,0.459866548415232,-0.182465089808538,1,0.645612012396797,0.8552177487279,1,0.86037936707424,0.943068473153698,"Insectivore",1
"MS4A12",0.927412588220453,-0.912987626189544,0.900264813821487,1,0.361249049408858,0.367979341383729,1,0.67596901137227,0.650738786121044,"Both",3
"XYLT2",0.260467529933074,-0.838708598048433,0.302827647230318,1,0.401632852279528,0.762021212661788,1,0.708768948120531,0.902081836378381,"Insectivore",1
"FTSJ1",-0.173199526799342,3.07234368907775,2.0934146017377,1,0.00212385034137046,0.0363121600774843,1,0.0507945608241323,0.217542627566876,"Unclear",0
"SCTR",2.00280982410035,-0.773091581172743,1.67451355475956,0.271186229944618,0.439468183157264,0.0940297127183746,1,0.736904522916742,0.345721709079438,"Both",3
"RALBP1",-1.76418025527989,3.26317572735498,0.862107139970623,0.46620981536228,0.00110171183554922,0.388628562706066,1,0.0360067352436856,0.667281170578517,"Insectivore",1
"SYT13",0.0577999904084257,-0.451719312933862,0.429752983388776,1,0.651471203302433,0.667375337334365,1,0.8630863845811,0.854023307218356,"Unclear",0
"SNAI2",0.77691031535226,-0.337027586200212,0.648828013484894,1,0.736096104633504,0.516449548364773,1,0.901029284619109,0.766194644026608,"Both",3
"SLC7A9",1.08906439118574,1.7949149290329,2.85053987812267,1,0.0726672549747856,0.00436450770360615,1,0.316318625733367,0.0792962608350163,"Vertivore",2
"RTF2",0.533816017245504,-0.0574566263582297,-0.298834641187999,1,0.954181456149712,0.76506621812642,1,0.984176087987953,0.903354343799858,"DoubleBoth",4
"RB1CC1",0.285329810770018,-0.346445087174148,-0.795967668194201,1,0.729008245879458,0.42605082803781,1,0.897568906757322,0.697115340340493,"Vertivore",2
"AKAP11",-2.18966710893825,0.115056120961918,-2.63709769428256,0.171290328764606,0.908400639256935,0.00836187457682662,1,0.970665672585868,0.107670719188738,"Vertivore",2
"B4GALT7",0.333266345939117,0.081248195075202,-0.0859795674052334,1,0.935244572049976,0.931482659916829,1,0.977346067906343,0.973102372069704,"DoubleBoth",4
"FAM13B",-1.25999532021383,3.25264812836335,1.31455560031985,1,0.001143349849285,0.188659300292987,1,0.0367390408474189,0.475490642841408,"Insectivore",1
"CHPF2",-1.03090780029709,0.0759637532200642,-1.01481903313116,1,0.939447935582667,0.310192099233793,1,0.978191789545798,0.598350242967121,"Both",3
"GABARAPL2",NA,-1.64533159414053,NA,NA,0.0999014478447504,NA,NA,0.371570116593749,NA,"MissingData",5
"MYOC",-1.8968462699808,0.218324956619515,-2.36969640228414,0.347089383136449,0.827175930867086,0.0178026969513394,1,0.937928972607527,0.155229099860325,"Vertivore",2
"FAM136A",1.09809347251512,1.03940349424164,1.55491837550177,1,0.298617119627203,0.119965510420701,1,0.624875405633531,0.388921100521916,"Unclear",0
"NSMAF",-1.30115544538617,-0.951659810537821,-1.84945119288747,1,0.341269537785159,0.0643926891866008,1,0.662241572352062,0.289202253188944,"Vertivore",2
"OTC",-0.706216816882442,1.25020479633142,-0.137891754253061,1,0.211224745183895,0.890325967307139,1,0.534542060060227,0.957643323547189,"Insectivore",1
"TTC17",0.429053765174983,0.0902357613683493,0.621102598144928,1,0.928099866769465,0.534532119901244,1,0.975498759076853,0.777098671786097,"Vertivore",2
"HOXC8",NA,0.0284095494863564,NA,NA,0.977335507887855,NA,NA,0.992962987144831,NA,"MissingData",5
"MRI1",-1.29226180632508,1.78622071925263,-0.032286044423845,1,0.07406352762132,0.974243938340322,1,0.319705917234082,0.98944170503544,"Insectivore",1
"TARBP1",-2.17215467518352,2.57557044503181,-1.33617216161726,0.179063988684658,0.0100074885515047,0.181493007930936,1,0.114961999951339,0.46745396297447,"Insectivore",1
"RTN4R",1.40740193744407,-1.01710075828521,0.655139619311852,0.955849422191244,0.309105499616579,0.512377865566096,1,0.633862475458872,0.763737815208755,"Both",3
"PSMA4",NA,0.89984433105479,NA,NA,0.368203098917027,NA,NA,0.683329978285561,NA,"MissingData",5
"ZPBP",3.00913244915962,-1.06226499893387,1.93442611938509,0.015719692304113,0.288115399255374,0.0530607576267424,0.363043169054011,0.61391645938351,0.262247932982434,"DoubleBoth",4
"LCP2",0.30213209963441,0.626741728948373,-0.26340098255785,1,0.530828545729135,0.792241533365742,1,0.796925433665074,0.915883361649917,"Insectivore",1
"DCN",1.91993544815943,-1.40274224674771,2.01317460055464,0.329196321945261,0.160693714480527,0.0440962643073261,1,0.463879682638443,0.239234905207562,"Unclear",0
"TNFRSF17",-0.532753998193747,0.440273638502153,0.114445913774679,1,0.659738931160596,0.908884319137819,1,0.867151178655701,0.965619195640682,"Both",3
"MRPS10",0.692947430428533,1.2965727342724,1.86712894014774,1,0.194778238956837,0.0618835838848513,1,0.513192534988844,0.283411052455062,"Unclear",0
"GRN",0.446731441984196,1.42780518353924,3.42638997005413,1,0.153347940449833,0.000611661520163913,1,0.452341540810071,0.034798256387738,"Vertivore",2
"THAP3",-0.613043396944843,0.352054168049989,0.613582222839782,1,0.724797639314446,0.539491433815168,1,0.895055763163688,0.780057305795931,"Vertivore",2
"VAMP3",0.294874023397196,-0.789879132356719,-0.217666602053612,1,0.429598359314576,0.827688887441028,1,0.73043036477935,0.931554295911849,"Insectivore",1
"RCN1",1.36139661457218,-0.23125499410014,1.83845434835796,1,0.81711670853916,0.0659954829387083,1,0.934498322776494,0.292884875361286,"Vertivore",2
"RFC2",-0.989987484760777,2.49007871460323,0.470194041502764,1,0.0127714806259301,0.638216390809559,1,0.13035889072957,0.838377855346607,"Insectivore",1
"PPP1R3F",-2.19167631166682,2.53281196966702,-1.18381516503909,0.170417324226293,0.0113151631453778,0.236486237785828,1,0.122459801341161,0.52776124933764,"Insectivore",1
"NFE2L3",-3.41307555628189,3.79459608970376,-1.02247241931862,0.00385404784111386,0.000147884002072972,0.306557360002119,0.206353637121501,0.0126698090886048,0.595667613345412,"Insectivore",1
"CBLN4",1.15720961799372,-1.91198188388202,0.0152370541325496,1,0.0558785177420667,0.987843060165708,1,0.277245136847088,0.995143620329095,"Insectivore",1
"CLDN11",2.49999007487632,-0.896061596565576,2.82309549488819,0.0745180715818179,0.370219866306286,0.0047562402458706,0.771962244973785,0.68516471134754,0.0820212739323857,"Vertivore",2
"FAM168A",NA,-0.43227819340819,NA,NA,0.665539234230204,NA,NA,0.869556990386133,NA,"MissingData",5
"RELT",0.526520868447918,-0.624671576573017,0.710897230505367,1,0.532186631717377,0.47714792234478,1,0.797792470399807,0.736494558293249,"Unclear",0
"PKP2",1.19503614473452,-0.683835847390966,0.144933392042607,1,0.494078827558726,0.884763461739608,1,0.775643943428513,0.955706323406003,"DoubleBoth",4
"YIPF1",-1.15322387254854,2.05013407136946,-0.0504918575564467,1,0.0403513493837224,0.959730437858738,1,0.236519047903616,0.984365648065896,"Insectivore",1
"ADCK2",-0.018763807615652,0.858892585517264,1.24575422088892,1,0.390399780436074,0.212854640975452,1,0.70069649441793,0.502871241482673,"Unclear",0
"INPP4A",1.14546938455542,-0.117498947271158,0.017553823961646,1,0.906464678222075,0.985994794134714,1,0.970403934304313,0.99442210006749,"DoubleBoth",4
"SLC2A3",0.497098307142559,0.00529493485231644,1.26233031233512,1,0.995775272971866,0.206829953645849,1,0.998300432929303,0.4968129166455,"Vertivore",2
"STYK1",0.421803115356748,0.454576729981216,1.36532462694764,1,0.649413778923971,0.172151042018497,1,0.861755869224612,0.459344576672881,"Vertivore",2
"GNA11",NA,1.58631916339514,NA,NA,0.112666927336128,NA,NA,0.392816524038872,NA,"MissingData",5
"CREB3L3",-1.53626623982538,2.4782291151849,-0.139469247515722,0.746838575456582,0.0132036328537567,0.889079355334567,1,0.132354783504355,0.957643323547189,"Insectivore",1
"HDAC7",-0.416552466529193,0.79639789807571,-0.213147583947049,1,0.425800799564043,0.831211850681914,1,0.727731459313957,0.932871024818886,"Insectivore",1
"MRPS35",-0.45304617049783,2.47250843892835,1.18188771339265,1,0.0134168545926559,0.237250257784032,1,0.133256002507573,0.52876315383946,"Insectivore",1
"APPBP2",NA,1.80500046967492,NA,NA,0.0710746085366781,NA,NA,0.312708891982679,NA,"MissingData",5
"CA11",-0.675979567808148,0.516034424522805,-0.991651585399485,1,0.605830366289771,0.321367515923627,1,0.841218228634232,0.609408030195915,"Vertivore",2
"ISOC2",0.34068250473858,0.294742029707802,0.416594233722376,1,0.768190953574276,0.676975227759818,1,0.914752216168486,0.858669284521691,"Unclear",0
"CD22",1.70024602500433,1.66884097630875,3.18279331903423,0.534507950066035,0.0951488995527665,0.00145861692162887,1,0.362375120500656,0.048894036983237,"Vertivore",2
"GSC2",0.134257994583429,0.918773697748536,0.288712389609192,1,0.358213952655663,0.772801480738567,1,0.674186290514155,0.906749291808839,"Insectivore",1
"KCNQ1",1.14811656877167,-1.234152110782,-0.529246832995343,1,0.217146228524373,0.596634232357803,1,0.542350301973486,0.812204370561914,"Insectivore",1
"TRIB2",0.561683014372033,-1.62401818127624,0.358567621571621,1,0.10437192830513,0.719918572391556,1,0.379213956733441,0.879531676567343,"Insectivore",1
"OTUD5",0.483690451463495,0.583822358379773,0.889604047213486,1,0.559339834063831,0.373678532285351,1,0.814476268769411,0.655544231972572,"Vertivore",2
"GPKOW",-1.3629914397878,2.09404145809084,0.152696564756711,1,0.0362562872827853,0.878637569923271,1,0.225227079683956,0.953303775312197,"Insectivore",1
"AQR",1.84435893232518,-0.564082633413148,0.239871197512251,0.390785089022176,0.572697896460693,0.810430110116132,1,0.822365361776344,0.924424696297074,"DoubleBoth",4
"LMCD1",0.647840115197604,-0.117616147933059,1.54742313041485,1,0.906371809557791,0.121761247231807,1,0.970403934304313,0.392295622480633,"Vertivore",2
"PSMC4",NA,0.0540198959504026,NA,NA,0.956919312708495,NA,NA,0.984869206914216,NA,"MissingData",5
"FNDC8",1.71489090785053,-0.464346248447645,0.762956553776661,0.518191379617276,0.642399694010567,0.445489306784128,1,0.859677013279956,0.712072637868397,"DoubleBoth",4
"ACAP1",-2.13944650881334,0.378437869228902,-1.84919232368326,0.194397142160482,0.705105340708979,0.0644300467765489,1,0.887690824471088,0.289284015015753,"Both",3
"DERL2",NA,-1.3473244848429,NA,NA,0.177875749677153,NA,NA,0.490338099747785,NA,"MissingData",5
"NOX3",-0.720849801159753,1.60057439793702,0.201355086977224,1,0.109471216545267,0.840420931320076,1,0.388233478409036,0.936934974678691,"Insectivore",1
"ANO8",1.50739050326687,1.24720368109521,2.65545531783827,0.790263549461051,0.21232282351938,0.00792014252503928,1,0.535862418936787,0.105222802247971,"Vertivore",2
"ICAM3",-1.35646310294154,1.68302270693678,0.16068706703603,1,0.0923706957732041,0.872339876071875,1,0.357130516246042,0.951432762207427,"Insectivore",1
"CTTNBP2",0.68816050955938,-0.330324409927841,0.891230988355107,1,0.741154850663041,0.372805263079421,1,0.903174382907929,0.654981639005972,"Vertivore",2
"ACTL6B",NA,0.404107628121833,NA,NA,0.686133575817705,NA,NA,0.878409219684795,NA,"MissingData",5
"KIF22",0.724756935891488,1.02781618050675,1.24741669503354,1,0.30403630355806,0.212244748129444,1,0.629711786911909,0.502546586572679,"Unclear",0
"PRSS22",-0.800702966082394,1.06393117465541,-0.725487571436316,1,0.287359879308471,0.468152966848049,1,0.613791842514178,0.728816987350333,"Unclear",0
"YTHDC2",1.49042770476534,-2.53513784756044,0.0738686019476485,0.816670874492534,0.0112403084914348,0.941114939586889,1,0.122360080817775,0.977956659616124,"Insectivore",1
"TMEM161A",-0.27808122682638,2.33248400230782,1.33186384683177,1,0.0196752435451872,0.18290493298402,1,0.164432478044312,0.468932940731786,"Insectivore",1
"FOXJ2",-1.78274827980814,2.03073981459694,-0.46729333086234,0.44776373008177,0.0422813952045066,0.640290027264493,1,0.242850307117275,0.840001786832528,"Insectivore",1
"GOLGA5",-2.54221273555004,0.977097431311843,-2.7672741047099,0.0660918639444725,0.328520919330895,0.00565272052204214,0.733342958066183,0.65074707919882,0.090136538004048,"Vertivore",2
"PPP2R5B",0.576968152077546,-0.0969753084629902,0.436660125014098,1,0.922746003004432,0.662357851553595,1,0.974300164637596,0.85144404773779,"DoubleBoth",4
"PYGM",0.426781078237226,-1.74384532599957,0.213972439047316,1,0.0811860644247876,0.830568549885833,1,0.333221510765744,0.932606491139769,"Insectivore",1
"BCL3",-0.435908103440068,2.51711624680782,0.754352035830534,1,0.0118319784027962,0.450637864273873,1,0.125299695228781,0.716264095799486,"Insectivore",1
"PRLH",-0.0486871013690753,-0.957874202312522,-0.619645429899224,1,0.338126196483757,0.535491250173939,1,0.659053520660049,0.778146992748429,"Insectivore",1
"FSTL3",0.43356039570188,0.756691862135246,1.44187332756142,1,0.449234491393226,0.14933811189636,1,0.744135160642542,0.431422426185216,"Vertivore",2
"EPHA8",0.712350827821582,0.561720417731158,0.498140987951105,1,0.574306520937635,0.61838467261075,1,0.823435152399657,0.826921832236633,"Both",3
"TRIP13",-0.347483023588135,-0.614783757797436,-0.748650138881386,1,0.538697537087517,0.45406810360016,1,0.799927352125469,0.718727944479276,"Unclear",0
"VASH1",1.48984591814775,-0.393658520282855,1.20166588782031,0.81758852629583,0.693833169576962,0.229493002625801,1,0.881927685513878,0.520381671169508,"Both",3
"KRT14",1.65552667614995,-2.05556544967558,1.13805261875987,0.586906259067797,0.0398244209494985,0.255098511203088,1,0.234988729221122,0.54854896258705,"Insectivore",1
"KRT20",-0.0803106444631906,-3.08067786918824,-1.7665667023572,1,0.00206529956899155,0.0773008215446899,1,0.0501144322062635,0.317250809844078,"Insectivore",1
"HSD17B10",-0.288930457110403,2.01280147617218,0.488205722606983,1,0.044135518571232,0.625404131538752,1,0.247718524493564,0.830599884343706,"Insectivore",1
"FGF4",-0.169595525866607,0.849218717038071,0.675836930290998,1,0.395759600173924,0.499144184593367,1,0.70446599596081,0.75338001040254,"Unclear",0
"ST6GAL1",-0.0425023464696779,1.21789185544278,0.703304451845284,1,0.223265071643971,0.48186603692181,1,0.548359957012757,0.739870348853005,"Insectivore",1
"TIMM21",-2.01294802621435,1.15735718009449,-0.802182821249081,0.264720584223975,0.247126460907077,0.422447212009885,1,0.57187485588078,0.694762233228691,"DoubleBoth",4
"BPIFB2",-2.66344600779803,2.36398360741331,-1.21441297062696,0.0464068937763039,0.018079612547657,0.224590064847824,0.609504107475908,0.156880321084032,0.515454845686299,"Both",3
"REXO1",-0.411337397741024,-0.486969325205957,-1.17453417883115,1,0.626280069186711,0.240181130094334,1,0.851768219621363,0.532076237744914,"Vertivore",2
"MKRN2",0.737904142557398,1.46065374445388,1.90114816437088,1,0.144110489061268,0.0572826084144366,1,0.438088319053656,0.271552636800545,"Unclear",0
"GPATCH1",-0.0995822170551241,0.194843404589564,0.0434067571508947,1,0.84551554147472,0.965377291352302,1,0.946160468265511,0.986473080886623,"Insectivore",1
"KEAP1",1.0377517594645,1.64171699161995,1.94244283917663,1,0.10064866862589,0.0520835134655637,1,0.373492277874784,0.26032440010137,"Unclear",0
"P2RY10",3.3905978782241,-1.01543539474674,3.32315590019695,0.00418442078721703,0.30989832814716,0.00089005156452494,0.214472375115446,0.634876390411694,0.0403703868786327,"Both",3
"TNS1",-0.792806754563106,-0.3194877861291,-1.18621217031362,1,0.749356651746051,0.235538521213943,1,0.906374298048783,0.52714178164166,"Vertivore",2
"NGFR",-0.72502068922477,0.767594602769895,-1.40854416833799,1,0.442728069908098,0.158969997879895,1,0.739888574609791,0.44267751622012,"Vertivore",2
"NTN1",0.487654989663314,0.343862659482469,1.10614282509784,1,0.730949574756453,0.268664705215157,1,0.898672036723105,0.561182645217775,"Vertivore",2
"ISOC1",0.648537296284316,1.40715915192355,2.35635581033008,1,0.159380201162277,0.018455230883943,1,0.462085371805712,0.156887691041499,"Vertivore",2
"MNT",1.43712140420844,-0.0977551656112397,1.3434753044383,0.904101002026916,0.922126709457963,0.179118117325574,1,0.974300164637596,0.465565314762601,"Both",3
"AP3M2",1.32596288057415,0.671626843617976,2.10529573074431,1,0.501821284679336,0.0352655735162426,1,0.778990239992392,0.214627302165717,"Vertivore",2
"LAPTM4A",0.639207678944005,-0.343340939565626,0.631997378302336,1,0.731341985232674,0.527388590349407,1,0.898738351095923,0.772512326617386,"Both",3
"PTPN18",-0.879082610059366,0.633557782017074,-0.929541639545095,1,0.526369460236621,0.352608456281798,1,0.793877952145239,0.638085819981383,"Unclear",0
"STK10",0.168534327648956,1.30221339561225,0.462910049886276,1,0.192843447185719,0.643428843563621,1,0.510751541737469,0.841707020022945,"Insectivore",1
"TBX21",-0.794711568425689,1.46275611187617,0.19954482057404,1,0.143534126136015,0.841836586491827,1,0.437156078643118,0.937796545107388,"Insectivore",1
"MRPS34",-0.305793702945978,0.575300858975096,-0.272106573510055,1,0.565087840688209,0.785540075259215,1,0.818178544860668,0.912966706870148,"Insectivore",1
"MAP2K5",0.567717506000122,-0.0708600352653475,1.20660590005967,1,0.943509150622053,0.227583953481043,1,0.979526024622613,0.518231272934973,"Vertivore",2
"TIGAR",2.46820522848284,0.403367814480529,3.15021349669763,0.0814754645650469,0.686677660484847,0.00163151189688709,0.806555369575477,0.878620003062747,0.0521569993097369,"Vertivore",2
"FGF20",0.859936120929205,1.75982047446085,1.41146733186395,1,0.078438250428086,0.158106861594072,1,0.328104671274541,0.44182686205572,"Unclear",0
"MTMR7",0.564780639687086,-1.00400437346422,-0.331975421154614,1,0.315376505558012,0.739907818600821,1,0.639769951443119,0.890057955730074,"Insectivore",1
"CPB2",-0.0774200119294223,0.0747203222080079,-0.335411224133724,1,0.940437238088078,0.737314902225785,1,0.978400267694593,0.888550663415536,"Vertivore",2
"FAM107B",-0.755644737497551,1.59818320973558,0.238883271476477,1,0.110002209321069,0.811196097508986,1,0.388890542984001,0.924424696297074,"Insectivore",1
"CDK13",-1.33716492469534,0.828679457471709,-1.27728750629633,1,0.407285812927255,0.201500762837535,1,0.712464465976461,0.49024927865627,"Both",3
"TSPAN32",-0.93078749995856,1.35664859242162,-0.191886952526317,1,0.174892894052857,0.847830757903142,1,0.485916852880145,0.940691674676343,"Insectivore",1
"TRAM2",-0.345042746012491,2.90483723890131,2.33622019767617,1,0.00367444121763219,0.0194797681602568,1,0.0683800432796788,0.160339192529983,"Unclear",0
"CLDN18",1.24648904648083,-1.04484813213808,1.34801861683509,1,0.296093165170313,0.177652394887502,1,0.622165160113729,0.464860386319568,"Unclear",0
"NDUFB4",0.685074890752129,2.97043226159855,1.95418766990389,1,0.00297380980690577,0.0506790269634448,1,0.0608548776545219,0.256801056593453,"Insectivore",1
"HEATR6",-2.37534505990073,3.59147056974114,0.765445990497765,0.105195308716581,0.000328817313169371,0.444006015860587,0.915532259133113,0.0189672591785136,0.710872788346999,"Insectivore",1
"ERLEC1",2.21823230834504,0.920878612523612,3.51517878852447,0.159233981470734,0.357113805971098,0.000439458023360828,1,0.673531691948525,0.032221232936126,"Vertivore",2
"TMEM131",2.59892804747709,-1.17690551962413,1.77310860528942,0.0561092235391115,0.239233218763888,0.0762107123382595,0.674203430656118,0.564937535393918,0.315156337780146,"Both",3
"TMEM38A",0.68109269190016,0.689725541800479,1.7117895346538,1,0.490366800383253,0.0869354613829143,1,0.772965815286507,0.33374887721275,"Vertivore",2
"ACTR6",2.15584020674278,-1.50736473656082,1.22880446128579,0.18657686841736,0.131717192425323,0.219145128458334,1,0.420856292533425,0.508718712802014,"Both",3
