,X_Omnivore...Carnivore.Rho,X_Omnivore...Carnivore.P,X_Omnivore...Carnivore.p.adj,X_Omnivore...Herbivore.Rho,X_Omnivore...Herbivore.P,X_Omnivore...Herbivore.p.adj,Carnivore...Herbivore.Rho,Carnivore...Herbivore.P,Carnivore...Herbivore.p.adj,X_Omnivore...Insectivore.Rho,X_Omnivore...Insectivore.P,X_Omnivore...Insectivore.p.adj,Carnivore...Insectivore.Rho,Carnivore...Insectivore.P,Carnivore...Insectivore.p.adj,Herbivore...Insectivore.Rho,Herbivore...Insectivore.P,Herbivore...Insectivore.p.adj
ABCA8,-2.13342701088006,0.197338279449525,1,-0.433577725161241,1,1,1.95807739758574,0.301325588955915,1,-1.25068228912129,1,1,0.587690591072902,1,1,-1.02891917069543,1,1
ABCA9,1.95025484771461,0.306874508643468,1,0.0600892325262457,1,1,-2.07885096553313,0.225786304827503,1,-1.18932190716821,1,1,-2.60704043491731,0.0547971448295467,1,-1.31597475312002,1,1
ABCB1,1.84891273846986,0.386822483998317,1,-0.176079647114337,1,1,-2.16556367747947,0.1820672670824,1,1.28835319370816,1,1,-0.329203775227444,1,1,1.50736515136721,0.79030251695555,1
ABCB10,-0.0339923307640652,1,1,0.0750888101281037,1,1,0.105964026796623,1,1,-2.17171171531233,0.179264485913692,1,-2.0418693247905,0.246986971880886,1,-2.4095625224303,0.0958299551903541,1
ABCB11,0.396631274413257,1,1,-1.67162080239796,0.567594720416048,1,-1.87395124277556,0.365622873973341,1,2.94493486828075,0.0193813592263976,0.438808232084755,2.40721414942401,0.096448444594983,1,4.41506606561543,6.05874878333455e-05,0.0731221596567201
ABCB4,-3.20043194712781,0.00823330619135584,0.246079375262618,-2.72322704674833,0.0387885670942366,1,1.24132793918003,1,1,-0.09764837137616,1,1,2.47137308713826,0.0807571898246825,1,1.83181406350058,0.401874763516518,1
ABCB5,0.122941896241891,1,1,1.65236411222771,0.590762081102242,1,1.15662647624996,1,1,2.375012980518,0.105289998346896,0.99510979608741,2.02192624948617,0.259103829004461,1,1.41115532809354,0.949192913226408,1
ABCB6,-0.38675699923252,1,1,1.07607200790781,1,1,1.34733138323815,1,1,1.36649487601806,1,1,1.57939168731085,0.685477457290933,1,0.689269562378508,1,1
ABCB7,1.04874102291568,1,1,-0.376368120662829,1,1,-1.52501874317891,0.763526536436806,1,-0.18407104079801,1,1,-1.0720695088399,1,1,0.0870731224872449,1,1
ABCB8,-0.778206251314135,1,1,0.93662263539028,1,1,1.63418918461918,0.613314796780659,1,1.25089755826822,1,1,1.77997325156536,0.450482029986494,1,0.66748104706791,1,1
ABCB9,-0.540847524230843,1,1,-2.89593823563382,0.022681607695274,0.918241047423186,-1.94650625447013,0.309563744278264,1,-3.06803113177958,0.0129284501385192,0.355363643627258,-2.42453100804141,0.091969045530208,1,-1.16753375292562,1,1
ABCC1,2.38748276408092,0.101785189213654,0.956692373088998,0.513222791450941,1,1,-2.23228664255561,0.15357614479564,1,-0.0372274795104975,1,1,-1.98805703300695,0.280832295945226,1,-0.420613671192237,1,1
ABCC10,-0.899754818065013,1,1,2.31326759759648,0.124247586191052,1,2.90773968960817,0.0218430742082483,0.535206939107471,3.47978144867539,0.00301093779978714,0.17586374527027,3.89851582383132,0.000580704462990575,0.143279147835208,2.11043487906548,0.208925488920554,1
ABCC11,-0.737381940101043,1,1,-0.0097529977587422,1,1,0.794922742387866,1,1,0.0921186314772302,1,1,0.669979698295419,1,1,0.104811892224098,1,1
ABCC12,-0.317064257805689,1,1,0.378571446679465,1,1,0.677206015199955,1,1,-1.34588967369291,1,1,-0.977935354553577,1,1,-1.75477346370403,0.475788385927007,1
ABCC2,-0.708794050724535,1,1,-0.422584704632646,1,1,0.429591145855086,1,1,1.8172457991994,0.415076910421114,1,2.23256852681398,0.153464469197338,1,2.25509340496785,0.144764799127316,1
ABCC3,-2.26057509309459,0.142713489144681,1,0.789411461443986,1,1,3.04073740583542,0.0141599734344472,0.430044121966243,1.17572041502676,1,1,2.8945753754613,0.0227803045956352,0.760634424782692,0.69985422616169,1,1
ABCC4,-2.16533622423285,0.182171677148316,1,-1.87227538692527,0.367011084678152,1,0.838254769108489,1,1,-1.34764079468188,1,1,0.545102230732365,1,1,-0.0841540652394875,1,1
ABCC5,0.246995331987305,1,1,-0.32856205619479,1,1,-0.552174214073582,1,1,-0.90456705290249,1,1,-1.03286888664751,1,1,-0.749523600948782,1,1
ABCC6,0.539504849982339,1,1,0.391786147710774,1,1,-0.269593958810037,1,1,1.5392374243715,0.742478065642453,1,0.98606612191243,1,1,1.38783886336719,0.991116706367531,1
ABCC8,-1.2616901708309,1,1,0.374533501458032,1,1,1.69127125281141,0.544710047012817,1,0.335667944461832,1,1,1.32170774513142,1,1,0.0925641766894306,1,1
ABCC9,2.27215453877788,0.13846306792412,1,1.92077076247641,0.328563684025551,1,-0.937993835608338,1,1,-0.679020969042745,1,1,-2.59193727586648,0.0572623021109352,1,-2.28463257684528,0.13400628651498,1
ABCD1,0.332155555770894,1,1,-0.244934227137884,1,1,-0.536403698757688,1,1,0.465998661358976,1,1,0.112997667703383,1,1,0.68049979486448,1,1
ABCD2,1.89548252008494,0.348171032206196,1,-0.610200212660355,1,1,-2.56972742951845,0.0610671360961222,0.876677284594206,1.25915857223802,1,1,-0.555645999747285,1,1,1.86859266113606,0.370077045465841,1
ABCD3,0.505015264609083,1,1,-1.97762004211379,0.287829519265617,1,-2.20948936921792,0.162843726181303,1,-2.42576437880892,0.0916571076955528,0.930650258806372,-2.62910385454389,0.0513661268878806,1,-1.17129189105427,1,1
ABCD4,0.197106851263743,1,1,0.226973328647002,1,1,-0.0264089060677025,1,1,1.11385617675816,1,1,0.855612225905408,1,1,1.03534637008314,1,1
ABCE1,-1.3825956385395,1,1,-0.303589843513737,1,1,1.36899740144258,1,1,-0.779275566255779,1,1,0.701937075307786,1,1,-0.646886487673207,1,1
ABCF1,0.162417489885892,1,1,0.486262473614794,1,1,0.229183926308365,1,1,-0.897623171054807,1,1,-0.95854534157647,1,1,-1.38716121031523,0.992355663636061,1
ABCF2-H2BE1,0.764830873439524,1,1,1.5420462342073,0.73837415311905,1,0.465482230810181,1,1,0.155304020136061,1,1,-0.586855689360591,1,1,-1.24108600160521,1,1
ABCF2,0.566852557838974,1,1,1.59987159316284,0.657762433875522,1,0.79305386248222,1,1,0.411741955604181,1,1,-0.173857385586444,1,1,-1.07487652103749,1,1
ABCF3,-0.167853122294108,1,1,-1.31988512700643,1,1,-0.91871473512286,1,1,0.592580450374647,1,1,0.679236161672911,1,1,1.62247504406167,0.628210034239364,1
ABCG1,-1.7324081136954,0.499205546286757,1,-0.769588328965956,1,1,1.25426732037353,1,1,-0.971732284345249,1,1,0.576526340232591,1,1,-0.452841713914039,1,1
ABCG2,0.856708649210026,1,1,-0.508859449050099,1,1,-1.3883341026243,0.990211993990802,1,1.37658562432437,1,1,0.56964103862712,1,1,1.87021144840697,0.368726763224208,1
ABCG4,0.764982842615225,1,1,0.578547091072359,1,1,-0.401950594732149,1,1,-1.42870931805812,0.918526790990617,1,-1.94614954677633,0.309820670416707,1,-2.10260235886676,0.213003261405935,1
ABCG5,-0.286122079453592,1,1,0.946907112084903,1,1,1.12934709604843,1,1,2.63025985175447,0.0511917753213978,0.694773364634652,2.66573014048922,0.0460927985195805,1,2.14656669164744,0.190966764140767,1
ABCG8,0.360666737193786,1,1,-0.907880571269424,1,1,-1.17253139285446,1,1,2.42134819144765,0.0927783488880149,0.937170274645276,1.9321978217161,0.320010563718088,1,3.30727207444175,0.00565256054885482,0.491247375551611
ABHD1,-2.0753813774576,0.227707216419356,1,0.399711890134728,1,1,2.61900983430108,0.0529112431147086,0.816670050515245,0.932703953271009,1,1,2.55493943405049,0.0637237657043883,1,0.716004787752289,1,1
ABHD10,1.57722336280529,0.688464834571919,1,2.01902666269039,0.260906690070586,1,-0.0281631892240803,1,1,1.38306094104343,0.999877084476343,1,-0.0935049627222359,1,1,-0.0871862236027552,1,1
ABHD11,1.5396040147958,0.741941437564072,1,0.0286954908449121,1,1,-1.57536658288559,0.691031119168429,1,1.08029636335841,1,1,-0.528385274618125,1,1,1.11240283205774,1,1
ABHD12,0.327967882201655,1,1,-0.463290025689676,1,1,-0.755773657473364,1,1,-1.57263029798124,0.694826687502596,1,-1.70787334956037,0.52595907110778,1,-1.38566210518429,0.99510062750197,1
ABHD12B,-1.13044444300175,1,1,0.241487538858691,1,1,1.47487765938176,0.841472625562815,1,-1.81419979082868,0.41788183422139,1,-0.723515220613549,1,1,-2.17457858777341,0.177970262069545,1
ABHD13,-0.58152372205612,1,1,-0.0384470491742111,1,1,0.616429907824235,1,1,0.87041010416995,1,1,1.24473188873079,1,1,1.04817699131354,1,1
ABHD14A-ACY1,2.32907691716359,0.119129947711487,1,3.01221618986961,0.0155608693575727,0.819815349710745,-0.293694598909392,1,1,3.90340981843277,0.000569081403870768,0.0784632800152705,1.24450674137186,1,1,1.91522071863171,0.332786167904767,1
ABHD14A,3.16112818292617,0.00942955926504047,0.265257165687963,4.06335899794658,0.000290229281294703,0.18626715115369,-0.418775872797926,1,1,3.15432196805586,0.00965228987892546,0.306458631923792,-0.155149891332639,1,1,0.244049318848422,1,1
ABHD14B,0.174766049526226,1,1,2.47914017167669,0.0790197230310383,1,1.7578342332102,0.472654312154066,1,0.907800686761884,1,1,0.654067318187926,1,1,-0.846218464817662,1,1
ABHD15,1.22082161938951,1,1,0.508938590811964,1,1,-0.934327038059844,1,1,0.325627463488933,1,1,-0.653137805259108,1,1,0.0101358623244621,1,1
ABHD16A,0.487461686591029,1,1,2.81350112422887,0.0294031288812685,0.97828711565283,1.83094420838542,0.40265322544352,1,0.0827552898399843,1,1,-0.336911532478528,1,1,-2.0579345607975,0.237578493423376,1
ABHD16B,-0.548636607014004,1,1,3.82926044690273,0.000771173560938593,0.276020813772867,3.57046885337042,0.00213805695868572,0.133780246391278,1.40495455444802,0.960208754997635,1,1.69185957443486,0.544036508520976,1,-1.43561757864439,0.906667139388761,1
ABHD17A,-0.248550645627874,1,1,0.0115606574057132,1,1,0.299597728680694,1,1,0.357947936837325,1,1,0.569253889914872,1,1,0.405962990523795,1,1
ABHD17B,1.38037606702953,1,1,0.53986541989682,1,1,-1.15003876941013,1,1,1.29811902020468,1,1,-0.079645043115213,1,1,1.05093309448789,1,1
ABHD17C,-0.314493603186684,1,1,0.111631343636092,1,1,0.410861032631699,1,1,0.153457722036876,1,1,0.378388969958075,1,1,0.099358550374986,1,1
ABHD18,1.3645348108915,1,1,0.146944493504446,1,1,-1.39670315245393,0.97501713493971,1,0.344357788452929,1,1,-0.835424531270874,1,1,0.269119655764771,1,1
ABHD2,0.10489169179567,1,1,-0.343098331976312,1,1,-0.380526335966092,1,1,-1.62383485457046,0.626466354616636,1,-1.46732577902419,0.853724725368587,1,-1.52436176547381,0.764510194203118,1
ABHD3,0.918698508143868,1,1,0.337865604485721,1,1,-0.737393746114721,1,1,0.191814046258152,1,1,-0.62367860177759,1,1,-0.0532464311337795,1,1
ABHD4,1.23078753884354,1,1,-0.077770242380737,1,1,-1.47079958301843,0.848071951561612,1,-0.21569940312282,1,1,-1.32134076118023,1,1,-0.184310840266233,1,1
ABHD5,-0.764682130122012,1,1,-0.615923734243373,1,1,0.354888762185844,1,1,-0.520024824708535,1,1,0.210270020627025,1,1,-0.0837694641750901,1,1
ABHD6,0.839498504117259,1,1,0.804137767627973,1,1,-0.301598078150864,1,1,-0.336887732058841,1,1,-1.04764671037925,1,1,-1.03775528743311,1,1
ABHD8,1.82165423938866,0.411044792690457,1,-0.227800706988212,1,1,-2.2202882800157,0.158395229926956,1,1.51813562557268,0.773881270769629,1,-0.34666374280598,1,1,1.91621454553362,0.33202675605479,1
ABI1,-0.974454429058433,1,1,-0.895743990239467,1,1,0.337784508539263,1,1,-0.745643223785911,1,1,0.27893300733284,1,1,-0.0144159610596617,1,1
ABI2,-2.51852622881703,0.0707082635832679,0.805699764537175,-1.33858097200651,1,1,1.80486529219199,0.426574584979275,1,-2.11577300519626,0.206184708306963,1,0.730798192021324,1,1,-1.22350555037793,1,1
ABI3,-0.625884802238586,1,1,-2.06068486320615,0.235998687880364,1,-0.963388165343422,1,1,0.46371227509738,1,1,0.934120895554357,1,1,2.03175091942152,0.253073269122946,1
ABI3BP,1.63948296675848,0.606676291308822,1,0.351674548274644,1,1,-1.52010739100112,0.770903924030354,1,1.62862382509993,0.620356064692326,1,0.180469399963459,1,1,1.50564377752422,0.792951863812514,1
ABITRAM,1.08630099354989,1,1,1.32277243723785,1,1,-0.0390802774091578,1,1,2.29076923718384,0.13186058249086,1,1.24779295850924,1,1,1.48729347270924,0.821623906293541,1
ABL1,-1.65731802603115,0.584731168494966,1,-0.789595062433712,1,1,1.18942194861019,1,1,0.53970192504607,1,1,1.8623825408708,0.375295129906464,1,1.1714352018996,1,1
ABL2,0.77061878733244,1,1,1.75019869044304,0.480504208382077,1,0.561458701454589,1,1,0.315048439111934,1,1,-0.385448825859052,1,1,-1.01971358364144,1,1
ABLIM1,-1.01209792681228,1,1,-1.75160180752683,0.479053809376016,1,-0.298252229120313,1,1,-2.08597845464463,0.221883448484944,1,-1.08383682523456,1,1,-1.03186528205085,1,1
ABLIM2,0.761256598854205,1,1,-0.058423369391493,1,1,-0.893337380497856,1,1,-1.13659481352625,1,1,-1.66653356520628,0.573643131527361,1,-1.20988824938063,1,1
ABLIM3,-0.136450894004987,1,1,0.384130701915334,1,1,0.439537572126576,1,1,0.277340784561762,1,1,0.354601603096726,1,1,0.00665966018373561,1,1
ABO,-2.59723747746617,0.0563861557683919,0.724601258676453,-0.606810209186028,1,1,2.36985205506736,0.106771225855574,1,-0.297732523728726,1,1,1.99378103946673,0.277055931165423,1,0.101341720863213,1,1
ABR,0.655197329148866,1,1,2.05423742288639,0.239716308113845,1,0.973953258231197,1,1,1.23270813803685,1,1,0.477076803518383,1,1,-0.434499980522855,1,1
ABRA,0.331469582442359,1,1,0.0936231906685795,1,1,-0.294204606354737,1,1,0.753385272268548,1,1,0.402793791909366,1,1,0.760996111251265,1,1
ABRACL,-0.531674262573892,1,1,0.29566426297844,1,1,0.801360565471814,1,1,1.97386872396351,0.290380031385905,1,2.16676417105098,0.181517044261162,1,1.88096699794343,0.359858449724683,1
ABRAXAS1,2.10400806201546,0.212266462564408,1,1.24935814732983,1,1,-1.2631171685347,1,1,2.80903040645097,0.0298145718905012,0.547249268617242,0.916776205197592,1,1,2.12758809617563,0.20022750031025,1
ABRAXAS2,-0.448878534062843,1,1,0.0967928138233353,1,1,0.577444835867261,1,1,-1.42619612328409,0.922870430168132,1,-0.894151264775212,1,1,-1.64126064518408,0.60445993007768,1
ABT1,0.635265096224342,1,1,1.56410952717849,0.706751093784254,1,0.6023760250129,1,1,2.816976565008,0.0290868376779227,0.540066497392471,1.97752782468001,0.28789199123622,1,1.83195270890525,0.401750799742705,1
ABTB1,0.997956120396513,1,1,0.337703607880351,1,1,-0.831615288077413,1,1,-0.77091072240079,1,1,-1.52604124752678,0.761997554440344,1,-1.08721931809588,1,1
ABTB2,-1.784575784002,0.445980913424045,1,-0.206207931821744,1,1,1.82666841089183,0.406497843552962,1,-0.341659916141169,1,1,1.23885532394462,1,1,-0.213254051018652,1,1
ACAA1,0.420615836637372,1,1,-1.01933867188081,1,1,-1.328320544604,1,1,-0.601315727594684,1,1,-0.9091240698008,1,1,0.116983469050945,1,1
ACAA2,-0.0803369222700359,1,1,-0.971552055579563,1,1,-0.684186078363228,1,1,-0.476965800947691,1,1,-0.352342732605377,1,1,0.221064802470814,1,1
ACACA,-0.353725279969557,1,1,-0.780310934133087,1,1,-0.222190758986092,1,1,-1.15244750048558,1,1,-0.714185702076336,1,1,-0.67855955309821,1,1
ACACB,-2.0126040797621,0.264937784616463,1,-1.44126549032167,0.897058156527385,1,0.997789254148506,1,1,0.966642185740312,1,1,2.52657201125418,0.0691090634549329,1,2.09681582715031,0.216059291852531,1
ACAD10,-5.30693494993615,6.68903642813278e-07,0.00176829455860853,-1.63708831650563,0.609672104722196,1,4.49453677614698,4.18329321841409e-05,0.0112288077823547,0.388332965645244,1,1,4.60798137286073,2.43958246756712e-05,0.021497368363014,1.59359127662757,0.666165657596075,1
ACAD11,0.884676701596587,1,1,-0.472306414755257,1,1,-1.38251743028811,1,1,-0.970413172512558,1,1,-1.59933730486389,0.658474048507335,1,-0.71379566376777,1,1
ACAD8,-0.00794254048687015,1,1,-1.2752451097253,1,1,-1.02295780995647,1,1,0.446670550889227,1,1,0.407291211423249,1,1,1.42498998254733,0.924960580916007,1
ACAD9,0.569315587648429,1,1,0.927496895046529,1,1,0.149882810162239,1,1,-0.158343851328977,1,1,-0.608109891348352,1,1,-0.844040275426621,1,1
ACADL,-0.780619656415571,1,1,-0.377689225083183,1,1,0.550773970257518,1,1,-1.19056065407267,1,1,-0.476686956536078,1,1,-1.02271553645997,1,1
ACADM,1.13167089406094,1,1,-0.603148685833928,1,1,-1.75568812634188,0.474850051973619,1,1.56039592062078,0.711998089562666,1,0.519873236204237,1,1,2.11621328638149,0.205960030315451,1
ACADS,-1.25830789321286,1,1,0.101679110002807,1,1,1.47878278559121,0.835190268636975,1,-0.0121895800519379,1,1,0.948099992631525,1,1,-0.0811893404278821,1,1
ACADSB,0.100049507041867,1,1,-0.894295279616166,1,1,-0.879555906077055,1,1,-0.649957967802793,1,1,-0.68519051482651,1,1,-0.0549822932020193,1,1
ACAN,-1.4891379551409,0.818706269426579,1,0.635344666085597,1,1,2.16356471160012,0.182986633650087,1,-1.46411917710979,0.858968330164692,1,-0.151697352281498,1,1,-2.01745349137211,0.261889259235545,1
ACAP1,-2.74129799667333,0.0367181863753698,0.565282894239782,1.45991940798362,0.865873347521269,1,4.25366042114352,0.00012618248989007,0.0229120185809214,-0.0354090229312098,1,1,2.20552303793056,0.164504477986286,1,-1.10870685491248,1,1
ACAP2,-0.22989091854818,1,1,1.36157698616784,1,1,1.42011154326532,0.933451261368134,1,1.65585041812678,0.586512687599944,1,1.7117529141835,0.521653276121314,1,0.710322662493886,1,1
ACAP3,0.903054200037526,1,1,0.603596323382613,1,1,-0.488612147611293,1,1,1.45018126711309,0.882047865056859,1,0.576201516406736,1,1,1.11430111955684,1,1
ACAT1,-1.03417952720605,1,1,0.887662564370876,1,1,1.88815698925626,0.35402926807141,1,-1.33729531599665,1,1,-0.392354584987843,1,1,-2.08192127890714,0.2240979647432,1
ACAT2,0.481024425773599,1,1,0.167994585234803,1,1,-0.389867762039488,1,1,-0.935189219085093,1,1,-1.24879976710851,1,1,-1.13588249627382,1,1
ACBD3,-1.42188900720003,0.930350849534439,1,0.813849745402069,1,1,2.2641118298899,0.141403425412119,1,0.169636896427155,1,1,1.38820614893801,0.990445682604563,1,-0.462463426768055,1,1
ACBD4,1.00800039865762,1,1,1.32586107254255,1,1,-0.0752396595066489,1,1,1.38104212006377,1,1,0.367893256503085,1,1,0.52656430512874,1,1
ACBD5,0.216557542190548,1,1,-0.479994781114533,1,1,-0.664892792370482,1,1,0.769810609703809,1,1,0.521657776591441,1,1,1.25898846149633,1,1
ACBD6,0.92052038657675,1,1,0.669117818543408,1,1,-0.484891526616565,1,1,0.365986506875388,1,1,-0.484890988974869,1,1,-0.131205300753663,1,1
