,Background...Vertivore.Rho,Background...Vertivore.P,Background...Vertivore.p.adj
LRRC23,0.735076074122953,0.462293164739514,0.725310914823494
TFAP2D,NA,NA,NA
CRY1,0.404979344273456,0.685492694196547,0.863166457119186
PGLYRP1,2.58309537281182,0.00979182504573516,0.116590373174824
STARD3NL,-0.0466372402167213,0.962802350908428,0.985709124118545
CD74,-1.70336628273832,0.0884995434618233,0.336699522530826
RPS20,NA,NA,NA
MGST1,2.61857216246793,0.00882986135529983,0.111045983272647
CPA1,1.90861912044988,0.0563112435356779,0.269238690206673
SYPL1,1.13784188708679,0.25518651080628,0.548626759062074
RANBP9,-0.444225430014899,0.656879608335732,0.848702939566281
CD4,1.83887444824325,0.0659336548491241,0.29276477914729
PLEKHG6,-1.95593761287114,0.0504725038123758,0.256075477857616
QPCTL,0.775230286254786,0.438203594952459,0.705836312057368
PPP5C,2.08166235844897,0.0373733211481141,0.219712635185687
UBR7,-1.32415962685139,0.185450036128342,0.471952375009684
MAP4K5,1.20411327709567,0.228545798880123,0.518857018831411
ERCC1,-1.44435998151144,0.148637741468619,0.431067721804387
GPRC5A,2.3029170094216,0.0212835129431749,0.166924868328498
HEBP1,0.701806152821727,0.482800061154462,0.740758691638009
COX15,-0.182465089808538,0.8552177487279,0.943068473153698
MS4A12,0.900264813821487,0.367979341383729,0.650738786121044
XYLT2,0.302827647230318,0.762021212661788,0.902081836378381
FTSJ1,2.0934146017377,0.0363121600774843,0.217542627566876
SCTR,1.67451355475956,0.0940297127183746,0.345721709079438
RALBP1,0.862107139970623,0.388628562706066,0.667281170578517
SYT13,0.429752983388776,0.667375337334365,0.854023307218356
SNAI2,0.648828013484894,0.516449548364773,0.766194644026608
SLC7A9,2.85053987812267,0.00436450770360615,0.0792962608350163
RTF2,-0.298834641187999,0.76506621812642,0.903354343799858
RB1CC1,-0.795967668194201,0.42605082803781,0.697115340340493
AKAP11,-2.63709769428256,0.00836187457682662,0.107670719188738
B4GALT7,-0.0859795674052334,0.931482659916829,0.973102372069704
FAM13B,1.31455560031985,0.188659300292987,0.475490642841408
CHPF2,-1.01481903313116,0.310192099233793,0.598350242967121
GABARAPL2,NA,NA,NA
MYOC,-2.36969640228414,0.0178026969513394,0.155229099860325
FAM136A,1.55491837550177,0.119965510420701,0.388921100521916
NSMAF,-1.84945119288747,0.0643926891866008,0.289202253188944
OTC,-0.137891754253061,0.890325967307139,0.957643323547189
TTC17,0.621102598144928,0.534532119901244,0.777098671786097
HOXC8,NA,NA,NA
MRI1,-0.032286044423845,0.974243938340322,0.98944170503544
TARBP1,-1.33617216161726,0.181493007930936,0.46745396297447
RTN4R,0.655139619311852,0.512377865566096,0.763737815208755
PSMA4,NA,NA,NA
ZPBP,1.93442611938509,0.0530607576267424,0.262247932982434
LCP2,-0.26340098255785,0.792241533365742,0.915883361649917
DCN,2.01317460055464,0.0440962643073261,0.239234905207562
TNFRSF17,0.114445913774679,0.908884319137819,0.965619195640682
MRPS10,1.86712894014774,0.0618835838848513,0.283411052455062
GRN,3.42638997005413,0.000611661520163913,0.034798256387738
THAP3,0.613582222839782,0.539491433815168,0.780057305795931
VAMP3,-0.217666602053612,0.827688887441028,0.931554295911849
RCN1,1.83845434835796,0.0659954829387083,0.292884875361286
RFC2,0.470194041502764,0.638216390809559,0.838377855346607
PPP1R3F,-1.18381516503909,0.236486237785828,0.52776124933764
NFE2L3,-1.02247241931862,0.306557360002119,0.595667613345412
CBLN4,0.0152370541325496,0.987843060165708,0.995143620329095
CLDN11,2.82309549488819,0.0047562402458706,0.0820212739323857
FAM168A,NA,NA,NA
RELT,0.710897230505367,0.47714792234478,0.736494558293249
PKP2,0.144933392042607,0.884763461739608,0.955706323406003
YIPF1,-0.0504918575564467,0.959730437858738,0.984365648065896
ADCK2,1.24575422088892,0.212854640975452,0.502871241482673
INPP4A,0.017553823961646,0.985994794134714,0.99442210006749
SLC2A3,1.26233031233512,0.206829953645849,0.4968129166455
STYK1,1.36532462694764,0.172151042018497,0.459344576672881
GNA11,NA,NA,NA
CREB3L3,-0.139469247515722,0.889079355334567,0.957643323547189
HDAC7,-0.213147583947049,0.831211850681914,0.932871024818886
MRPS35,1.18188771339265,0.237250257784032,0.52876315383946
APPBP2,NA,NA,NA
CA11,-0.991651585399485,0.321367515923627,0.609408030195915
ISOC2,0.416594233722376,0.676975227759818,0.858669284521691
CD22,3.18279331903423,0.00145861692162887,0.048894036983237
GSC2,0.288712389609192,0.772801480738567,0.906749291808839
KCNQ1,-0.529246832995343,0.596634232357803,0.812204370561914
TRIB2,0.358567621571621,0.719918572391556,0.879531676567343
OTUD5,0.889604047213486,0.373678532285351,0.655544231972572
GPKOW,0.152696564756711,0.878637569923271,0.953303775312197
AQR,0.239871197512251,0.810430110116132,0.924424696297074
LMCD1,1.54742313041485,0.121761247231807,0.392295622480633
PSMC4,NA,NA,NA
FNDC8,0.762956553776661,0.445489306784128,0.712072637868397
ACAP1,-1.84919232368326,0.0644300467765489,0.289284015015753
DERL2,NA,NA,NA
NOX3,0.201355086977224,0.840420931320076,0.936934974678691
ANO8,2.65545531783827,0.00792014252503928,0.105222802247971
ICAM3,0.16068706703603,0.872339876071875,0.951432762207427
CTTNBP2,0.891230988355107,0.372805263079421,0.654981639005972
ACTL6B,NA,NA,NA
KIF22,1.24741669503354,0.212244748129444,0.502546586572679
PRSS22,-0.725487571436316,0.468152966848049,0.728816987350333
YTHDC2,0.0738686019476485,0.941114939586889,0.977956659616124
TMEM161A,1.33186384683177,0.18290493298402,0.468932940731786
FOXJ2,-0.46729333086234,0.640290027264493,0.840001786832528
GOLGA5,-2.7672741047099,0.00565272052204214,0.090136538004048
PPP2R5B,0.436660125014098,0.662357851553595,0.85144404773779
PYGM,0.213972439047316,0.830568549885833,0.932606491139769
BCL3,0.754352035830534,0.450637864273873,0.716264095799486
PRLH,-0.619645429899224,0.535491250173939,0.778146992748429
FSTL3,1.44187332756142,0.14933811189636,0.431422426185216
EPHA8,0.498140987951105,0.61838467261075,0.826921832236633
TRIP13,-0.748650138881386,0.45406810360016,0.718727944479276
VASH1,1.20166588782031,0.229493002625801,0.520381671169508
KRT14,1.13805261875987,0.255098511203088,0.54854896258705
KRT20,-1.7665667023572,0.0773008215446899,0.317250809844078
HSD17B10,0.488205722606983,0.625404131538752,0.830599884343706
FGF4,0.675836930290998,0.499144184593367,0.75338001040254
ST6GAL1,0.703304451845284,0.48186603692181,0.739870348853005
TIMM21,-0.802182821249081,0.422447212009885,0.694762233228691
BPIFB2,-1.21441297062696,0.224590064847824,0.515454845686299
REXO1,-1.17453417883115,0.240181130094334,0.532076237744914
MKRN2,1.90114816437088,0.0572826084144366,0.271552636800545
GPATCH1,0.0434067571508947,0.965377291352302,0.986473080886623
KEAP1,1.94244283917663,0.0520835134655637,0.26032440010137
P2RY10,3.32315590019695,0.00089005156452494,0.0403703868786327
TNS1,-1.18621217031362,0.235538521213943,0.52714178164166
NGFR,-1.40854416833799,0.158969997879895,0.44267751622012
NTN1,1.10614282509784,0.268664705215157,0.561182645217775
ISOC1,2.35635581033008,0.018455230883943,0.156887691041499
MNT,1.3434753044383,0.179118117325574,0.465565314762601
AP3M2,2.10529573074431,0.0352655735162426,0.214627302165717
LAPTM4A,0.631997378302336,0.527388590349407,0.772512326617386
PTPN18,-0.929541639545095,0.352608456281798,0.638085819981383
STK10,0.462910049886276,0.643428843563621,0.841707020022945
TBX21,0.19954482057404,0.841836586491827,0.937796545107388
MRPS34,-0.272106573510055,0.785540075259215,0.912966706870148
MAP2K5,1.20660590005967,0.227583953481043,0.518231272934973
TIGAR,3.15021349669763,0.00163151189688709,0.0521569993097369
FGF20,1.41146733186395,0.158106861594072,0.44182686205572
MTMR7,-0.331975421154614,0.739907818600821,0.890057955730074
CPB2,-0.335411224133724,0.737314902225785,0.888550663415536
FAM107B,0.238883271476477,0.811196097508986,0.924424696297074
CDK13,-1.27728750629633,0.201500762837535,0.49024927865627
TSPAN32,-0.191886952526317,0.847830757903142,0.940691674676343
TRAM2,2.33622019767617,0.0194797681602568,0.160339192529983
CLDN18,1.34801861683509,0.177652394887502,0.464860386319568
NDUFB4,1.95418766990389,0.0506790269634448,0.256801056593453
HEATR6,0.765445990497765,0.444006015860587,0.710872788346999
ERLEC1,3.51517878852447,0.000439458023360828,0.032221232936126
TMEM131,1.77310860528942,0.0762107123382595,0.315156337780146
TMEM38A,1.7117895346538,0.0869354613829143,0.33374887721275
ACTR6,1.22880446128579,0.219145128458334,0.508718712802014
FAP,0.134537265305171,0.892977745481496,0.959011367161015
DMRT3,-1.06629886754339,0.28628856128217,0.578408875114781
GAL3ST2,-0.220249348815485,0.82567696529991,0.930934909806394
UHRF1BP1,0.947344351621489,0.343463337659211,0.631257027501183
OSTM1,-0.956720580904783,0.338708307290046,0.626098430217703
SLC13A1,2.25720448055534,0.0239953005838192,0.176191064666021
HSPB11,1.57470784498204,0.115323896183011,0.381875663204321
STRADB,2.08231598916191,0.0373136163862959,0.219697930461593
DLG3,-0.639481190656383,0.522509946053173,0.770055031208285
PLOD1,0.786517867953986,0.431564155299653,0.701198902930934
OXCT1,1.04989285362759,0.293767377597796,0.584975502951263
FAM234B,0.759823956035066,0.447359821281112,0.713658929090612
RRN3,-0.125601553991236,0.900047332792204,0.962584962862406
MOGAT2,1.93229030080535,0.0533236848944711,0.262758765233179
CHERP,1.41044228930295,0.158409125762712,0.441930446161802
AQP2,2.40195112921258,0.0163078869501719,0.147738719410411
DIMT1,3.13632208263201,0.00171081205182509,0.0533886471710046
EIF2AK1,-1.64479092644367,0.10001293398099,0.35602058799172
NME8,2.08550980261442,0.037023049292103,0.219212764085383
EPDR1,-0.459876751511714,0.645604688379921,0.842655825552223
HBQ1,-0.884098711474308,0.376642928723571,0.658046824226815
RBM22,NA,NA,NA
HSD17B2,3.98261108720195,6.81622471702419e-05,0.0161977420383616
ZW10,-2.02663473792879,0.0426997812252666,0.235596267377425
ITGB4,-1.31840675394528,0.187367521081366,0.473887761236401
TRIP6,0.781559197537738,0.434473674038806,0.703429132027241
ADAM11,0.157984415654814,0.874469078996114,0.952002932363666
SLC22A4,2.03551868259795,0.0417987106538748,0.232618911465042
TFAP2C,1.43367553229972,0.151664877679887,0.433689192063048
SULT2B1,0.523472785684312,0.600645284528641,0.815327256000772
EPS8L1,-2.82484038978011,0.00473041734673994,0.0820212739323857
REM1,1.43314629010595,0.151816035037832,0.433913162284198
PDRG1,0.752119489917274,0.451979204254264,0.717434581322008
PPP1R13B,-1.61784066958434,0.105696939204666,0.365403197470195
TGM6,-0.246647330952545,0.805181171106281,0.922090864234534
RALGAPA2,1.66166893344019,0.0965791734294138,0.349554100089724
RPL6,1.70039763765266,0.0890561558847166,0.337685350789771
ESF1,0.0555753508726119,0.955680101302495,0.983191572086211
SLC8B1,-0.819111967249132,0.412722534712691,0.687218737107318
SIRT4,0.732190082789774,0.464052556568263,0.726627598424948
TRMT6,1.62049365595353,0.105126276007269,0.364097058659435
HAUS5,0.445934836082644,0.655644317584239,0.848428013433203
UQCRC1,1.07920849661766,0.280494792824775,0.573739320420457
GMIP,2.97948417012704,0.00288734148231745,0.0672330394212123
LAG3,-0.208411815747484,0.834907431253015,0.933965002862748
OTUB2,-0.0926206099413994,0.926204969763332,0.971481400282969
TFAP4,2.28041004363462,0.0225833804948097,0.172446602120124
PDCD7,1.03934792782919,0.298642952211159,0.588333075575738
SPG21,3.16570786333129,0.00154706082248243,0.0505775035990792
CHRD,0.147290445861785,0.8829027733302,0.954639808746462
GNPTG,-0.144749372891148,0.884908755695045,0.955714111263351
EFNB1,1.36907349560115,0.170976302282414,0.457958160963572
GLG1,2.07481303121578,0.038003866378004,0.221775281909263
DLL3,0.831364091145063,0.405767978249396,0.680559766299449
NAT14,1.13570612641123,0.256079575730941,0.549797570979407
AASDH,0.546664215589139,0.584609442993817,0.805651553556443
DLD,-1.29239614727793,0.196219990262717,0.483791500641214
ABCC6,0.497400920671091,0.618906356469438,0.827326454386618
CMTM6,2.5992650028787,0.00934236202265201,0.113837691257763
APOH,0.884149031690359,0.376615767834327,0.658046824226815
SPAG7,-0.355453535644799,0.722249848223131,0.880883535817359
RGS17,2.40461077118952,0.0161896988777519,0.147587208633254
CCDC80,0.637126249124179,0.524042611882105,0.771080332183859
HAUS4,0.658703160912842,0.510086402808853,0.761905600239571
CEBPE,1.28632257386748,0.198330507423363,0.48613826421981
OSGEP,0.745965002159362,0.455688556794278,0.719723932010957
TGM1,-1.47179886623588,0.141075199877712,0.421690049268349
TEKT2,-0.406866735603367,0.684105868598331,0.862753390012816
XYLB,-0.493820097188429,0.621433238523678,0.828723965624371
ADH7,-1.90071480317426,0.0573393785251509,0.271552636800545
KRT23,0.547855272088625,0.583791282926103,0.805043859627362
CDC6,1.24540817447137,0.212981750016742,0.502871241482673
AAAS,1.08037149737823,0.279976782981581,0.573536875963711
CBX5,NA,NA,NA
KLHL20,NA,NA,NA
FMO2,-1.8967492651603,0.0578610382468636,0.273018782155773
RAB26,-1.42491115832721,0.154182883744073,0.436783710955515
PSMD5,0.316653990025541,0.751506164077532,0.896300466063411
NANS,0.985420516665312,0.324417555946792,0.612730119422326
SEMA4G,0.501643557223056,0.615918274334438,0.825157851299215
MAPK13,1.49453521559911,0.135035784651553,0.41328885336921
TMEM14A,2.22127790547712,0.0263321443947447,0.185504062004769
PRRT1,0.298110735276805,0.76561864832151,0.903354343799858
ZNF184,-1.31133332674715,0.189745173613813,0.477117710484416
VCL,2.95744229847339,0.00310202801349096,0.068598874254418
SIRT1,1.3389507737379,0.180586698841542,0.466588316256121
TGFBR3,1.11736191147282,0.263839613758656,0.555453894355665
TMED1,0.631990846613523,0.527392858437195,0.772512326617386
OCEL1,0.449964130564688,0.652736304581689,0.847454916397784
PSMD8,1.83737395771743,0.066154708608838,0.293192699186587
STX1B,NA,NA,NA
EFNA2,2.2673076181664,0.0233714404160419,0.175226553673029
FGF22,1.05179032577573,0.292895758537806,0.584350046031196
MARCHF2,0.706411959937583,0.479931985377742,0.738402027823716
NDUFB7,0.716961343170277,0.473397949456113,0.733694840698654
TIMM13,NA,NA,NA
CDC34,NA,NA,NA
GADD45B,1.33382491065689,0.182261245023259,0.46824805278354
MAPK12,0.0727303713653162,0.942020679688323,0.978224843314709
SERPIND1,2.18938824443393,0.0285686333522144,0.194687832959335
SNAP29,1.3044639576931,0.192075440668182,0.478829017087351
THAP7,1.68890226253352,0.0912381616242632,0.341242673281163
MMP11,1.04630925222173,0.295418275074882,0.586303944420696
MIF,2.54341509766155,0.0109774731452194,0.124122271916177
SF3A1,0.647480634321866,0.517320924052912,0.766362468015424
USP18,0.468119134660818,0.639699396370012,0.839445671830813
SEC14L3,1.66227839132469,0.0964569683887115,0.349373153607458
SNRPD3,-3.08017886355676,0.00206876316256962,0.0585142299765009
MAPK1,NA,NA,NA
TCN2,0.619991865826464,0.535263142230394,0.777890358919261
CRYBB3,1.51086188297394,0.130823644105997,0.406911103907944
SLC25A1,1.99755166456857,0.0457652879627548,0.244163742829483
PLA2G3,1.76549426367835,0.0774807334630515,0.317576390291976
LGALS2,1.3133087563082,0.189078929154169,0.476212797389457
PDXP,3.56964335806994,0.000357467555598899,0.0303325278638526
ASPHD2,-1.04657940443165,0.295293604940768,0.586241325788168
LGALS1,0.540776604419619,0.588661570402698,0.808521572756823
PIK3IP1,1.34220202182731,0.179530501114326,0.465883099570912
SRRD,-1.31899858726109,0.187169584768746,0.47369460595629
ANKRD54,0.0194131629261996,0.984511509891133,0.993655986996035
MICALL1,0.143395500107234,0.885977836644255,0.955980086060496
CENPM,1.54717327207058,0.121821469182997,0.392299527808702
DMC1,1.9120572086242,0.0558688566379685,0.26873987600633
HSCB,0.896986844289425,0.369725937044252,0.651927901893313
CBY1,1.71915835745203,0.0855855410503689,0.331882929916501
TOMM22,1.59039907089355,0.111744879637348,0.37631988005407
RSPH14,3.0998791368584,0.00193599625041784,0.0568111045979082
RTCB,1.48701008854201,0.137012146445472,0.416004760115296
JOSD1,1.81618576625717,0.0693418807624094,0.300111814180914
GTPBP1,0.249653910641942,0.802855003648363,0.920753377001129
PPP6R2,-1.1448953526317,0.252252509354933,0.545869744085519
DNAL4,NA,NA,NA
C22orf31,1.0791384526481,0.280526011738948,0.573739320420457
MIOX,-0.273142785154214,0.784743458913622,0.912844016393379
RHBDD3,1.36074101315253,0.173595548733073,0.461454975020121
RASL10A,1.48066016651334,0.138697153680247,0.418398130533062
HMGXB4,0.990766034265984,0.321799838232466,0.609998086930619
BIK,3.2640092722177,0.00109847570464887,0.0441166132121137
HMOX1,1.69603388011374,0.0898794640288465,0.339034231304677
NIPSNAP1,1.33674777085636,0.181304982906314,0.467388711694312
MCM5,0.171428866465787,0.863886558573026,0.947404142264722
ARSA,2.06899790584948,0.0385462832137069,0.222570544658829
RASD2,1.71663412743934,0.0860460428506985,0.332728989046838
TTLL12,0.453343283893183,0.650301569592526,0.845425624644991
CBX7,2.91484100174274,0.00355869795143629,0.0723486457490443
CABP7,NA,NA,NA
RPL3,-0.0747460155413924,0.940416794941801,0.977500190682057
TAB1,-0.448985306722378,0.653442256085845,0.847638296605029
PNPLA5,0.836836675189442,0.402684379158035,0.678356553959732
MYH9,0.183993749640809,0.854018358279506,0.942275532521428
TXN2,1.24035589998221,0.214843784844722,0.504901279958717
EIF3D,NA,NA,NA
PVALB,0.391289331007746,0.695583384120905,0.86797617358686
UPK3A,-0.812132075476481,0.416715849813399,0.690536029140881
FAM118A,1.76646849714043,0.0773172822455012,0.317250809844078
ST13,2.27005431302459,0.0232042878629196,0.174627585391898
IL2RB,-0.266849753997995,0.789584844607904,0.914958513173087
RBX1,NA,NA,NA
L3MBTL2,1.22802628791652,0.219437099852693,0.509042843829685
CHADL,-0.488222565362233,0.625392202773504,0.830599884343706
PHF5A,3.81712151583712,0.000135017681435016,0.0219280329074675
PMM1,1.40287866040707,0.16065302531124,0.444870008030313
CERK,0.909090440632111,0.36330238814528,0.646708222810409
ZBED4,-1.43202344815723,0.152137110828609,0.434135447185965
HDAC10,-1.31009631604707,0.190163254551244,0.477431149724399
RIPK3,1.74015294693504,0.0818321652511848,0.324152379741384
PAPOLA,0.55243697927864,0.580649000776405,0.803262355310403
HSP90AA1,1.10790192938557,0.267904172266595,0.560136298160944
SNAPC1,1.77913312447811,0.0752179391822544,0.313231804082926
SUPT16H,2.29705285608915,0.0216157546843475,0.167878892152072
FKBP3,-0.195074865812064,0.845334338743382,0.939440059773383
COCH,1.34461044651818,0.178751068026957,0.465086099031006
AP4S1,1.60306432128407,0.108920454075918,0.371613855514493
POLE2,0.633776783592267,0.526226506586033,0.772179501906983
SOS2,0.236283026502484,0.81321305698298,0.925325449199256
PYGL,0.706909330958933,0.47962282496487,0.738227162770753
GNPNAT1,2.86444366059103,0.00417742459354178,0.0779923622507479
CGRRF1,0.542185334138117,0.587690837421061,0.807687207316442
ATP6V1D,NA,NA,NA
CCDC198,-0.793705463967447,0.427366918597627,0.697812246645801
PLEK2,1.38080948101134,0.167337547584666,0.4535198849307
PIGH,2.45492059107444,0.0140915712692764,0.139184165512263
PSMA3,NA,NA,NA
TMED8,0.528707442101846,0.597008413777989,0.812204370561914
AHSA1,2.88452127294771,0.00392009272696793,0.076006521884626
SPTLC2,3.14782176212943,0.0016449195932808,0.0521569993097369
RIN3,-1.174988983172,0.239999123381356,0.531985142288229
ALKBH1,0.75942133576698,0.447600554469322,0.713816785419136
DHRS7,2.51933746258266,0.0117575910103684,0.127200351683013
SIX4,0.913659410920591,0.360895838035906,0.645101809391175
SLC10A1,2.63475661347352,0.00841976326581981,0.108139544529713
EIF5,2.04371326896153,0.0409818815969538,0.230786933706276
ZFYVE21,0.373913580413732,0.708468612421142,0.873598654748055
BDKRB1,-2.18420079583406,0.0289474964829818,0.196064119676662
VRK1,-0.526982873334921,0.598205481895407,0.812892091637268
PABPN1,NA,NA,NA
EFS,-0.667141768080948,0.504681582772586,0.757724714333711
CINP,0.349232561018603,0.726914723089259,0.883346135252117
PCK2,-0.704531738333683,0.481101691983102,0.73928179495465
NFKBIA,0.65445729805346,0.512817229785396,0.763930097269266
EMC9,1.26299500208858,0.206590975869654,0.496680306137398
BRMS1L,NA,NA,NA
PNN,-3.93024195471489,8.48604237375772e-05,0.0178018311129495
RABGGTA,0.631298309009882,0.527845492385133,0.772836207540233
CYP24A1,1.44426406875347,0.148664708877056,0.431067721804387
ZFP64,-0.686961087047717,0.492107250277939,0.748779172982981
PYGB,0.455185945086528,0.64897547106602,0.845083672297712
PROCR,2.08309931715741,0.0372421716199425,0.219697930461593
MYBL2,1.52443307279872,0.127400563644494,0.400803606183387
R3HDML,0.85246836732547,0.393954188669806,0.672034848042349
PABPC1L,0.0271512003077879,0.978339137853288,0.990603629291148
SALL4,-1.63277271302624,0.102516808022732,0.360012524616449
CSTF1,NA,NA,NA
TPD52L2,-0.218928447998804,0.826705785672647,0.931214520064863
CTSZ,-0.035545762947239,0.971644555858058,0.989082134485824
TUBB1,-0.877150142412089,0.38040509245771,0.660909888890824
SLCO4A1,-3.13140738953487,0.00173970645809254,0.0535988082916865
UBOX5,-0.298927349999219,0.764995478405315,0.903354343799858
EEF1A2,NA,NA,NA
SRMS,-1.70829246848856,0.0875820880922562,0.334811404339519
C20orf27,1.50411915984418,0.132550687784513,0.409318643298865
SLC52A3,0.336223729573226,0.736702159872481,0.888393571127553
RSPO4,-0.539520760171924,0.589527576226987,0.808521572756823
PROKR2,-0.679163230535432,0.497034442167272,0.752690578351854
FERMT1,1.30355927067688,0.192383895238234,0.478964902298762
TLDC2,-0.863663460964473,0.387772791482351,0.666392108607285
SNTA1,-0.00218108863054461,0.998259744435721,0.999127425396322
OXT,-0.236904369401089,0.812730980179622,0.925055668774153
CHMP4B,0.474447093430033,0.635181117332117,0.836569200922942
LBP,0.4387023172126,0.660877247839987,0.850741850414319
SLC32A1,1.96827132522049,0.0490368274205973,0.252599893314301
AHCY,2.2098948456965,0.027112461047009,0.188488163034408
ACOT8,1.43008013817937,0.152694020004523,0.434739015673575
APMAP,-0.240632368108288,0.809840061064809,0.924272652434856
RNF125,1.98436483650256,0.0472151830526996,0.24778948048227
IDH3G,1.726131123616,0.084323825686151,0.329071067991751
SLC25A43,1.43370666309172,0.151655989955954,0.433689192063048
MXRA5,-1.28926124668143,0.197307278807636,0.48499334294511
VSIG1,-0.661562556756087,0.508251610818402,0.760671947252351
PSMD10,2.13245508097232,0.0329694534315996,0.20862809346804
PGRMC1,1.85410964770141,0.0637234747321845,0.287568369526684
NXT2,1.5535804689044,0.120284521090648,0.389382898246223
GUCY2F,-0.691932642687523,0.488979630019922,0.746406816257025
ATP1B4,1.86402510285226,0.0623181792024266,0.284667833628015
TLR8,3.31855486808045,0.000904845438611338,0.0409185194754061
GLRA2,2.61267843936858,0.0089835782288076,0.111767483239509
STAG2,1.39633512457987,0.16261360129057,0.447706130859055
F9,-0.295296565009271,0.767767340316493,0.903995244731974
ABCD1,-0.317946496395627,0.750525522138101,0.89559183756175
BCORL1,0.164933247261067,0.868996523222457,0.950077704433731
KCND1,1.27152941518712,0.203540369674461,0.492746654351747
PCSK1N,1.16885966013777,0.242460178659955,0.533992204502766
GPR50,-1.82991192983802,0.0672631092542184,0.295872742213648
RP2,2.0333482133223,0.0420173553927291,0.233319902886684
USP11,0.379839284442502,0.704064719199464,0.871723246503037
TIMP1,-0.122464687340825,0.902531010866181,0.96347727845327
GLA,3.15842203396751,0.0015862573335047,0.0513037061354498
ATP12A,1.62079620717147,0.105061352209829,0.3640293906473
MLNR,1.16640959907816,0.243448879352763,0.534999545139551
ACP5,1.88754605405717,0.0590869180911957,0.275872893616513
SGCG,2.03200232726427,0.0421534203448478,0.23390347571219
OLFM4,1.70638086238977,0.0879371913987921,0.335828909958876
NTHL1,1.68632881191264,0.0917324845443178,0.342190033726198
ZNF263,0.951613978424105,0.341292789695088,0.629028223984698
MMP2,-0.399981035708712,0.689170484796757,0.864533317915683
ORC6,1.03423488317916,0.301026370155253,0.590486827781784
C16orf70,1.77330157571819,0.0761787481083397,0.315156337780146
CORO1A,0.149929096935008,0.880820555144216,0.953915599100958
NUTF2,NA,NA,NA
CBLN1,NA,NA,NA
ARL2BP,0.817408123618059,0.413695234794308,0.688231394022824
PLLP,1.44340473769204,0.148906490283742,0.431354742854937
CCL22,2.27950544574597,0.02263703662122,0.172594548776834
DHODH,-0.878175652697566,0.379848402662813,0.660469629885735
POLR2C,NA,NA,NA
PARD6A,0.562893517116959,0.573507394947363,0.800707716612228
MMP15,-0.171272231683979,0.864009713730829,0.947404142264722
USB1,0.057622882195122,0.95404902259807,0.982861774616324
CCDC113,0.0212879221206479,0.983015978408825,0.992743603763499
PRSS54,3.73625472538412,0.000186781463215655,0.0238412524247052
NME3,1.11959765206782,0.262885256579422,0.554633946981607
PSMD7,NA,NA,NA
SETD6,1.17780650019588,0.238873756656565,0.530658805786256
SLC38A7,2.0926997439773,0.0363759661356432,0.21764992657925
SMPD3,-0.803961972282641,0.421418937395072,0.69388203542579
SLC7A6,3.10031827276833,0.00193312797289963,0.0568111045979082
PLA2G15,0.934861337867916,0.34985976395619,0.636001528231769
FA2H,1.80842723014657,0.0705400330695983,0.302871871842475
MPG,-0.904482918800837,0.365739387713912,0.648923304590754
HSDL1,-0.457584306425722,0.647251120502087,0.843711135243249
USP10,-1.14219370442093,0.253373512255724,0.547020230004353
TSC2,-0.559024886170946,0.576144736153455,0.801823065153143
NME4,2.19345260873368,0.0282747854931057,0.193328365816147
DECR2,1.45573022132347,0.145467212033998,0.427050842758944
STUB1,2.0815357407874,0.0373848962147255,0.219712635185687
RHBDL1,-0.153071004931366,0.878342281094256,0.953188806843486
