"","HI-Rho","HI-P","HI-p.adj","HI-significant","HO-Rho","HO-P","HO-p.adj","HO-significant","HV-Rho","HV-P","HV-p.adj","HV-significant","IO-Rho","IO-P","IO-p.adj","IO-significant","IV-Rho","IV-P","IV-p.adj","IV-significant","OV-Rho","OV-P","OV-p.adj","OV-significant","HI-HO-Overlap","HI-HV-Overlap","HI-IO-Overlap","HI-IV-Overlap","HI-OV-Overlap","HO-HV-Overlap","HO-IO-Overlap","HO-IV-Overlap","HO-OV-Overlap","HV-IO-Overlap","HV-IV-Overlap","HV-OV-Overlap","IO-IV-Overlap","IO-OV-Overlap","IV-OV-Overlap","HI-HO-HV-Overlap","HI-HO-IO-Overlap","HI-HO-IV-Overlap","HI-HO-OV-Overlap","HI-HV-IO-Overlap","HI-HV-IV-Overlap","HI-HV-OV-Overlap","HI-IO-IV-Overlap","HI-IO-OV-Overlap","HI-IV-OV-Overlap","HO-HV-IO-Overlap","HO-HV-IV-Overlap","HO-HV-OV-Overlap","HO-IO-IV-Overlap","HO-IO-OV-Overlap","HO-IV-OV-Overlap","HV-IO-IV-Overlap","HV-IO-OV-Overlap","HV-IV-OV-Overlap","IO-IV-OV-Overlap","HI-HO-HV-IO-Overlap","HI-HO-HV-IV-Overlap","HI-HO-HV-OV-Overlap","HI-HO-IO-IV-Overlap","HI-HO-IO-OV-Overlap","HI-HO-IV-OV-Overlap","HI-HV-IO-IV-Overlap","HI-HV-IO-OV-Overlap","HI-HV-IV-OV-Overlap","HI-IO-IV-OV-Overlap","HO-HV-IO-IV-Overlap","HO-HV-IO-OV-Overlap","HO-HV-IV-OV-Overlap","HO-IO-IV-OV-Overlap","HV-IO-IV-OV-Overlap","HI-HO-HV-IO-IV-Overlap","HI-HO-HV-IO-OV-Overlap","HI-HO-HV-IV-OV-Overlap","HI-HO-IO-IV-OV-Overlap","HI-HV-IO-IV-OV-Overlap","HO-HV-IO-IV-OV-Overlap","HI-HO-HV-IO-IV-OV-Overlap","HI-HO-Delta","HI-HV-Delta","HI-IO-Delta","HI-IV-Delta","HI-OV-Delta","HO-HV-Delta","HO-IO-Delta","HO-IV-Delta","HO-OV-Delta","HV-IO-Delta","HV-IV-Delta","HV-OV-Delta","IO-IV-Delta","IO-OV-Delta","IV-OV-Delta"
"CFTR",-0.389615032792724,1,1,FALSE,-0.59665860687838,1,1,FALSE,-0.716355287805952,1,1,FALSE,-0.161305997504853,1,1,FALSE,-0.370049339436509,1,1,FALSE,-0.250437235085036,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.146401915237067,0.231040250006476,0.161438867058212,0.013835034450796,0.0984135645497157,0.0846383347694087,0.307840782295279,0.160236949687863,0.244815479786783,0.392479117064688,0.244875284457272,0.329453814556192,0.147603832607416,0.0630253025084963,0.0845785300989197
"CYP51A1",-0.477426553986214,1,1,FALSE,1.47805326587003,0.836361129590515,1,FALSE,2.77331433696477,0.0332930960371229,0.451440742633725,FALSE,1.75698286728595,0.473524377050804,1,FALSE,2.9348733644183,0.0200210303470199,0.532954703625149,FALSE,1.76429861678612,0.466090300435093,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.3827330410938,2.29862092787184,1.57996605372865,2.41286041174613,1.58513906980969,0.915887886778043,0.197233012634857,1.03012737065234,0.202406028715891,0.718654874143186,0.114239483874293,0.713481858062153,0.832894358017478,0.00517301608103317,0.827721341936445
"USP28",-1.4580226363165,0.869005822382111,1,FALSE,-0.498741209567439,1,1,FALSE,-1.76105311646924,0.469376479314828,1,FALSE,0.956897999375367,1,1,FALSE,-0.525814952219132,1,1,FALSE,-1.34418792822555,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.678314401920571,0.214274907422215,1.70760675752505,0.659170374899459,0.0804932940255068,0.892589309342786,1.02929235560448,0.0191440270211122,0.597821107895064,1.92188166494727,0.873445282321674,0.294768201447722,1.04843638262559,1.62711346349954,0.578677080873952
"SLC7A2",-0.215786608923537,1,1,FALSE,-0.320304757620296,1,1,FALSE,0.987194560307761,1,1,FALSE,-0.0733532204519496,1,1,FALSE,1.07417074918391,1,1,FALSE,1.19211288104168,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0739054917005421,0.850636142403172,0.100715614855637,0.91213759535926,0.995535276583484,0.924541634103714,0.174621106556179,0.986043087059802,1.06944076828403,0.749920527547535,0.0615014529560879,0.144899134180312,0.811421980503623,0.894819661727847,0.0833976812242238
"HSPB6",1.78041900944031,0.450044478261953,1,FALSE,1.85466601339391,0.381863609670031,1,FALSE,-0.982110910276081,1,1,FALSE,0.0710860942548737,1,1,FALSE,-2.05124380410256,0.241459260161284,1,FALSE,-2.09652721410813,0.216212690371195,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0525005599783786,1.95340363946219,1.20868089563299,2.70939475867648,2.74141496496668,2.00590419944056,1.26118145561137,2.76189531865486,2.79391552494505,0.744722743829197,0.755991119214299,0.788011325504489,1.5007138630435,1.53273406933369,0.0320202062901905
"PDK4",-0.425870152225289,1,1,FALSE,3.33292855475589,0.00515622043232436,0.519924820282858,FALSE,0.715748692197034,1,1,FALSE,3.36367141338632,0.00461478339002432,0.129987511327101,FALSE,0.975679020512416,1,1,FALSE,-1.65175582344654,0.591506025883104,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.65787205482161,0.807246426421374,2.67961053863225,0.991044924209227,0.866832071079969,1.85062562840024,0.0217384838106386,1.66682713061239,3.52470412590158,1.87236411221088,0.183798497787853,1.67407849750134,1.68856561442303,3.54644260971222,1.8578769952892
"USH1C",-0.583414031573314,1,1,FALSE,-0.592538111683446,1,1,FALSE,-1.14952430496993,1,1,FALSE,0.028135585013545,1,1,FALSE,-0.613529311260365,1,1,FALSE,-0.663548619626523,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0064516989179641,0.400300413218121,0.432430880920601,0.0212947184840435,0.056663710620015,0.393848714300157,0.438882579838565,0.0148430195660794,0.0502120117020509,0.832731294138722,0.379005694734077,0.343636702598106,0.453725599404644,0.489094591540616,0.0353689921359715
"RALA",-0.784464540552736,1,1,FALSE,2.32070759913518,0.121815781915517,1,FALSE,-0.124034734589208,1,1,FALSE,3.10517213968791,0.0114100989335513,0.223298843787933,FALSE,0.372104203767625,1,1,FALSE,-1.59177909389484,0.668606095093816,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.19568827672486,0.466994394294526,2.75038847295009,0.817817602017338,0.570857595218792,1.72869388243034,0.554700196225229,1.37787067470753,2.76654587194366,2.28339407865557,0.350823207722812,1.03785198951332,1.93257087093276,3.32124606816889,1.38867519723613
"BAIAP2L1",-0.529546948942283,1,1,FALSE,0.943840095328366,1,1,FALSE,0.519572872530938,1,1,FALSE,1.38865495223526,0.989626191840044,1,FALSE,0.879771657470089,1,1,FALSE,-0.14497798195759,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.04184197031618,0.741839740040935,1.35637357200757,0.996538743446563,0.271931324388782,0.300002230275245,0.31453160169139,0.045303226869617,0.769910645927398,0.614533831966635,0.254699003405628,0.469908415652153,0.359834828561007,1.08444224761879,0.724607419057781
"CACNG3",-3.00819798090006,0.0157681123007787,0.204135346330311,FALSE,-0.371753949364666,1,1,FALSE,-0.802353793615943,1,1,FALSE,2.0717183004338,0.229750317937155,1,FALSE,0.454575064514514,1,1,FALSE,-0.582456216727314,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.86424745291748,1.55976738306953,3.59204325039112,2.44855030212264,1.71525845085397,0.304480069847949,1.72779579747364,0.584302849205161,0.148989002063509,2.03227586732159,0.88878291905311,0.15549106778444,1.14349294826848,1.87678479953715,0.73329185126867
"TMEM132A",-0.681438800764878,1,1,FALSE,0.857800155456458,1,1,FALSE,-1.36430683659536,1,1,FALSE,1.4039465214357,0.962008650160641,1,FALSE,-0.742582666441298,1,1,FALSE,-1.95059068654731,0.306634535977563,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.08840630381061,0.482860618791275,1.47459010271492,0.043235242047756,0.897425904792454,1.57126692260189,0.386183798904309,1.13164154585837,1.98583220860306,1.95745072150619,0.439625376743519,0.414565286001179,1.51782534476267,2.37201600750737,0.854190662744698
"DVL2",-0.932832715713039,1,1,FALSE,-3.24305492911864,0.00709532460514611,0.59352067140886,FALSE,-2.7518208422953,0.0355589602472954,0.468214410561812,FALSE,-2.06574005352231,0.23311818681192,1,FALSE,-1.87204437400485,0.367202788283028,1,FALSE,-0.199896924334359,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.63357379314689,1.28621883920413,0.801086461020935,0.664122932547603,0.518263868258193,0.347354953942765,0.832487332125958,0.96945086059929,2.15183766140509,0.485132378183193,0.622095906656526,1.80448270746232,0.136963528473332,1.31935032927913,1.1823868008058
