,X_Omnivore...Carnivore.Rho,X_Omnivore...Carnivore.P,X_Omnivore...Carnivore.p.adj,X_Omnivore...Herbivore.Rho,X_Omnivore...Herbivore.P,X_Omnivore...Herbivore.p.adj,Carnivore...Herbivore.Rho,Carnivore...Herbivore.P,Carnivore...Herbivore.p.adj
HEBP1,-2.38035959965377,0.0518872517357174,0.356068298442225,-1.49650246830478,0.403568295500732,1,1.35548950056849,0.525784954559789,1
COX15,0.567529173976398,1,1,-0.265363027117146,1,1,-0.82392823481069,1,1
MS4A12,1.82766083958756,0.202801406392376,0.776231605567984,2.12701941966804,0.100255409059879,0.776840359070931,-0.209581773950935,1,1
XYLT2,-0.882390652359616,1,1,0.447545673938993,1,1,1.27580551729365,0.606072830227999,1
FTSJ1,2.42298031116586,0.0461812828968897,0.331808933700846,0.350165078575229,1,1,-2.28136790873267,0.0675800560633704,0.439731754352903
SCTR,0.214391084187252,1,1,0.459228076852469,1,1,0.164805809575718,1,1
RALBP1,-0.0947225630340385,1,1,-1.40482809706378,0.480217205718929,1,-0.97416299222403,0.989926849721699,1
SYT13,-2.41274094650593,0.0474992054433892,0.33756632700465,-1.14261509666972,0.75959530420591,1,1.60042338653521,0.328514071296517,1
SNAI2,0.725392522443109,1,1,2.06812583451288,0.115884575903824,0.836376654885744,0.810386166676516,1,1
SLC7A9,2.60970255381799,0.0271862938520417,0.243086276484978,-1.96182869405022,0.149347295380711,0.935752490160889,-4.58728582882269,1.34713710815963e-05,0.00169196243615522
RTF2,-0.282553248287244,1,1,-0.285190536308125,1,1,0.0588948498162856,1,1
RB1CC1,-1.55327927071729,0.361069291031042,1,-0.509483320705839,1,1,1.21099101568676,0.67769654403349,1
AKAP11,-2.23088722068563,0.0770658013440215,0.446254507997082,0.356556606772379,1,1,2.67300121128031,0.0225527937068296,0.228375227273783
B4GALT7,-0.656216952755058,1,1,0.158903991029542,1,1,0.813203285966744,1,1
FAM13B,2.10351525754398,0.106262258954581,0.542084735384801,1.03843127366765,0.897207948207896,1,-1.38943909867222,0.494097803866961,1
CHPF2,-2.42815308305505,0.0455278084358546,0.328863821791225,-0.389964844901761,1,1,2.29015584160126,0.0660368526865292,0.433248892024319
GABARAPL2,1.68215609347261,0.277615726698783,0.923409978233151,0.162221421130763,1,1,-1.75719787186937,0.236652263669654,0.889202220773595
MYOC,-2.6550174133653,0.0237912943912138,0.224761837741368,-0.0332169010443528,1,1,2.87226228778119,0.0122263367740707,0.154758678448042
FAM136A,0.25917103918918,1,1,-2.69365575267713,0.0212019349726388,0.367890325397131,-2.2284709304558,0.0775473831871907,0.478194432225146
NSMAF,-2.73363098229218,0.0187920610415,0.193767016968493,-1.07237335834444,0.850657107838726,1,2.03942071846137,0.12422416912869,0.62699129247845
OTC,0.915652324136926,1,1,-0.0625247678206572,1,1,-1.00725630783104,0.941434861056552,1
TTC17,0.290445471280011,1,1,-0.577495773967843,1,1,-0.776864259986722,1,1
HOXC8,0.17224568800698,1,1,0.996091463808675,0.957617121074582,1,0.778319290429848,1,1
MRI1,0.19788659760909,1,1,0.294436282098044,1,1,0.0351021490123645,1,1
TARBP1,-0.596318011800417,1,1,0.35781862434077,1,1,0.952658604200101,1,1
RTN4R,-0.957965587515331,1,1,-1.76892388202326,0.230719734349112,1,-0.427380880418821,1,1
PSMA4,-0.376482236823478,1,1,0.563365616029998,1,1,0.807918687070055,1,1
ZPBP,-0.0394056026499435,1,1,-1.1826699540753,0.710819929262862,1,-0.918763499054591,1,1
LCP2,-0.28220085881123,1,1,0.956736115289295,1,1,1.14697976660545,0.75416995008452,1
DCN,1.07309579424755,0.849684413485762,1,2.09336863502931,0.10894878016903,0.809497928766225,0.652322388707001,1,1
TNFRSF17,0.137373653918679,1,1,1.47878249545305,0.417595367025247,1,1.12628042743086,0.780140519062863,1
MRPS10,0.322479595700827,1,1,-1.22755222267208,0.658845319227177,1,-1.40128702066854,0.483384782688496,1
GRN,0.574283979821403,1,1,0.790701941573092,1,1,0.0752577144428487,1,1
THAP3,-1.20063269094009,0.689681142598634,1,-0.703417177426871,1,1,0.669816917353222,1,1
VAMP3,-1.77891937844168,0.22575894172519,0.8251176119629,-0.208921462304071,1,1,1.73178596365635,0.249935034599217,0.91686167716932
RCN1,-0.564270130498063,1,1,-1.02644478979118,0.914045924978897,1,-0.285378522915537,1,1
RFC2,-0.10624232898777,1,1,0.0448083293876558,1,1,0.152156821643276,1,1
PPP1R3F,2.32127057225797,0.0608167362896097,0.391479047025926,2.8359365050797,0.0137074586794805,0.295095663150107,-0.0817905266411336,1,1
NFE2L3,1.01591394201987,0.929011107206325,1,2.19454790518507,0.0845881319140448,0.7182533955494,0.821053145031425,1,1
CBLN4,-1.03757798482729,0.898399715066943,1,-1.31514147848101,0.565387076119868,1,0.0522423807620539,1,1
CLDN11,-1.25271231472811,0.630931267941451,1,1.10957366544707,0.801548353424007,1,2.18614817122921,0.0864143000731568,0.510607034932635
FAM168A,0.967619827449901,0.999702813797346,1,0.044507284132576,1,1,-0.997049445797002,0.956221529633461,1
RELT,-0.146203406848077,1,1,-0.35132836969914,1,1,-0.142701826405293,1,1
PKP2,1.7563697410301,0.237075888184502,0.850307102554103,2.12852441386809,0.0998808839209262,0.775177070851824,-0.0270747810293291,1,1
YIPF1,-0.261959638098535,1,1,0.353409926715742,1,1,0.552013580982259,1,1
ADCK2,1.48719599326855,0.410889161988422,1,0.0887756525747708,1,1,-1.52128477443418,0.384565168159073,1
INPP4A,-1.10496465866386,0.807524709455517,1,-1.63695719357928,0.304918242426778,1,-0.156824362323581,1,1
SLC2A3,-0.137845720233079,1,1,-0.317704174734148,1,1,-0.138131049284637,1,1
STYK1,-0.138886293016965,1,1,-0.132678893974157,1,1,0.0348012553776065,1,1
GNA11,0.954461640199361,1,1,0.514754406158458,1,1,-0.703324900464822,1,1
CREB3L3,0.0334873176444814,1,1,0.202411601518371,1,1,0.155881079950966,1,1
HDAC7,0.638645476533615,1,1,-0.286052106468708,1,1,-0.933802556377642,1,1
MRPS35,1.93816181416589,0.157810451691367,0.67320911114274,1.99028010877004,0.1396802637957,0.911606393398841,-0.371555628338778,1,1
APPBP2,1.0760298661029,0.845741698678102,1,0.078796739807007,1,1,-1.08870237501611,0.828855462396331,1
CA11,-0.705141719533897,1,1,-0.456058600674091,1,1,0.385684904926014,1,1
ISOC2,1.01336965566948,0.932650883246224,1,0.274791800264506,1,1,-0.861399029862574,1,1
CD22,2.29916668971185,0.0644864271985057,0.403712941835467,1.55151888546036,0.362332155274631,1,-1.15945730539201,0.738809489532427,1
GSC2,1.43394938990801,0.454760117900288,1,0.79242865059323,1,1,-0.840919113743456,1,1
KCNQ1,-3.03937619037794,0.00711205867961861,0.100989986614532,0.477158556154305,1,1,3.5949465531189,0.00097337453683502,0.0306876622833343
TRIB2,-0.994374822647998,0.960121262667181,1,1.61988672021498,0.315769839046738,1,2.4569416021915,0.0420376388817909,0.331593877878664
OTUD5,-1.41947290977502,0.467283568040861,1,-0.792332541706182,1,1,0.858836383535374,1,1
GPKOW,-1.20743853163328,0.681789911966924,1,-0.741728207006111,1,1,0.649759755705534,1,1
AQR,-0.323330951559529,1,1,-1.04052872040345,0.894282983591756,1,-0.562594657113758,1,1
LMCD1,-2.00711998463321,0.134210666351502,0.618805126985496,-1.04278525843013,0.891143280921387,1,1.30534593730523,0.575325235341803,1
PSMC4,2.36183886585915,0.0545536325679203,0.368060256634521,0.948070874902496,1,1,-1.84623134644732,0.194575863921414,0.794685693787435
FNDC8,0.450506456710337,1,1,-0.57271505842385,1,1,-0.991926073497437,0.963700767119705,1
ACAP1,-2.57313567665309,0.0302345072359668,0.258910933529141,0.84918039037055,1,1,3.44558864562715,0.00170945111786451,0.0441730893327604
DERL2,1.4499933381101,0.441181130911302,1,1.03491832662179,0.902121165367395,1,-0.694362205154973,1,1
NOX3,1.28167597860304,0.59986900473831,1,1.38039512745875,0.502395058815609,1,-0.203003243543958,1,1
ANO8,1.50728235129949,0.395214898170172,1,-2.99444847367958,0.00824824469749077,0.229267247552038,-4.11614732277584,0.000115577431088129,0.00725808348251886
ICAM3,1.41639055002659,0.469983567564179,1,-1.23513545183934,0.650340291630905,1,-2.80815529824283,0.014947857686497,0.176721177713419
CTTNBP2,-0.266536557137787,1,1,-0.386931407348167,1,1,-0.0567687110666955,1,1
ACTL6B,-0.288690476190476,1,1,-1.23734292383766,0.647879396034824,1,-0.786676592860878,1,1
KIF22,2.56318807466975,0.0311147547123601,0.263178986280099,2.46383903793893,0.0412373476664388,0.503960195274993,-0.72850989786803,1,1
PRSS22,-1.06455350652028,0.861234086868077,1,-0.463638491780422,1,1,0.734890265271316,1,1
YTHDC2,-2.82913747276397,0.0140020936320988,0.158423129208984,-1.36792629745192,0.51400544187737,1,1.82646256241336,0.203341846575968,0.815885239778068
TMEM161A,0.221191677634534,1,1,0.545638973524258,1,1,0.233020486679493,1,1
FOXJ2,-1.45168083728558,0.439771109915713,1,1.09484383805797,0.820755171502581,1,2.51843252789577,0.0353635397857864,0.296449530926606
GOLGA5,-1.49493185186903,0.404796685450796,1,0.984611689709519,0.974444536395176,1,2.49125812568229,0.038187481232936,0.310911342178909
PPP2R5B,-0.944622621391785,1,1,-0.0439419558121019,1,1,0.963731178399902,1,1
PYGM,-5.6311097826832,5.37161107154018e-08,5.21299046502735e-05,-2.61909898894767,0.0264487080962461,0.404722676770225,3.74160182998066,0.000548553177008861,0.0208141886976524
BCL3,2.85820835313051,0.012781216415799,0.14812680140828,1.14095224792113,0.761669385361415,1,-2.10041029969466,0.107078291278604,0.574274238760655
PRLH,-1.26401229844039,0.618676838271711,1,-1.62085217959477,0.315148034101082,1,-0.0805768871203183,1,1
FSTL3,2.01748248749472,0.130935560322977,0.610831542860027,2.24265824951621,0.0747565826462281,0.680196755632861,-0.55583257243089,1,1
EPHA8,-0.897222372237245,1,1,-0.797271717866385,1,1,0.263597795929525,1,1
TRIP13,-1.76797039171693,0.231197560821089,0.837085617493406,-0.195915815665075,1,1,1.73108733775699,0.250308565204797,0.917623160086457
VASH1,-0.155543288343268,1,1,-0.790587557009539,1,1,-0.500289152267595,1,1
KRT14,-3.02686920546765,0.0074130255786595,0.103183711705706,0.301570503138963,1,1,3.53669606895046,0.00121549690330478,0.0352238567592301
KRT20,-5.01032036010013,1.63018503853741e-06,0.000440204299906385,-1.14271432676258,0.759471658416829,1,4.30729263508571,4.95794717163489e-05,0.00416462670399666
HSD17B10,0.80880967017793,1,1,1.17846821007247,0.715829995944722,1,0.0724562319058206,1,1
FGF4,0.682064379514542,1,1,0.994790876836369,0.95951395293644,1,0.0302986346395099,1,1
ST6GAL1,1.92893463665344,0.161216931650374,0.683242669787956,2.16157462480811,0.0919529373892484,0.742820214552727,-0.285193470556353,1,1
TIMM21,1.17142974961092,0.724278240126544,1,3.2019476750705,0.00409505371135554,0.164665869460339,1.57343019867525,0.346857717153619,1
BPIFB2,-1.1743772444854,0.72073186716643,1,-0.198900542743481,1,1,1.07244147139599,0.850565367612812,1
REXO1,-0.591581021318572,1,1,0.264705607495798,1,1,0.865550513005472,1,1
MKRN2,-0.517092667457095,1,1,-3.0982539879307,0.00583993548170145,0.195543355036031,-1.93336906234295,0.159572248829269,0.716837577406923
GPATCH1,-0.358921274536161,1,1,-0.516097480056688,1,1,-0.074484450356218,1,1
KEAP1,1.0883521653777,0.829319009066192,1,-0.964056474413699,1,1,-1.9129790545856,0.167252201755643,0.732779927756875
P2RY10,1.72322446450779,0.254543823784463,0.88009369034483,-0.307245937996929,1,1,-2.06585928311251,0.116525305336456,0.602767171529943
TNS1,-1.31586297265356,0.564660115578232,1,0.682355858633201,1,1,2.02140839754038,0.129712518383655,0.638544026819713
NGFR,-0.567068566115036,1,1,0.827010290820516,1,1,1.30895374542607,0.57165005800777,1
NTN1,-1.74508676680888,0.242909300101323,0.862473622681378,0.566654071887421,1,1,2.28975469953051,0.0661066216352182,0.433276490183578
ISOC1,-0.878573381482703,1,1,-1.59753421155493,0.330440033839276,1,-0.411545812222059,1,1
MNT,0.421873457758391,1,1,1.12292304899764,0.78441053246876,1,0.46438400601119,1,1
AP3M2,-1.53128034631595,0.377100362277343,1,-2.03807822064331,0.124626332609394,0.867885569374828,0.0345652578827333,1,1
LAPTM4A,-1.28197005115641,0.599559456996568,1,-1.08308919992737,0.83630649680476,1,0.483140519009382,1,1
PTPN18,-0.596266600919978,1,1,-0.888541584752294,1,1,-0.0599384374652549,1,1
STK10,0.279198329811142,1,1,-0.417177341305612,1,1,-0.660969923790954,1,1
TBX21,-1.84910201986348,0.193329248369388,0.756051287009614,-3.38214281335721,0.00215768229006693,0.116550805035115,-0.814184652263096,1,1
MRPS34,0.0169516439191405,1,1,0.0133771549886643,1,1,-0.00760318109265571,1,1
MAP2K5,-0.217210529506898,1,1,-0.189149049650293,1,1,0.0787412659586725,1,1
TIGAR,1.89885491973888,0.172750661804466,0.70912242780744,-0.803684652523491,1,1,-2.64307430178215,0.0246471012132475,0.240851829829334
FGF20,1.53249961063556,0.376197580820171,1,1.7017075096804,0.266430635869248,1,-0.309851108744648,1,1
MTMR7,-0.393993291728292,1,1,-0.127183060613455,1,1,0.317020193958,1,1
CPB2,0.570137613604018,1,1,0.877377573044007,1,1,0.134942144240963,1,1
FAM107B,1.24651709769394,0.637723848521026,1,-0.873850355641307,1,1,-2.0675066408415,0.116059317291033,0.602169588251457
CDK13,-1.03713050265098,0.899025124001203,1,-0.521777021952356,1,1,0.661037346321791,1,1
TSPAN32,-1.40802887566279,0.477367559359135,1,-0.905523788053585,1,1,0.6768841034195,1,1
TRAM2,-1.47140744705567,0.423542881984581,1,-0.451991419182893,1,1,1.18873020757323,0.703637548958371,1
CLDN18,-0.55652287464052,1,1,-2.33178043401593,0.0591367345684813,0.608065218072486,-1.35555893151039,0.525718638599085,1
NDUFB4,4.09677982827738,0.000125681100791852,0.00683492638884867,2.85082006855867,0.01308199138153,0.288034878176213,-2.08420961750974,0.111423312940667,0.587465185898043
HEATR6,-0.260657113850048,1,1,-0.0417390727391293,1,1,0.240915940375864,1,1
ERLEC1,0.871365449786492,1,1,-1.12076980784302,0.787157576682452,1,-1.71625279898844,0.258347349936359,0.934317804390378
TMEM131,2.31705338615333,0.0615024714039731,0.393744506835619,0.714578772753741,1,1,-1.88554620244804,0.178068398361975,0.75683740562978
TMEM38A,0.257582415035379,1,1,-1.1863948514071,0.706399212033468,1,-1.28561017507921,0.59573743159333,1
ACTR6,0.313528928405244,1,1,0.769205770728887,1,1,0.224933145147834,1,1
FAP,-0.176305807192622,1,1,0.305439316440386,1,1,0.447498479672999,1,1
DMRT3,-2.14403722432846,0.0960897128418098,0.511111466665464,-0.87987934563558,1,1,1.4984043262549,0.402084699217186,1
GAL3ST2,-2.72339214612217,0.0193845929027439,0.197155790464694,-0.524987693685093,1,1,2.4042887090574,0.0486119111047352,0.360462326644814
UHRF1BP1,2.28619848660936,0.0667279478152917,0.413016204930847,-0.116490207741816,1,1,-2.55656025945907,0.0317138278691396,0.278799478641237
OSTM1,0.987195436363311,0.970640515843383,1,0.281463489200264,1,1,-0.833101349992876,1,1
SLC13A1,-0.49404281931229,1,1,-1.26555564919246,0.617016639045207,1,-0.550052536294756,1,1
HSPB11,-0.281314253538748,1,1,-0.725901805227326,1,1,-0.292155117834192,1,1
STRADB,-0.60877919775676,1,1,-1.12712484762941,0.779069097334478,1,-0.305094410363856,1,1
DLG3,-2.05145933215761,0.120666708424382,0.582898631452546,-0.466724281368266,1,1,1.81659377406139,0.207838012396595,0.826196710665782
PLOD1,0.130926692322248,1,1,0.482107809793908,1,1,0.274734947515023,1,1
OXCT1,-1.29747003745389,0.583408523977135,1,-1.7245510501967,0.253825234221916,1,-0.0385705246141998,1,1
FAM234B,-1.89068176197248,0.176000515420932,0.716832667383091,-0.568123638551748,1,1,1.54444236689458,0.367443609247748,1
RRN3,1.94281061866907,0.156117133317304,0.670019785675965,2.15957626749444,0.0924164618677901,0.744834562876773,-0.204845249103082,1,1
MOGAT2,0.191942702452612,1,1,-2.5522225536608,0.0321114365898592,0.44897828294967,-2.52042826674957,0.0351636379003122,0.295987202341833
CHERP,1.95884167357277,0.150393994347954,0.656965083964829,-0.802424864939167,1,1,-2.72203126442132,0.0194646011719182,0.208437189813231
AQP2,-2.04628087469002,0.122186232814337,0.586978908864635,-2.19852012346826,0.0837361863850695,0.715127636508541,0.501432916168346,1,1
DIMT1,-2.37756247556904,0.0522824713917165,0.357417975311642,-0.808379057862079,1,1,1.93968480639499,0.157254021538341,0.711849339390676
EIF2AK1,-1.97586912813387,0.144508804550096,0.64358992075299,-0.967511631139663,0.999864988875377,1,1.27418082438378,0.607798018230278,1
NME8,2.04681375505011,0.122029123795542,0.586978908864635,2.31361588483857,0.0620664046973433,0.621239090871185,-0.135422213789411,1,1
EPDR1,-0.397865922303474,1,1,0.880798791684179,1,1,1.13729384500997,0.766246400794748,1
HBQ1,-0.928972452336637,1,1,-0.208464358690845,1,1,0.827956028253743,1,1
RBM22,0.454527908076285,1,1,1.17335416917831,0.721961423871328,1,0.438847717511886,1,1
HSD17B2,3.56913580149961,0.00107448223078191,0.0290053036737484,0.741823437753016,1,1,-3.19624178435392,0.00417691156877587,0.0776972689291695
ZW10,-0.592358332788191,1,1,0.86951087700031,1,1,1.4288707078598,0.459124193921517,1
ITGB4,-5.22693528968049,5.17028349059291e-07,0.000214792136191247,0.360013979666782,1,1,5.96200486334385,7.47485190926504e-09,5.76702622066249e-06
TRIP6,1.41857978506718,0.468064688444489,1,-1.17632555217956,0.718394426290358,1,-2.40185304214749,0.0489367804811062,0.361681834546737
ADAM11,-1.22805734738481,0.658276322887591,1,-0.183991627037987,1,1,1.14197788092792,0.760389641829418,1
SLC22A4,-0.476376529182304,1,1,-2.29077867072473,0.0659286535831257,0.639482428236012,-1.47974653504714,0.416822705102554,1
TFAP2C,2.46598325041801,0.0409913170327504,0.309190557990979,3.18781067938517,0.00430063089943539,0.169445447802085,0.0863716382715862,1,1
SULT2B1,1.72533827838435,0.253399582229933,0.87857479805037,-0.596698104760803,1,1,-2.35052243382802,0.0562412326108404,0.393419263234686
EPS8L1,-2.88316865609166,0.0118108976876646,0.140913228523963,-3.90170913155066,0.000286547669522464,0.0411307875483704,-0.302445819446759,1,1
REM1,-0.416076156133421,1,1,2.01823625783044,0.130699985045516,0.883300001694851,2.17258143555536,0.089435503110157,0.520098467078538
PDRG1,-0.268684855160452,1,1,0.392142777830938,1,1,0.609108292045383,1,1
PPP1R13B,-3.6596034093755,0.000757817674095117,0.0231240467574819,-2.3242064830103,0.0603432900479453,0.614235562328488,1.90417765841712,0.170661151185193,0.74084736233985
TGM6,-2.80684071688288,0.015008991946964,0.166217148000486,-2.61216677706001,0.0269911056139985,0.40896144047169,0.897975888406785,1,1
RALGAPA2,-1.98826903000179,0.140345832144749,0.636229203248244,-3.45198737293116,0.00166942130310174,0.103668418623883,-0.796718397311284,1,1
RPL6,2.01834002196951,0.130667583767738,0.610446020364646,-0.200613755010993,1,1,-2.25825201533409,0.0717898560984749,0.45680839363658
ESF1,0.537676728560005,1,1,0.435948924602395,1,1,-0.200519941766468,1,1
SLC8B1,-3.21461870192724,0.0039185369369454,0.0679017491469405,-1.25448749731595,0.62899460195125,1,2.37623082246867,0.052471553020763,0.376872885143836
SIRT4,-0.107599641064455,1,1,1.23643270233933,0.648893299723326,1,1.1764230236014,0.71827762759163,1
TRMT6,2.23017442055306,0.0772075971747881,0.446634960042462,1.46359414954848,0.429914616102346,1,-1.13992156455041,0.762956940050657,1
HAUS5,2.93996574834543,0.00984745591099041,0.125136063270484,0.927747619484961,1,1,-2.34242918503243,0.0574760080261011,0.398130090653651
UQCRC1,-0.40641200244893,1,1,-0.900154696740121,1,1,-0.328126670824934,1,1
GMIP,2.2832846174951,0.0672408255683818,0.415181347507211,-0.286127337366374,1,1,-2.68219039699204,0.0219425456024898,0.224865985990854
LAG3,1.37259692129206,0.509633068616249,1,2.40343153806312,0.0487260238280392,0.549827757842745,0.584618802792072,1,1
OTUB2,0.0502840421303011,1,1,-0.0182440749055971,1,1,-0.0698699435773471,1,1
TFAP4,0.823993517027628,1,1,0.734338451809624,1,1,-0.350119109105332,1,1
PDCD7,0.501243455964719,1,1,-1.42782691513942,0.460025051364872,1,-1.7464347877501,0.242206288375261,0.901292210440052
SPG21,0.977285350561647,0.985283710560018,1,-0.127267536331136,1,1,-1.10045775832471,0.813398174431138,1
CHRD,2.52789195089657,0.034424898145163,0.277488656591011,1.25203895165556,0.631667012691338,1,-1.63954673385953,0.303298338213043,1
GNPTG,-0.951127982328398,1,1,1.11644283482201,0.792697880318331,1,1.96879368509522,0.14693036328363,0.683843945014285
EFNB1,-0.0571104503291767,1,1,-0.00656254128437836,1,1,0.0542948671429713,1,1
GLG1,1.46143381118972,0.431689282469547,1,-1.43581387031626,0.453165935734541,1,-2.71747678102408,0.0197345312301325,0.210354523020136
DLL3,2.02842587284224,0.12755040512275,0.601446933585216,-0.0891197145182157,1,1,-2.20949438303397,0.0814208180131233,0.492567471593408
NAT14,0.930991087763316,1,1,-1.10364389671047,0.809242924162296,1,-1.69338667061894,0.271145671161501,0.955175366423184
