GO.ID	Description	p.Val	Empty	phenoType
Mitochondrial Respiratory Chain Complex Assembly (GO:0033108)	Mitochondrial Respiratory Chain Complex Assembly 	3.20312522685545e-07		1
Mitochondrial Translation (GO:0032543)	Mitochondrial Translation 	0.071356391148231		1
Mitotic Sister Chromatid Segregation (GO:0000070)	Mitotic Sister Chromatid Segregation 	0.0828644141506955		1
Monoatomic Cation Transmembrane Transport (GO:0098655)	Monoatomic Cation Transmembrane Transport 	0.0369789962392704		-1
Monoatomic Cation Transport (GO:0006812)	Monoatomic Cation Transport 	0.0964502287574728		-1
Muscle Contraction (GO:0006936)	Muscle Contraction 	0.0100265720945042		-1
Oxidative Phosphorylation (GO:0006119)	Oxidative Phosphorylation 	4.07719629483233e-05		1
Peptide Biosynthetic Process (GO:0043043)	Peptide Biosynthetic Process 	0.0503786926561593		1
Peptide Cross-Linking (GO:0018149)	Peptide Cross-Linking 	0.0369789962392704		-1
Positive Regulation Of DNA Metabolic Process (GO:0051054)	Positive Regulation Of DNA Metabolic Process 	0.0728884678251123		1
Positive Regulation Of Cell Cycle Process (GO:0090068)	Positive Regulation Of Cell Cycle Process 	0.0644315613357344		1
Potassium Ion Transmembrane Transport (GO:0071805)	Potassium Ion Transmembrane Transport 	0.0568411824650698		-1
Proton Motive Force-Driven ATP Synthesis (GO:0015986)	Proton Motive Force-Driven ATP Synthesis 	0.000135584217338408		1
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	Proton Motive Force-Driven Mitochondrial ATP Synthesis 	4.3518810254705e-05		1
Regulation Of DNA Metabolic Process (GO:0051052)	Regulation Of DNA Metabolic Process 	0.00639380929802883		1
Regulation Of DNA Replication (GO:0006275)	Regulation Of DNA Replication 	0.0381674843042918		1
Regulation Of Heart Rate By Cardiac Conduction (GO:0086091)	Regulation Of Heart Rate By Cardiac Conduction 	0.0381674843042918		-1
Regulation Of Transcription By RNA Polymerase II (GO:0006357)	Regulation Of Transcription By RNA Polymerase II 	0.0435478854641662		1
Striated Muscle Contraction (GO:0006941)	Striated Muscle Contraction 	0.0959325311853702		-1
Supramolecular Fiber Organization (GO:0097435)	Supramolecular Fiber Organization 	0.000164374493921417		-1
tRNA Methylation (GO:0030488)	tRNA Methylation 	0.0369739289011463		1
tRNA Modification (GO:0006400)	tRNA Modification 	0.0753187723093145		1
Translation (GO:0006412)	Translation 	0.00167481404307843		1
DNA Repair (GO:0006281)	DNA Repair 	0.0592702771553371		2
NADH Dehydrogenase Complex Assembly (GO:0010257)	NADH Dehydrogenase Complex Assembly 	5.95663751491747e-05		2
Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189)	Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway 	0.0170361229581327		-2
Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188)	Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway 	0.000281459122104439		-2
Aerobic Electron Transport Chain (GO:0019646)	Aerobic Electron Transport Chain 	9.81011018092761e-05		2
Aerobic Respiration (GO:0009060)	Aerobic Respiration 	0.0153991174194783		2
Calcium Ion Import Across Plasma Membrane (GO:0098703)	Calcium Ion Import Across Plasma Membrane 	0.0592702771553371		-2
Calcium Ion Transport (GO:0006816)	Calcium Ion Transport 	0.0602273954156962		-2
Cellular Respiration (GO:0045333)	Cellular Respiration 	0.00677209452807508		2
Centromere Complex Assembly (GO:0034508)	Centromere Complex Assembly 	0.0141604997109581		2
Chemical Synaptic Transmission (GO:0007268)	Chemical Synaptic Transmission 	0.0592702771553371		-2
Double-Strand Break Repair (GO:0006302)	Double-Strand Break Repair 	0.0602273954156962		2
Inorganic Cation Transmembrane Transport (GO:0098662)	Inorganic Cation Transmembrane Transport 	0.0602273954156962		-2
Intermediate Filament Organization (GO:0045109)	Intermediate Filament Organization 	0.0176562653535201		-2
Kinetochore Assembly (GO:0051382)	Kinetochore Assembly 	0.0626811883820554		2
Lymphocyte Activation Involved In Immune Response (GO:0002285)	Lymphocyte Activation Involved In Immune Response 	0.0538481407729527		-2
Macromolecule Biosynthetic Process (GO:0009059)	Macromolecule Biosynthetic Process 	0.0895295437230811		2
Metal Ion Transport (GO:0030001)	Metal Ion Transport 	0.0602273954156962		-2
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	Mitochondrial ATP Synthesis Coupled Electron Transport 	0.000258392333921164		2
Mitochondrial RNA Metabolic Process (GO:0000959)	Mitochondrial RNA Metabolic Process 	0.000350021442383935		2
Mitochondrial RNA Processing (GO:0000963)	Mitochondrial RNA Processing 	0.0153991174194783		2
Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)	Mitochondrial Electron Transport, NADH To Ubiquinone 	0.00880587771034761		2
Mitochondrial Gene Expression (GO:0140053)	Mitochondrial Gene Expression 	7.57566989530264e-06		2
Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981)	Mitochondrial Respiratory Chain Complex I Assembly 	5.95663751491747e-05		2
Mitochondrial Respiratory Chain Complex Assembly (GO:0033108)	Mitochondrial Respiratory Chain Complex Assembly 	9.81011018092761e-05		2
Mitochondrial Transcription (GO:0006390)	Mitochondrial Transcription 	0.0176562653535201		2
Mitochondrial Translation (GO:0032543)	Mitochondrial Translation 	5.95663751491747e-05		2
Modulation Of Chemical Synaptic Transmission (GO:0050804)	Modulation Of Chemical Synaptic Transmission 	0.0852432258334979		-2
Monoatomic Cation Transmembrane Transport (GO:0098655)	Monoatomic Cation Transmembrane Transport 	0.0602273954156962		-2
Organic Substance Transport (GO:0071702)	Organic Substance Transport 	0.0895295437230811		-2
Oxidative Phosphorylation (GO:0006119)	Oxidative Phosphorylation 	0.000609846301853986		2
Peptide Biosynthetic Process (GO:0043043)	Peptide Biosynthetic Process 	0.0374643011894678		2
Positive Regulation Of Calcium Ion Transmembrane Transport (GO:1904427)	Positive Regulation Of Calcium Ion Transmembrane Transport 	0.021469426992715		-2
Positive Regulation Of Mitochondrial Translation (GO:0070131)	Positive Regulation Of Mitochondrial Translation 	0.00821947422828424		2
Potassium Ion Transmembrane Transport (GO:0071805)	Potassium Ion Transmembrane Transport 	0.032761805209815		-2
Potassium Ion Transport (GO:0006813)	Potassium Ion Transport 	0.0444990219384937		-2
Protein Localization To Centrosome (GO:0071539)	Protein Localization To Centrosome 	0.0895295437230811		2
Protein Localization To Microtubule Organizing Center (GO:1905508)	Protein Localization To Microtubule Organizing Center 	0.0592702771553371		2
Proton Motive Force-Driven ATP Synthesis (GO:0015986)	Proton Motive Force-Driven ATP Synthesis 	0.0127439148084746		2
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	Proton Motive Force-Driven Mitochondrial ATP Synthesis 	0.00677209452807508		2
Regulation Of Mitochondrial Translation (GO:0070129)	Regulation Of Mitochondrial Translation 	0.0103872978624923		2
Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein (GO:0033139)	Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein 	0.0924042555378173		-2
Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)	Regulation Of Synaptic Transmission, Glutamatergic 	0.0725716665306677		-2
Ribonucleoprotein Complex Biogenesis (GO:0022613)	Ribonucleoprotein Complex Biogenesis 	0.0895295437230811		2
Ribosomal Small Subunit Biogenesis (GO:0042274)	Ribosomal Small Subunit Biogenesis 	0.0137803011418448		2
Sensory Perception Of Light Stimulus (GO:0050953)	Sensory Perception Of Light Stimulus 	0.0725716665306677		-2
Sensory Perception Of Smell (GO:0007608)	Sensory Perception Of Smell 	0.0429822924943447		-2
tRNA Methylation (GO:0030488)	tRNA Methylation 	0.05366032915411		2
tRNA Modification (GO:0006400)	tRNA Modification 	0.00677209452807508		2
Translation (GO:0006412)	Translation 	0.000279789581397306		2
Visual Perception (GO:0007601)	Visual Perception 	0.0437348204066098		-2
NADH Dehydrogenase Complex Assembly (GO:0010257)	NADH Dehydrogenase Complex Assembly 	7.75021872055571e-06		3
Aerobic Electron Transport Chain (GO:0019646)	Aerobic Electron Transport Chain 	0.00346695606007867		3
Axonemal Dynein Complex Assembly (GO:0070286)	Axonemal Dynein Complex Assembly 	0.0636310228821383		3
Cellular Respiration (GO:0045333)	Cellular Respiration 	0.056380820446869		3
Cilium Assembly (GO:0060271)	Cilium Assembly 	2.89499026676226e-05		3
Cilium Movement (GO:0003341)	Cilium Movement 	0.0715942403299411		3
Cilium Organization (GO:0044782)	Cilium Organization 	0.00156857598786281		3
Intermediate Filament Organization (GO:0045109)	Intermediate Filament Organization 	0.0568803551307444		-3
Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	Mitochondrial ATP Synthesis Coupled Electron Transport 	0.00209415478791615		3
Mitochondrial RNA Metabolic Process (GO:0000959)	Mitochondrial RNA Metabolic Process 	0.00761859568161315		3
Mitochondrial RNA Processing (GO:0000963)	Mitochondrial RNA Processing 	0.056380820446869		3
Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)	Mitochondrial Electron Transport, NADH To Ubiquinone 	0.0308083201587211		3
Mitochondrial Gene Expression (GO:0140053)	Mitochondrial Gene Expression 	2.89499026676226e-05		3
Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981)	Mitochondrial Respiratory Chain Complex I Assembly 	7.75021872055571e-06		3
Mitochondrial Respiratory Chain Complex Assembly (GO:0033108)	Mitochondrial Respiratory Chain Complex Assembly 	1.6913473969016e-07		3
Mitochondrial Translation (GO:0032543)	Mitochondrial Translation 	0.000104684012588058		3
Organic Substance Transport (GO:0071702)	Organic Substance Transport 	0.032350387500406		-3
Oxidative Phosphorylation (GO:0006119)	Oxidative Phosphorylation 	0.00178299198635841		3
Plasma Membrane Bounded Cell Projection Assembly (GO:0120031)	Plasma Membrane Bounded Cell Projection Assembly 	0.0321007153171153		3
Positive Regulation Of Mitochondrial Translation (GO:0070131)	Positive Regulation Of Mitochondrial Translation 	0.0568803551307444		3
Proton Motive Force-Driven ATP Synthesis (GO:0015986)	Proton Motive Force-Driven ATP Synthesis 	0.00346695606007867		3
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	Proton Motive Force-Driven Mitochondrial ATP Synthesis 	0.00173954219813221		3
Translation (GO:0006412)	Translation 	0.00761859568161315		3
