GO.ID	Description	p.Val	phenoType
DNA Repair-Dependent Chromatin Remodeling (GO:0140861)	DNA Repair-Dependent Chromatin Remodeling 	0.861464061192912	-1
DNA Replication (GO:0006260)	DNA Replication 	0.801762340876825	-1
DNA Replication Checkpoint Signaling (GO:0000076)	DNA Replication Checkpoint Signaling 	0.764502417430105	1
DNA Replication Initiation (GO:0006270)	DNA Replication Initiation 	0.976994614398286	-1
DNA Replication-Dependent Chromatin Assembly (GO:0006335)	DNA Replication-Dependent Chromatin Assembly 	0.976891366277035	1
DNA Strand Elongation (GO:0022616)	DNA Strand Elongation 	0.866746687514359	1
DNA Strand Elongation Involved In DNA Replication (GO:0006271)	DNA Strand Elongation Involved In DNA Replication 	0.748642906597441	1
DNA Strand Resection Involved In Replication Fork Processing (GO:0110025)	DNA Strand Resection Involved In Replication Fork Processing 	0.992224930482182	-1
DNA Synthesis Involved In DNA Repair (GO:0000731)	DNA Synthesis Involved In DNA Repair 	0.81935087310255	1
DNA Topological Change (GO:0006265)	DNA Topological Change 	0.731084039990078	1
DNA Unwinding Involved In DNA Replication (GO:0006268)	DNA Unwinding Involved In DNA Replication 	0.990778983887269	-1
DNA-templated DNA Replication (GO:0006261)	DNA-templated DNA Replication 	0.951106450080847	1
DNA-templated DNA Replication Maintenance Of Fidelity (GO:0045005)	DNA-templated DNA Replication Maintenance Of Fidelity 	0.803905224127054	1
DNA-templated Transcription (GO:0006351)	DNA-templated Transcription 	0.667717878307926	-1
DNA-templated Transcription Elongation (GO:0006354)	DNA-templated Transcription Elongation 	0.564062339644509	-1
DNA-templated Transcription Initiation (GO:0006352)	DNA-templated Transcription Initiation 	0.876254482450606	-1
DNA-templated Transcription Termination (GO:0006353)	DNA-templated Transcription Termination 	0.992224930482182	1
ER Overload Response (GO:0006983)	ER Overload Response 	0.941343089047581	1
ER-associated Misfolded Protein Catabolic Process (GO:0071712)	ER-associated Misfolded Protein Catabolic Process 	0.992224930482182	1
ERAD Pathway (GO:0036503)	ERAD Pathway 	0.904346885405672	-1
ERBB Signaling Pathway (GO:0038127)	ERBB Signaling Pathway 	0.718301723754782	1
ERBB2 Signaling Pathway (GO:0038128)	ERBB2 Signaling Pathway 	0.951106450080847	1
ERBB2-EGFR Signaling Pathway (GO:0038134)	ERBB2-EGFR Signaling Pathway 	0.824998222974428	1
ERK1 And ERK2 Cascade (GO:0070371)	ERK1 And ERK2 Cascade 	0.924915949029311	-1
ESCRT III Complex Disassembly (GO:1904903)	ESCRT III Complex Disassembly 	0.801762340876825	-1
ESCRT Complex Disassembly (GO:1904896)	ESCRT Complex Disassembly 	0.801762340876825	-1
Fc Receptor Mediated Stimulatory Signaling Pathway (GO:0002431)	Fc Receptor Mediated Stimulatory Signaling Pathway 	0.936795692384796	1
Fc Receptor Signaling Pathway (GO:0038093)	Fc Receptor Signaling Pathway 	0.949934642238676	1
Fc-epsilon Receptor Signaling Pathway (GO:0038095)	Fc-epsilon Receptor Signaling Pathway 	0.992224930482182	1
Fc-gamma Receptor Signaling Pathway (GO:0038094)	Fc-gamma Receptor Signaling Pathway 	0.84282716113552	1
Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis (GO:0038096)	Fc-gamma Receptor Signaling Pathway Involved In Phagocytosis 	0.943897292661325	1
G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213)	G Protein-Coupled Acetylcholine Receptor Signaling Pathway 	0.973854494424032	1
G Protein-Coupled Glutamate Receptor Signaling Pathway (GO:0007216)	G Protein-Coupled Glutamate Receptor Signaling Pathway 	0.943897292661325	1
G Protein-Coupled Receptor Internalization (GO:0002031)	G Protein-Coupled Receptor Internalization 	0.979614096421189	-1
G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)	G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger 	0.991279850534042	1
G Protein-Coupled Serotonin Receptor Signaling Pathway (GO:0098664)	G Protein-Coupled Serotonin Receptor Signaling Pathway 	0.979614096421189	1
G-quadruplex DNA Unwinding (GO:0044806)	G-quadruplex DNA Unwinding 	0.541100471084538	1
G1/S Transition Of Mitotic Cell Cycle (GO:0000082)	G1/S Transition Of Mitotic Cell Cycle 	0.897204902389042	-1
G2/M Transition Of Mitotic Cell Cycle (GO:0000086)	G2/M Transition Of Mitotic Cell Cycle 	0.718301723754782	1
GDP-mannose Metabolic Process (GO:0019673)	GDP-mannose Metabolic Process 	0.972271270707241	-1
GMP Biosynthetic Process (GO:0006177)	GMP Biosynthetic Process 	0.992579136856919	1
GMP Metabolic Process (GO:0046037)	GMP Metabolic Process 	0.996847616328623	-1
GPI Anchor Biosynthetic Process (GO:0006506)	GPI Anchor Biosynthetic Process 	0.897220116937121	1
GPI Anchor Metabolic Process (GO:0006505)	GPI Anchor Metabolic Process 	0.912595387821395	1
GTP Metabolic Process (GO:0046039)	GTP Metabolic Process 	0.986568635130481	-1
Golgi Disassembly (GO:0090166)	Golgi Disassembly 	0.718301723754782	1
Golgi Inheritance (GO:0048313)	Golgi Inheritance 	0.951106450080847	1
Golgi Lumen Acidification (GO:0061795)	Golgi Lumen Acidification 	0.937613718789892	1
Golgi Organization (GO:0007030)	Golgi Organization 	0.958040970335625	1
Golgi Ribbon Formation (GO:0090161)	Golgi Ribbon Formation 	0.757270063818474	1
Golgi To Endosome Transport (GO:0006895)	Golgi To Endosome Transport 	0.995139745604428	-1
Golgi To Lysosome Transport (GO:0090160)	Golgi To Lysosome Transport 	0.977237823982496	-1
Golgi To Plasma Membrane Protein Transport (GO:0043001)	Golgi To Plasma Membrane Protein Transport 	0.981161585925626	-1
Golgi To Plasma Membrane Transport (GO:0006893)	Golgi To Plasma Membrane Transport 	0.978986692422588	-1
Golgi To Vacuole Transport (GO:0006896)	Golgi To Vacuole Transport 	0.966675843388635	-1
Golgi Transport Vesicle Coating (GO:0048200)	Golgi Transport Vesicle Coating 	0.991279850534042	-1
Golgi Vesicle Transport (GO:0048193)	Golgi Vesicle Transport 	0.489250954678244	-1
His-Purkinje System Development (GO:0003164)	His-Purkinje System Development 	0.956148347419809	-1
I-kappaB kinase/NF-kappaB Signaling (GO:0007249)	I-kappaB kinase/NF-kappaB Signaling 	0.992224930482182	-1
I-kappaB Phosphorylation (GO:0007252)	I-kappaB Phosphorylation 	0.839281744040966	-1
IMP Biosynthetic Process (GO:0006188)	IMP Biosynthetic Process 	0.944937312280748	1
IMP Metabolic Process (GO:0046040)	IMP Metabolic Process 	0.964224137120906	1
IRE1-mediated Unfolded Protein Response (GO:0036498)	IRE1-mediated Unfolded Protein Response 	0.801762340876825	-1
ISG15-protein Conjugation (GO:0032020)	ISG15-protein Conjugation 	0.897372273246126	-1
JNK Cascade (GO:0007254)	JNK Cascade 	0.801762340876825	1
L-alanine Transport (GO:0015808)	L-alanine Transport 	0.931405282010584	1
L-alpha-amino Acid Transmembrane Transport (GO:1902475)	L-alpha-amino Acid Transmembrane Transport 	0.908736071021022	-1
L-amino Acid Transport (GO:0015807)	L-amino Acid Transport 	0.996847616328623	-1
L-arginine Transmembrane Transport (GO:1903826)	L-arginine Transmembrane Transport 	0.804520696994344	-1
L-ascorbic Acid Metabolic Process (GO:0019852)	L-ascorbic Acid Metabolic Process 	0.916949750510888	-1
L-aspartate Import Across Plasma Membrane (GO:0140009)	L-aspartate Import Across Plasma Membrane 	0.932191239099297	1
L-aspartate Transmembrane Transport (GO:0070778)	L-aspartate Transmembrane Transport 	0.932191239099297	1
L-fucose Catabolic Process (GO:0042355)	L-fucose Catabolic Process 	0.895653927294193	-1
L-fucose Metabolic Process (GO:0042354)	L-fucose Metabolic Process 	0.895653927294193	-1
L-glutamate Import (GO:0051938)	L-glutamate Import 	0.996847616328623	-1
L-glutamate Transmembrane Transport (GO:0015813)	L-glutamate Transmembrane Transport 	0.975791206049775	1
L-methionine Salvage (GO:0071267)	L-methionine Salvage 	0.904346885405672	-1
L-ornithine Transmembrane Transport (GO:1903352)	L-ornithine Transmembrane Transport 	0.839281744040966	-1
L-phenylalanine Catabolic Process (GO:0006559)	L-phenylalanine Catabolic Process 	0.966675843388635	1
L-phenylalanine Metabolic Process (GO:0006558)	L-phenylalanine Metabolic Process 	0.966675843388635	1
L-serine Metabolic Process (GO:0006563)	L-serine Metabolic Process 	0.951106450080847	1
MAPK Cascade (GO:0000165)	MAPK Cascade 	0.745920718829316	-1
MHC Class II Protein Complex Assembly (GO:0002399)	MHC Class II Protein Complex Assembly 	0.962314338222431	-1
MyD88-dependent Toll-Like Receptor Signaling Pathway (GO:0002755)	MyD88-dependent Toll-Like Receptor Signaling Pathway 	0.992224930482182	-1
MyD88-independent Toll-Like Receptor Signaling Pathway (GO:0002756)	MyD88-independent Toll-Like Receptor Signaling Pathway 	0.917009770855648	-1
N-acetylglucosamine Metabolic Process (GO:0006044)	N-acetylglucosamine Metabolic Process 	0.882344724153968	-1
N-acetylneuraminate Catabolic Process (GO:0019262)	N-acetylneuraminate Catabolic Process 	0.947480702376929	-1
N-acetylneuraminate Metabolic Process (GO:0006054)	N-acetylneuraminate Metabolic Process 	0.992224930482182	1
N-acylphosphatidylethanolamine Metabolic Process (GO:0070292)	N-acylphosphatidylethanolamine Metabolic Process 	0.910381093642624	-1
N-glycan Processing (GO:0006491)	N-glycan Processing 	0.978664671014649	-1
N-terminal Peptidyl-Methionine Acetylation (GO:0017196)	N-terminal Peptidyl-Methionine Acetylation 	0.866746687514359	-1
N-terminal Protein Amino Acid Acetylation (GO:0006474)	N-terminal Protein Amino Acid Acetylation 	0.801762340876825	-1
N-terminal Protein Amino Acid Modification (GO:0031365)	N-terminal Protein Amino Acid Modification 	0.897372273246126	-1
NAD Biosynthesis Via Nicotinamide Riboside Salvage Pathway (GO:0034356)	NAD Biosynthesis Via Nicotinamide Riboside Salvage Pathway 	0.981161585925626	1
NAD Biosynthetic Process (GO:0009435)	NAD Biosynthetic Process 	0.932191239099297	-1
NAD Metabolic Process (GO:0019674)	NAD Metabolic Process 	0.665971269391304	-1
NADH Dehydrogenase Complex Assembly (GO:0010257)	NADH Dehydrogenase Complex Assembly 	0.382863798348177	1
NADH Metabolic Process (GO:0006734)	NADH Metabolic Process 	0.96632710503721	-1
NADP Metabolic Process (GO:0006739)	NADP Metabolic Process 	0.908514832635788	-1
NADPH Regeneration (GO:0006740)	NADPH Regeneration 	0.942295654858792	1
NIK/NF-kappaB Signaling (GO:0038061)	NIK/NF-kappaB Signaling 	0.981161585925626	1
NLS-bearing Protein Import Into Nucleus (GO:0006607)	NLS-bearing Protein Import Into Nucleus 	0.876254482450606	-1
Notch Receptor Processing (GO:0007220)	Notch Receptor Processing 	0.919566242524685	-1
Notch Signaling Involved In Heart Development (GO:0061314)	Notch Signaling Involved In Heart Development 	0.986929883877053	-1
Notch Signaling Pathway (GO:0007219)	Notch Signaling Pathway 	0.965134510078856	-1
O-glycan Processing (GO:0016266)	O-glycan Processing 	0.902382476495135	1
P-body Assembly (GO:0033962)	P-body Assembly 	0.829130237673788	-1
PERK-mediated Unfolded Protein Response (GO:0036499)	PERK-mediated Unfolded Protein Response 	0.944937312280748	1
PML Body Organization (GO:0030578)	PML Body Organization 	0.902382476495135	-1
R-loop Processing (GO:0062176)	R-loop Processing 	0.571041403242921	-1
RIG-I Signaling Pathway (GO:0039529)	RIG-I Signaling Pathway 	0.955201570019962	1
RISC Complex Assembly (GO:0070922)	RISC Complex Assembly 	0.979614096421189	-1
RNA 3'-End Processing (GO:0031123)	RNA 3'-End Processing 	0.869938245396805	-1
RNA Biosynthetic Process (GO:0032774)	RNA Biosynthetic Process 	0.901391871735968	-1
RNA Capping (GO:0036260)	RNA Capping 	0.976891366277035	1
RNA Catabolic Process (GO:0006401)	RNA Catabolic Process 	0.958040970335625	-1
RNA Decapping (GO:0110154)	RNA Decapping 	0.890503742112414	-1
RNA Destabilization (GO:0050779)	RNA Destabilization 	0.83291343361282	-1
RNA Export From Nucleus (GO:0006405)	RNA Export From Nucleus 	0.992224930482182	-1
RNA Metabolic Process (GO:0016070)	RNA Metabolic Process 	0.917009770855648	-1
RNA Methylation (GO:0001510)	RNA Methylation 	0.637695384497163	1
RNA Modification (GO:0009451)	RNA Modification 	0.941343089047581	1
RNA Phosphodiester Bond Hydrolysis (GO:0090501)	RNA Phosphodiester Bond Hydrolysis 	0.976000105236186	1
RNA Phosphodiester Bond Hydrolysis, Endonucleolytic (GO:0090502)	RNA Phosphodiester Bond Hydrolysis, Endonucleolytic 	0.986568635130481	1
RNA Polyadenylation (GO:0043631)	RNA Polyadenylation 	0.839214496290634	1
RNA Polymerase II Preinitiation Complex Assembly (GO:0051123)	RNA Polymerase II Preinitiation Complex Assembly 	0.876254482450606	-1
RNA Processing (GO:0006396)	RNA Processing 	0.106267632269643	-1
RNA Secondary Structure Unwinding (GO:0010501)	RNA Secondary Structure Unwinding 	0.992224930482182	1
RNA Splicing (GO:0008380)	RNA Splicing 	0.0425650569310094	-1
RNA Splicing, Via Endonucleolytic Cleavage And Ligation (GO:0000394)	RNA Splicing, Via Endonucleolytic Cleavage And Ligation 	0.896926922389071	-1
RNA Splicing, Via Transesterification Reactions (GO:0000375)	RNA Splicing, Via Transesterification Reactions 	0.804520696994344	-1
RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile 	0.000133008787948617	-1
RNA Stabilization (GO:0043489)	RNA Stabilization 	0.75566199670555	1
RNA Transport (GO:0050658)	RNA Transport 	0.987631947646183	-1
RNA-mediated Gene Silencing (GO:0031047)	RNA-mediated Gene Silencing 	0.992224930482182	-1
RNA-templated DNA Biosynthetic Process (GO:0006278)	RNA-templated DNA Biosynthetic Process 	0.992224930482182	1
Rac Protein Signal Transduction (GO:0016601)	Rac Protein Signal Transduction 	0.979614096421189	-1
Rap Protein Signal Transduction (GO:0032486)	Rap Protein Signal Transduction 	0.876254482450606	-1
Ras Protein Signal Transduction (GO:0007265)	Ras Protein Signal Transduction 	0.803905224127054	-1
Rho Protein Signal Transduction (GO:0007266)	Rho Protein Signal Transduction 	0.998749196569652	1
SA Node Cell Action Potential (GO:0086015)	SA Node Cell Action Potential 	0.895299037447007	1
SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0031146)	SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process 	0.914589058998243	-1
SMAD Protein Complex Assembly (GO:0007183)	SMAD Protein Complex Assembly 	0.990171474475642	-1
SMAD Protein Signal Transduction (GO:0060395)	SMAD Protein Signal Transduction 	0.961118437068451	-1
SNARE Complex Assembly (GO:0035493)	SNARE Complex Assembly 	0.620450254377158	-1
SREBP Signaling Pathway (GO:0032933)	SREBP Signaling Pathway 	0.986568635130481	-1
SRP-dependent Cotranslational Protein Targeting To Membrane (GO:0006614)	SRP-dependent Cotranslational Protein Targeting To Membrane 	0.943897292661325	-1
Schwann Cell Development (GO:0014044)	Schwann Cell Development 	0.966675843388635	1
T Cell Activation (GO:0042110)	T Cell Activation 	0.801762340876825	1
T Cell Activation Involved In Immune Response (GO:0002286)	T Cell Activation Involved In Immune Response 	0.855886402755333	1
T Cell Apoptotic Process (GO:0070231)	T Cell Apoptotic Process 	0.885143392425889	-1
T Cell Chemotaxis (GO:0010818)	T Cell Chemotaxis 	0.748822645174086	-1
T Cell Differentiation (GO:0030217)	T Cell Differentiation 	0.846757849896967	1
T Cell Differentiation In Thymus (GO:0033077)	T Cell Differentiation In Thymus 	0.992224930482182	-1
T Cell Homeostasis (GO:0043029)	T Cell Homeostasis 	0.457317213462409	-1
T Cell Mediated Cytotoxicity (GO:0001913)	T Cell Mediated Cytotoxicity 	0.932502573188877	1
T Cell Mediated Immunity (GO:0002456)	T Cell Mediated Immunity 	0.716034941703254	1
T Cell Migration (GO:0072678)	T Cell Migration 	0.662757186823996	-1
T Cell Proliferation (GO:0042098)	T Cell Proliferation 	0.839214496290634	-1
T Cell Receptor Signaling Pathway (GO:0050852)	T Cell Receptor Signaling Pathway 	0.992224930482182	-1
T-helper 1 Cell Differentiation (GO:0045063)	T-helper 1 Cell Differentiation 	0.908736071021022	-1
T-helper 1 Type Immune Response (GO:0042088)	T-helper 1 Type Immune Response 	0.976891366277035	-1
T-helper 17 Cell Differentiation (GO:0072539)	T-helper 17 Cell Differentiation 	0.990171474475642	-1
T-helper 17 Cell Lineage Commitment (GO:0072540)	T-helper 17 Cell Lineage Commitment 	0.965301657249797	1
T-helper 2 Cell Differentiation (GO:0045064)	T-helper 2 Cell Differentiation 	0.839214496290634	-1
T-helper Cell Differentiation (GO:0042093)	T-helper Cell Differentiation 	0.921599224331636	-1
T-helper Cell Lineage Commitment (GO:0002295)	T-helper Cell Lineage Commitment 	0.979614096421189	-1
TOR Signaling (GO:0031929)	TOR Signaling 	0.927857894545631	-1
TORC1 Signaling (GO:0038202)	TORC1 Signaling 	0.986929883877053	-1
TORC2 Signaling (GO:0038203)	TORC2 Signaling 	0.958896104462504	-1
TRAIL-activated Apoptotic Signaling Pathway (GO:0036462)	TRAIL-activated Apoptotic Signaling Pathway 	0.976000105236186	-1
TRIF-dependent Toll-Like Receptor Signaling Pathway (GO:0035666)	TRIF-dependent Toll-Like Receptor Signaling Pathway 	0.910381093642624	-1
U2-type Prespliceosome Assembly (GO:1903241)	U2-type Prespliceosome Assembly 	0.951106450080847	-1
U4 snRNA 3'-End Processing (GO:0034475)	U4 snRNA 3'-End Processing 	0.737030022467258	-1
UDP-N-acetylglucosamine Biosynthetic Process (GO:0006048)	UDP-N-acetylglucosamine Biosynthetic Process 	0.835848273338263	-1
UDP-N-acetylglucosamine Metabolic Process (GO:0006047)	UDP-N-acetylglucosamine Metabolic Process 	0.876254482450606	-1
UV Protection (GO:0009650)	UV Protection 	0.81935087310255	-1
UV-damage Excision Repair (GO:0070914)	UV-damage Excision Repair 	0.949934642238676	-1
V(D)J Recombination (GO:0033151)	V	0.366222418010037	1
Wnt Signaling Pathway (GO:0016055)	Wnt Signaling Pathway 	0.718301723754782	-1
Wnt Signaling Pathway Involved In Midbrain Dopaminergic Neuron Differentiation (GO:1904953)	Wnt Signaling Pathway Involved In Midbrain Dopaminergic Neuron Differentiation 	0.718301723754782	-1
Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:0060071)	Wnt Signaling Pathway, Planar Cell Polarity Pathway 	0.944937312280748	-1
[2Fe-2S] Cluster Assembly (GO:0044571)	[2Fe-2S] Cluster Assembly 	0.965392207908076	-1
acetyl-CoA Biosynthetic Process (GO:0006085)	acetyl-CoA Biosynthetic Process 	0.837760481278367	-1
acetyl-CoA Biosynthetic Process From Pyruvate (GO:0006086)	acetyl-CoA Biosynthetic Process From Pyruvate 	0.780919442471223	-1
acetyl-CoA Metabolic Process (GO:0006084)	acetyl-CoA Metabolic Process 	0.83842843248073	1
Acetylcholine Receptor Signaling Pathway (GO:0095500)	Acetylcholine Receptor Signaling Pathway 	0.819563548423397	1
Acid Secretion (GO:0046717)	Acid Secretion 	0.801762340876825	-1
Acidic Amino Acid Transport (GO:0015800)	Acidic Amino Acid Transport 	0.718301723754782	-1
Actin Crosslink Formation (GO:0051764)	Actin Crosslink Formation 	0.978664671014649	1
Actin Cytoskeleton Reorganization (GO:0031532)	Actin Cytoskeleton Reorganization 	0.908514832635788	1
Actin Filament Bundle Assembly (GO:0051017)	Actin Filament Bundle Assembly 	0.555573560054832	1
Actin Filament Bundle Organization (GO:0061572)	Actin Filament Bundle Organization 	0.541100471084538	1
Actin Filament Capping (GO:0051693)	Actin Filament Capping 	0.801762340876825	-1
Actin Filament Depolymerization (GO:0030042)	Actin Filament Depolymerization 	0.975791206049775	-1
Actin Filament Network Formation (GO:0051639)	Actin Filament Network Formation 	0.976000105236186	1
Actin Filament Organization (GO:0007015)	Actin Filament Organization 	0.93000239129509	1
Actin Filament Polymerization (GO:0030041)	Actin Filament Polymerization 	0.991279850534042	1
Actin Filament Reorganization (GO:0090527)	Actin Filament Reorganization 	0.975791206049775	1
Actin Filament-Based Transport (GO:0099515)	Actin Filament-Based Transport 	0.976994614398286	-1
Actin Nucleation (GO:0045010)	Actin Nucleation 	0.976000105236186	-1
Actin Polymerization Or Depolymerization (GO:0008154)	Actin Polymerization Or Depolymerization 	0.965301657249797	-1
